,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,영업활동으로 인한 현금흐름,영업활동으로 인한 현금흐름,1825833804000,1699481488000,2160401502000,3677753976000,4085705058000,927140704000,1378981886000,1161635588000
1,영업활동으로 인한 현금흐름,연결당기순이익,65774590000,1699046923000,2136856762000,1721434289000,867676735000,-537165529000,778733149000,1182351665000
2,영업활동으로 인한 현금흐름,비현금항목 조정,1955044416000,1997128178000,1976850822000,2354090951000,2184601869000,1168708375000,1239933971000,1310138738000
3,영업활동으로 인한 현금흐름,운전자본 조정,535287473000,-1158193360000,-1212443542000,268032016000,1560453472000,807305822000,-123565431000,-519581776000
4,영업활동으로 인한 현금흐름,이자의 수취,99004065000,87066881000,77811611000,82413086000,49932970000,59363679000,87664484000,108972192000
5,영업활동으로 인한 현금흐름,이자의 지급,350641611000,244005916000,210773175000,-258501948000,-246135531000,-229684787000,-289624704000,-345872264000
6,영업활동으로 인한 현금흐름,배당금의 수취,50324968000,48111050000,41348453000,29553884000,76412828000,108021582000,72410483000,54440944000
7,영업활동으로 인한 현금흐름,법인세의 납부,528960097000,729672268000,649249429000,-519268302000,-407237285000,-449408438000,-386570066000,-628813911000
8,투자활동으로 인한 현금흐름,투자활동으로 인한 현금흐름,-3166766482000,-2469385304000,-1063455574000,-2056093585000,-1345352677000,-2569445183000,-1979056748000,-2461846802000
9,투자활동으로 인한 현금흐름,장단기금융상품의 순증감,301258691000,-424229128000,780324468000,-1382278027000,-1453931941000,-70935146000,774488929000,-726325885000
10,투자활동으로 인한 현금흐름,장기투자증권의 취득,107296517000,61469170000,45741189000,,,,,
11,투자활동으로 인한 현금흐름,장기투자증권의 처분,26032759000,15341957000,38279752000,8850179000,69948937000,28176050000,14793016000,15889132000
12,투자활동으로 인한 현금흐름,관계기업투자의 취득,510481382000,298421691000,125897922000,-18872400000,-173767125000,-416289760000,-350015549000,-62885483000
13,투자활동으로 인한 현금흐름,관계기업투자의 처분,2684209000,30065431000,0,,293215399000,21438000000,15245054000,32342781000
14,투자활동으로 인한 현금흐름,유형자산의 취득,2576601285000,1271505428000,935735166000,-606973956000,-448759912000,-1635143947000,-2723371146000,-1577567953000
15,투자활동으로 인한 현금흐름,유형자산의 처분,79577375000,37119656000,74507251000,40400588000,100151025000,81208060000,89507919000,31801482000
16,투자활동으로 인한 현금흐름,무형자산의 취득,177748701000,211770089000,71905766000,-57712924000,-248722057000,-668579316000,-198425488000,-246223736000
17,투자활동으로 인한 현금흐름,무형자산의 처분,10577657000,2636070000,2227387000,3204453000,4366743000,3866542000,10630052000,23640009000
18,투자활동으로 인한 현금흐름,단기대여금의 순증감,-17037969000,-9367336000,16906282000,57409000,-10839518000,830034000,5459035000,56254643000
19,투자활동으로 인한 현금흐름,장기대여금의 순증감,225181346000,64568331000,609545000,-10674081000,-20292132000,84787349000,200547935000,-27650429000
20,투자활동으로 인한 현금흐름,보증금의 순증감,13999458000,11474495000,5752544000,-1941515000,5050477000,1322911000,337986000,14336140000
21,투자활동으로 인한 현금흐름,영업양수로 인한 순현금흐름,0,-310681612000,-764671921000,,,,,
22,투자활동으로 인한 현금흐름,연결범위변동으로 인한 현금유입,22812943000,0,8003924000,,,,,
23,투자활동으로 인한 현금흐름,연결범위변동으로 인한 현금유출,-15439396000,0,0,,,,,
24,투자활동으로 인한 현금흐름,매각예정자산의 처분,0,90204190000,0,,,,,
25,투자활동으로 인한 현금흐름,기타투자활동으로인한현금흐름,0,0,421979000,617952000,6148117000,-4270230000,3279953000,
26,재무활동으로 인한 현금흐름,재무활동으로 인한 현금흐름,1686074554000,604266744000,-1650822226000,-2018612047000,-2768287567000,1709913561000,634635341000,-242043864000
27,재무활동으로 인한 현금흐름,단기차입금의 순증감,977044924000,-89818127000,223446551000,-367655691000,-2629427502000,726348204000,705871861000,-1190336876000
28,재무활동으로 인한 현금흐름,사채 및 장기차입금의 차입,3370551362000,3820166744000,548481831000,479514300000,1014874690000,,,
29,재무활동으로 인한 현금흐름,사채 및 장기차입금의 상환,-1261717115000,-1313138575000,-1670460666000,-1680383499000,-1153770580000,,,
30,재무활동으로 인한 현금흐름,리스부채의 감소,193813605000,0,0,,,,,
31,재무활동으로 인한 현금흐름,임대보증금의 순증감,402724000,1141890000,-4157063000,1208598000,35825000,7426640000,88356000,19770198000
32,재무활동으로 인한 현금흐름,배당금의 지급,1003950847000,812285011000,748823409000,-451295755000,,-299561133000,-299299861000,-264125942000
33,재무활동으로 인한 현금흐름,자기주식의 취득,0,1001800177000,0,,,,,
34,재무활동으로 인한 현금흐름,신종자본증권의 발행,597559480000,0,0,,,,,
35,재무활동으로 인한 현금흐름,상환전환우선주의 상환,-800002369000,0,0,,,,,
36,재무활동으로 인한 현금흐름,종속기업의 유상증자,0,0,690530000,,,26965265000,58522892000,3159211000
37,현금및현금성자산의 증가(감소),현금및현금성자산의 증가(감소),345141876000,-165637072000,-553876298000,,,67609082000,34560479000,-1542255078000
38,기초 현금및현금성자산,기초 현금및현금성자산,1825558285000,1977555524000,2612603416000,,,,,
39,현금및현금성자산의 환율변동효과,현금및현금성자산의 환율변동효과,25301235000,13639833000,-81171594000,21494292000,109000758000,22396193000,-14745275000,-24878771000
40,기말 현금및현금성자산,기말 현금및현금성자산,2196001396000,1825558285000,1977555524000,,,,,
