,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,매출액,매출액,49876534172000,54216524175000,45930988173000,39520538747000,48356320414000,65860712618000,66039305377000,73330011478000
1,매출원가,매출원가,46745610183000,50251193139000,40607219804000,34561748471000,44196843778000,64244374545000,62765681531000,69743724008000
2,매출총이익,매출총이익,3130923989000,3965331036000,5323768369000,4958790276000,4159476636000,1616338073000,3273623846000,3586287470000
3,판매비와관리비,판매비와관리비,1861631739000,1862165944000,2113792669000,1730453104000,2179911689000,1799141318000,1867206028000,1886923182000
4,영업이익,영업이익,1269292250000,2103165092000,3209975700000,3228337172000,1979564947000,-182803245000,1406417818000,1699364288000
5,금융수익,금융수익,2713268605000,3177703256000,1878982916000,1792448609000,2250545598000,2616559567000,1637784355000,2165208407000
6,금융원가,금융원가,3260335156000,2945638828000,2047170030000,2082388145000,2570575778000,2965643955000,1862975309000,2323725437000
7,관계기업 및 공동기업투자손익,관계기업 및 공동기업투자손익,54208955000,155164442000,311316658000,-124005049000,257042852000,130775318000,67708800000,131086296000
8,기타영업외수익,기타영업외수익,117781924000,109082989000,79439512000,102667531000,225923516000,86444112000,127256096000,110989658000
9,기타영업외비용,기타영업외비용,517757708000,212012324000,220033062000,493681194000,488365728000,122018557000,237044475000,94201049000
10,법인세비용차감전계속영업순이익,법인세비용차감전계속영업순이익,376458870000,2387464627000,3212511694000,2423378924000,1654135407000,-436686760000,1139147285000,
11,계속영업손익법인세비용,계속영업손익법인세비용,310684280000,701483046000,1073492285000,701944635000,656587423000,-3592561000,337111482000,
12,계속영업연결당기순이익,계속영업연결당기순이익,65774590000,1685981581000,2139019409000,1721434289000,997547984000,-433094199000,802035803000,
13,중단영업이익,중단영업이익,0,13065342000,-2162647000,,,,,
14,당기순이익,당기순이익,65774590000,1699046923000,2136856762000,,,,,
15,당기순이익,지배기업소유주지분,-35740135000,1651140324000,2102754259000,1671338325000,814927503000,-588831892000,729919723000,1185431581000
16,당기순이익,비지배지분,101514725000,47906599000,34102503000,50095964000,52749232000,51666363000,48813426000,-3079916000
17,기타포괄손익,기타포괄손익,84874262000,106877872000,-258291891000,,,,,
18,기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 항목,-50892149000,-32060033000,11529811000,-2404570000,1412585000,-12180800000,-10842184000,-20735904000
19,기타포괄손익,확정급여제도의 재측정요소,-11812966000,-19519151000,12709665000,-2752104000,-1343689000,-12180800000,-10842184000,-20735904000
20,기타포괄손익,기타포괄손익-공정가치측정금융자산평가손익,-37870260000,-12771446000,0,,,,,
21,기타포괄손익,해외사업환산손익,-1208923000,230564000,-1179854000,347534000,2756274000,33265446000,-9647405000,-76073793000
22,기타포괄손익,후속적으로 당기손익으로 재분류될 수 있는 항목,135766411000,138937905000,-269821702000,-7784994000,84692324000,100875792000,66427172000,-205695304000
23,기타포괄손익,매도가능증권평가손익,0,0,25168336000,2008997000,5182543000,-13317657000,-9123429000,-7400166000
24,기타포괄손익,기타포괄손익-공정가치측정금융자산평가손익,212017000,49592000,0,,,,,
25,기타포괄손익,지분법자본변동,54245404000,58819987000,-145009674000,-30155449000,12286916000,79245768000,88051614000,-122037897000
26,기타포괄손익,해외사업환산손익,88971192000,71897840000,-150071422000,17199866000,68198903000,33265446000,-9647405000,-76073793000
27,기타포괄손익,현금흐름위험회피 파생금융상품평가손익,-7662202000,8170486000,91058000,3161592000,-976038000,1682235000,-2853608000,-183448000
28,총포괄손익,총포괄손익,150648852000,1805924795000,1878564871000,,,,,
29,총포괄손익,지배기업소유주지분,50343050000,1757787632000,1845642222000,1671338325000,814927503000,-588831892000,729919723000,1185431581000
30,총포괄손익,비지배지분,100305802000,48137163000,32922649000,50095964000,52749232000,51666363000,48813426000,-3079916000
31,주당이익 [abstract],보통주기본주당손익,-434,18264,22563,,,,,
32,주당이익 [abstract],구형우선주기본주당이익,1600,18314,22624,17984,8794,,,
33,주당이익 [abstract],보통주기본주당계속영업손익,-434,18119,22585,,,,,
34,주당이익 [abstract],구형우선주기본주당계속영업이익,1600,18169,22737,17984,10187,,,
