,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,370139323634,340161798607,334485783093,281313647246,235338027304,210513866233,186216117028,199119413003
1,유동자산,현금및현금성자산,14757095347,6344759943,17866775621,5208801715,10859920373,11720989635,9703781861,7432621787
2,유동자산,상각후원가측정금융자산,16667125,0,0,,,,,
3,유동자산,매출채권및기타채권,206704779796,197011155568,191208670532,188120506894,141274247738,127799781813,116706209126,120808062652
4,유동자산,재고자산,123911849886,132572749858,104855469183,75542023445,76467768059,62341399973,56000928450,67950214612
5,유동자산,당기법인세자산,0,0,49404836,40210030,1827240,10360,1186100,522630
6,유동자산,기타금융자산,21266204907,207641730,14187620965,5937695844,496427635,706850000,91000000,220000000
7,유동자산,기타유동자산,3482726573,4025491508,6317841956,6464409318,6237836259,7926367136,3699095887,2707691322
8,비유동자산,비유동자산,826153742184,412104730912,399934008106,393336156331,377537007269,361225078970,368254703465,346651252524
9,비유동자산,매도가능금융자산,0,0,1143262547,1143238747,1143268547,1101069697,1101026697,1100941397
10,비유동자산,기타포괄손익-공정가치측정금융자산,1143001447,1143188497,0,,,,,
11,비유동자산,상각후원가측정금융자산,0,16667125,16457936,16292687,15966168,18467316,13915604,300000
12,비유동자산,이연법인세자산,15846643903,8538455675,7920170597,8155983073,8914239787,8798164463,8258494661,10124567818
13,비유동자산,유형자산,748391949261,323315852717,326890837044,307856816021,302643750947,292596607500,301122731381,287014254508
14,비유동자산,투자부동산,28825357355,27629410797,29262629095,27111410672,30304215567,29490376876,28706261240,29038854276
15,비유동자산,무형자산,13825093125,14652488264,13828721494,14199061707,13856338368,14146761680,14080798331,5605741376
16,비유동자산,기타금융자산,16826287521,36808667837,20871929393,34853353424,20659227885,15092098754,91000000,13738593149
17,비유동자산,기타비유동자산,1295409572,0,0,,,,,
18,자산총계,자산총계,1196293065818,752266529519,734419791199,674649803577,612875034573,571738945203,554470820493,545770665527
19,유동부채,유동부채,453905433138,407678726688,408619150508,334202696163,289616977016,317790274769,289289406173,259381254333
20,유동부채,매입채무및기타채무,249113116480,217584137857,212008083089,191683140964,139519338612,133496389864,136546288331,144855163597
21,유동부채,단기차입금,113961384142,117516843942,128820000000,89830000000,107990000000,103250000000,119377855925,101500000000
22,유동부채,유동성장기부채,22900000000,42000000000,42900000000,30000000000,20000000000,60000000000,20000000000,
23,유동부채,당기법인세부채,3176519486,5715517912,7104032382,7369422953,6282122630,6537627612,1835279428,2057791212
24,유동부채,기타금융부채,48911399757,7388337217,5624632778,6255759524,5998004304,5981752455,5848526907,5548351691
25,유동부채,기타유동부채,15843013273,17473889760,12162402259,9064372722,9827511470,8524504838,5020786384,4829048514
26,비유동부채,비유동부채,419649908860,30636423468,45776821316,48111187497,69506853184,30387614665,69093399317,108868814733
27,비유동부채,장기차입금,32000000000,22900000000,42000000000,42900000000,60000000000,20000000000,60000000000,100000000000
28,비유동부채,사채,31016304200,0,0,,,,,
29,비유동부채,순확정급여부채,9111451490,6720473879,3586216686,4899661089,9506853184,10387614665,9093399317,8868814733
30,비유동부채,기타금융부채,342188535130,0,0,6255759524,5998004304,5981752455,5848526907,5548351691
31,비유동부채,이연법인세부채,0,0,190604630,311526408,,,,
32,비유동부채,기타비유동부채,5333618040,1015949589,0,,,,,
33,부채총계,부채총계,873555341998,438315150156,454395971824,382313883660,359123830200,348177889434,358382805490,368250069066
34,지배기업의 소유주에게 귀속되는 자본,지배기업의 소유주에게 귀속되는 자본,322818585894,314071281166,280173689077,292510728874,253951349818,223805990786,196378215050,177837438290
35,지배기업의 소유주에게 귀속되는 자본,자본금,43145045000,43145045000,43145045000,43145045000,43145045000,43145045000,43145045000,43145045000
36,지배기업의 소유주에게 귀속되는 자본,기타불입자본,-25020426537,-25020426537,-25020426537,19698358363,24092759363,24092759363,24332719961,24332719961
37,지배기업의 소유주에게 귀속되는 자본,기타자본구성요소,-55471694,-69203193,-62036607,-21676340,5884560,-32404,-66885,-133419
38,지배기업의 소유주에게 귀속되는 자본,이익잉여금,304749439125,296015865896,262111107221,229689001851,186707660895,156568218827,128900516974,110359806748
39,비지배지분,비지배지분,-80862074,-119901803,-149869702,-174808957,-200145445,-244935017,-290200047,-316841829
40,자본총계,자본총계,322737723820,313951379363,280023819375,292335919917,253751204373,223561055769,196088015003,177520596461
41,,자본과부채총계,1196293065818,752266529519,734419791199,674649803577,612875034573,571738945203,554470820493,545770665527
