,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,당기순이익(손실),당기순이익(손실),20238430218,42169211899,38198409561,49531624754,37618698046,33363923017,22070211121,10575656558
1,기타포괄손익,기타포괄손익,-6087853629,-1685474698,-427729107,-1653201410,-3129623252,-1910542113,-363420079,-909547632
2,기타포괄손익,당기손익으로 재분류되지 않는항목(세후기타포괄손익),,,,,,,,
3,기타포괄손익,확정급여제도의 재측정손익,-6101514634,-1678308112,-387368840,-1625640510,-3135540216,-1910576594,-363486613,-400851146
4,기타포괄손익,기타포괄손익-공정가치측정금융자산평가손익,4511,-56131,0,,,,,
5,기타포괄손익,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),,,,,,,,
6,기타포괄손익,매도가능금융자산평가손익,0,0,18041,-22589,18078,34481,66534,
7,기타포괄손익,해외사업장환산외환차이,13656494,-7110455,-40378308,-27538311,5898886,,,
8,총포괄손익,총포괄손익,14150576589,40483737201,37770680454,47878423344,34489074794,31453380904,21706791042,9666108926
9,총 포괄손익의 귀속 [abstract],"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분",14111536860,40453769302,37745741199,47853086856,34444285222,31408115874,21680149260,9671980743
10,총 포괄손익의 귀속 [abstract],"총 포괄손익, 비지배지분",39039729,29967899,24939255,25336488,44789572,45265030,26641782,-5871817
