,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,I. 영업활동현금흐름,I. 영업활동현금흐름,407868874433,363918692477,463050000085,596486850677,574981575729,510413140570,424407127426,446539738627
1,I. 영업활동현금흐름,1. 영업에서 창출된 현금,461570835780,453353037855,563984504665,707382481512,686035880292,622459224785,509709935871,532809916431
2,I. 영업활동현금흐름,(1) 당기순이익,334653892485,297236881419,437540506708,,,,,306228988213
3,I. 영업활동현금흐름,(2) 조정,167050778058,195279911692,197442866259,242553770191,222576795195,237360200022,172221738254,156162366992
4,I. 영업활동현금흐름,대손상각비(환입),22400000,24798770,-37233819,258005878,-707006026,139667179,99078448,-120000000
5,I. 영업활동현금흐름,기타의 대손상각비(환입),18587330,37314008,4130515,3425000000,9998000000,15454491360,1085546961,
6,I. 영업활동현금흐름,기타의 대손충당금환입,,,,,,,,
7,I. 영업활동현금흐름,감가상각비,72080444003,66018926393,74166480010,74816572202,73628181207,74355905021,75904465709,68738895888
8,I. 영업활동현금흐름,무형자산상각비,248448603,66338904,62873171,185402219,698501367,1279579332,634329679,783893587
9,I. 영업활동현금흐름,퇴직급여,21576544445,19618003588,22014744413,21976773023,28513026825,26759384075,17846881601,17297081603
10,I. 영업활동현금흐름,금융자산평가손실,0,5101773731,426203556,,,,,
11,I. 영업활동현금흐름,금융자산처분손실,0,5226332329,250420628,,,,,
12,I. 영업활동현금흐름,유형자산손상차손,0,21843775601,17581751407,37435830576,,199827632,,
13,I. 영업활동현금흐름,유형자산처분손실,488304337,11363319,2395382160,409008,59992924,3024469591,10785725,3325193443
14,I. 영업활동현금흐름,무형자산손상차손,0,776670046,547955690,503428443,,2714507237,1845537613,966666667
15,I. 영업활동현금흐름,법인세비용,154271032103,113451001424,128653717888,142326882453,152254279461,136586390105,96216785844,100850990129
16,I. 영업활동현금흐름,지급수수료,84519250,0,722328978,1674976265,968219695,1863750288,1759721161,2456019
17,I. 영업활동현금흐름,이자비용,1961000688,234757801,236814809,237163781,226922011,247465407,272921121,647592160
18,I. 영업활동현금흐름,기부금,0,7585569547,,,,,,
