,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,4597942700017,3965909725715,3669853352447,2894550311839,2537906166030,2674108068698,2523849164486,2523323061325
1,유동자산,현금및현금성자산,689518057370,656089868179,596887445584,309271070411,239497858947,175367904195,419742921801,475323751520
2,유동자산,단기금융기관예치금,276940977367,206128547133,320553548224,70413848000,83332382623,174254266413,130281000000,108106842687
3,유동자산,매출채권및기타채권,384481303898,320690594237,364451195435,370022529055,316075461810,342739629357,312503446188,391969836452
4,유동자산,단기투자자산,1654765343135,1449730764628,1011444873800,915469709685,875934317000,695613414505,664237090752,539861884207
5,유동자산,파생상품금융자산,68444789,48688800,1815154414,15645283852,1390353846,2033857753,2153395999,2891640608
6,유동자산,기타유동자산,36435020846,45257085271,19447535090,9768753003,6463521525,5885784938,7863269311,8390547961
7,유동자산,재고자산,1555733552612,1287964177467,1355253599900,1203959117833,1015212270279,1278213211537,987068040435,996778557890
8,비유동자산,비유동자산,3242618521482,3259984417983,3368288920352,3588087579728,3370026840616,2968310496391,2597115568104,2417219079550
9,비유동자산,장기금융기관예치금,169049428,162973599,160303416,244322248141,416500000,416500000,438500000,21904543632
10,비유동자산,장기매출채권및기타채권,18539906411,18838020140,34441428111,15574665160,94724778211,88315663403,84150463740,86841611342
11,비유동자산,장기투자자산,165345876137,310307727497,485429700346,731343568183,726275224519,645704065957,535343805885,453459736384
12,비유동자산,유형자산,2900677492789,2785130782870,2702530846607,2484331995175,2428123829994,2111747816342,1852319800531,1705819134619
13,비유동자산,투자부동산,17449522900,17968485690,15990732821,15973178352,17668254843,18175416916,18792071827,19302088064
14,비유동자산,무형자산,93735746833,85777598105,79705832020,73708471360,70800275225,64959956405,67173341788,78359215507
15,비유동자산,사용권자산,3884975302,,,,,,,
16,비유동자산,관계기업및공동기업투자,21984779636,20574266858,19757422042,15872529936,21115488635,30932054048,35294743421,43396468075
17,비유동자산,이연법인세자산,19909609520,11383367799,14353508440,4776165323,10233361862,7429166782,3602840912,8136281927
18,비유동자산,순확정급여자산,921562526,9841195425,15919146549,2184758098,,,,
19,자산총계,자산총계,7840561221499,7225894143698,7038142272799,6482637891567,5907933006646,5642418565089,5120964732590,4940542140875
20,유동부채,유동부채,704279137809,538439985665,606533185419,536772600972,390034947933,551181946784,483370910582,625939277718
21,유동부채,매입채무및기타채무,482064747589,381743825093,433831933175,363135696814,246973785254,227343463550,288476362292,281660620414
22,유동부채,단기차입금,30592680077,18613887404,16913343274,24341799369,20325673776,121964640827,103484194088,146876959660
23,유동부채,유동성장기차입금,1244062280,4808126060,5059206840,6394849000,9007513600,11123655530,11648134448,13269141836
24,유동부채,당기법인세부채,157731314169,109498830907,116057327581,115407810333,98900643834,89774015396,62458153440,61941710061
25,유동부채,파생상품금융부채,919974936,605219210,568624816,3112838954,123465033,1219496888,1199250899,1368715547
26,유동부채,충당부채,18633127607,15577723465,16115111418,17738813817,9473478606,1701584434,2125725285,20493245867
27,유동부채,기타유동부채,13093231151,7592373526,17987638315,6640792685,5230387830,98055090159,13979090130,13855750916
28,비유동부채,비유동부채,297890188281,312926383158,325958332004,283160596227,298529230389,308122814602,305634802883,328557203623
29,비유동부채,장기매입채무및기타채무,9259246196,5359725313,959117065,1015702317,3557010619,3663838376,3996246055,4465594777
30,비유동부채,장기차입금,5969177540,7111929390,11782547300,17299377650,23558092600,38949162230,49900466360,61625859216
31,비유동부채,이연법인세부채,258533381838,277713028758,304126405039,256939827350,261202069456,254916747114,228211868924,229263729715
32,비유동부채,충당부채,24128382707,22741699697,9090262600,7905688910,8549163859,9260463764,15442379829,20493245867
33,부채총계,부채총계,1002169326090,851366368823,932491517423,819933197199,688564178322,859304761386,789005713465,954496481341
34,지배기업의 소유주에게 귀속되는 자본,지배기업의 소유주에게 귀속되는 자본,6715426245333,6250007641574,5960316698241,,,,,
35,지배기업의 소유주에게 귀속되는 자본,자본금,94350000000,94350000000,94350000000,94350000000,94350000000,94350000000,94350000000,94350000000
36,지배기업의 소유주에게 귀속되는 자본,자본잉여금,56572486272,55988912395,56051766943,57167048749,57314899185,57314899185,57314899185,57917488929
37,지배기업의 소유주에게 귀속되는 자본,자본조정,-53508694647,-53508694647,-53508694647,-53508694647,-53508694647,-53508694647,-53508694647,-53508694647
38,지배기업의 소유주에게 귀속되는 자본,기타포괄손익누계액,26311640202,15042561894,81666911842,118182233246,114178501594,61900793671,15224672413,48107374234
39,지배기업의 소유주에게 귀속되는 자본,이익잉여금,6591700813506,6138134861932,5781756714103,5300263427198,4864919999160,4473849865153,4069319762480,3712528587826
40,비지배지분,비지배지분,122965650076,124520133301,145334057135,146250679822,142114123032,149206940341,149258379694,126650903192
41,자본총계,자본총계,6838391895409,6374527774875,6105650755376,5662704694368,5219368828324,4783113803703,4331959019125,3986045659534
42,,자본과부채총계,7840561221499,7225894143698,7038142272799,6482637891567,5907933006646,5642418565089,5120964732590,4940542140875
