,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,영업활동현금흐름,영업활동현금흐름,692660279007,888331257909,796812343465,680703744719,944860095270,403850642360,728854802116,498585128887
1,영업활동현금흐름,영업활동으로창출된현금,851034068014,1053273669830,1019366512904,833867543243,1080783828519,500536680148,825110392496,731025417012
2,영업활동현금흐름,이자의수취,53750750816,55836258002,36665212562,26823387286,23875213452,37641000286,40082003397,48154134027
3,영업활동현금흐름,배당금의수령,2438005300,2772445680,2696182040,6505103200,2697920011,2327816375,2765738702,2613089007
4,영업활동현금흐름,이자의지급,732945598,1021984749,831749906,-1325754550,-2022861859,-2400206591,-7542956182,-11612455421
5,영업활동현금흐름,법인세의납부,213829599525,222529130854,261083814135,-185166534460,-160474004853,-134254647858,-131560376297,-271595055738
6,투자활동현금흐름,투자활동현금흐름,-473864320878,-649742277870,-323708942928,-458973219058,-650784624251,-563587742734,-530391349190,-593794821360
7,투자활동현금흐름,단기금융기관예치금의 감소,675445841147,439551728449,137160000000,154007620000,168150000000,153010000000,96669000000,93516402500
8,투자활동현금흐름,단기금융기관예치금의 증가,-744803755903,-325474369022,-173269295797,-140789970377,-77839936210,-197025266413,-118843157313,-173099990391
9,투자활동현금흐름,장기금융기관예치금의 감소,,,2546447509,4000000,,,21945828045,1959261984
10,투자활동현금흐름,장기금융기관예치금의 증가,,,-149400000,-227236181853,,,,-19000000
11,투자활동현금흐름,당기손익-공정가치측정금융자산의처분,1966087968141,1662539601792,,,,,,
12,투자활동현금흐름,당기손익-공정가치측정금융자산의취득,-2171558536727,-2202202536711,,,,,,
13,투자활동현금흐름,당기손익인식금융자산의 처분,,,455212803122,499083718069,269488246281,556796970241,172606697940,123917012324
14,투자활동현금흐름,당기손익인식금융자산의 취득,,,638948333516,-557715129074,-472273464654,-779867939824,-613568851877,-402940675372
15,투자활동현금흐름,유동성종속기업투자의처분,30318033196,26627799150,112324164109,,34472550073,29905997338,350373137527,240045253867
16,투자활동현금흐름,파생상품순결제액,1917393874,-874913814,17242477609,1947195328,1016379100,-3341204185,4173841868,13861853917
17,투자활동현금흐름,단기대여금의 감소,1638900180,428560000,483400000,15435543,6430122,44764324,4702561182,528033890
18,투자활동현금흐름,단기대여금의 증가,,-53634882,-14671139,,-1530618134,-11481730,-7267501468,-8563510
19,투자활동현금흐름,기타포괄손익-공정가치측정금융자산의처분,147374826933,63279343445,,,,,,
20,투자활동현금흐름,기타포괄손익-공정가치측정금융자산의취득,-10068020000,-1340335000,,,,,,
21,투자활동현금흐름,매도가능금융자산의 처분,,,297036481147,307833327418,163884973007,323070993389,200927833567,94127522770
22,투자활동현금흐름,매도가능금융자산의 취득,,,23152022116,-311252472344,-263330836450,-259861998897,-345410546643,-243919810249
23,투자활동현금흐름,상각후원가측정금융자산의처분,10135000,5860000,,,,,,
24,투자활동현금흐름,상각후원가측정금융자산의취득,-12300000,-13840000,,,,,,
25,투자활동현금흐름,만기보유금융자산의 처분,,,9585000,10140000,895000,1455000,1510000,9915000
26,투자활동현금흐름,만기보유금융자산의 취득,,,12440000,-17355000,-18680000,-10135000,-5860000,-9585000
27,투자활동현금흐름,관계기업투자의 취득,10000000000,3500000000,3500000000,,,,,
28,투자활동현금흐름,유형자산의 처분,645106450,1486303294,1194321710,2730975918,6372473945,3835758759,70929071,282143695
29,투자활동현금흐름,유형자산의 취득,358140007607,316159836098,496986935770,-184494473611,-479884968664,-391584263447,-289883129501,-303463340468
30,투자활동현금흐름,무형자산의 처분,3620000000,,140000000,2077232900,,92727273,1323636364,890000000
31,투자활동현금흐름,무형자산의 취득,7295393018,7945133332,2975455584,-2269204600,-301121860,-162052500,-7793858057,-6609134280
32,투자활동현금흐름,장기대여금의 증가,-500000000,-500000000,-12000000000,,,,-695108955,-32365941107
33,투자활동현금흐름,장기대여금의 감소,1605082048,14428400000,4000000000,,,,5387257,
34,투자활동현금흐름,보증금의 감소,239880700,342914098,544532570,1944674590,1712155814,1512785426,966305909,3873914812
35,투자활동현금흐름,보증금의 증가,389475292,368189239,594601782,-290672491,-676374621,-261539940,-1873034482,-3446034832
36,재무활동현금흐름,재무활동현금흐름,-190911553410,-182943823022,-172517182315,-156539766407,-236269636445,-86544452526,-251512861495,-223986151276
37,재무활동현금흐름,종속기업의유상증자,1566339880,614100,1469395490,,,,,
38,재무활동현금흐름,단기차입금의 순증가,11886928843,1758868930,-7552239695,4303991193,-102042442085,15026491922,-41350371584,90049793878
39,재무활동현금흐름,유동성장기차입금의 상환,4830355891,5059206840,6394956100,-9007513600,-11123655530,-11648134448,-13226809096,-237172220354
40,재무활동현금흐름,리스부채의 상환,-3361988369,,,,,,,
41,재무활동현금흐름,비지배지분의 취득,-201822103,-1349362500,-8256732010,,,,,
42,재무활동현금흐름,배당금의 지급,195970655770,178294736712,151782650000,-151782650000,-116434170000,-89922810000,-89821190000,-89869190000
43,현금및현금성자산의순증가(감소),현금및현금성자산의순증가(감소),27884404719,55645157017,300586218222,65190759254,57805834574,-246281552900,-53049408569,-319195843749
44,기초현금및현금성자산,기초현금및현금성자산,656089868179,596887445584,309271070411,239497858947,175367904195,419742921801,475323751520,803442708885
45,환율변동으로인한증감,환율변동으로인한증감,5543784472,3557265578,-12969843049,4582452210,6324120178,1906535294,-2531421150,-8923113616
46,기말현금및현금성자산,기말현금및현금성자산,689518057370,656089868179,596887445584,309271070411,239497858947,175367904195,419742921801,475323751520
