,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,매출,매출,6694810889702,6883323139792,6596671356857,5847513111727,4771442958357,4938531767644,4817733928577,5497530087241
1,매출원가,매출원가,5743570626840,5979323637982,5527931674982,4904822947940,3929484147893,4112561294461,4081798431381,4599705167873
2,매출총이익,매출총이익,951240262862,903999501810,1068739681875,942690163787,841958810464,825970473183,735935497196,897824919368
3,판매비와관리비,판매비와관리비,145911425970,139280738100,173987317636,178005575910,169739877411,143297859987,137326267338,140286019328
4,영업이익,영업이익,805328836892,764718763710,894752364239,764684587877,672218933053,682672613196,598609229858,757538900040
5,기타손익,기타손익,-2809527965,6521000303,3315761664,-6959910978,3907390594,-5926064242,-15684159389,4683329675
6,기타손익,기타수익,63859921158,61532853712,55566373406,69295879332,57243509302,45175719765,49853996863,57915409334
7,기타손익,기타비용,-66669449123,-55011853409,-52250611742,-76255790310,-53336118708,-51101784007,-65538156252,-53232079659
8,금융손익,금융손익,68332405474,-191557247,27156518410,45644583665,17435682384,10163365725,21805465934,-4386051896
9,금융손익,금융수익,102740296283,74910113508,81370109670,91675117154,61156380079,63223646574,70636201278,80415451642
10,금융손익,금융비용,-34407890809,-75101670755,-54213591260,-46030533489,-43720697695,-53060280849,-48830735344,-84801503538
11,지분법손익,지분법손익,1550479752,-2317699324,508006224,-1677784233,-9042800671,-3878106217,-9076407826,-6488680310
12,지분법손익,지분법이익,1597460731,550551918,646310148,1009419046,391223583,262409843,49139898,203184757
13,지분법손익,지분법손실,-46980979,-2868251242,-138303924,-2687203279,-9434024254,-4140516060,-9125547724,-6691865067
14,법인세비용차감전순이익(손실),법인세비용차감전순이익(손실),872402194153,768730507442,925732650537,801691476331,684519205360,683031808462,595654128577,751347497509
15,법인세비용,법인세비용,233788842334,233915568437,291701507839,207107133877,170528881018,178157480807,142896296603,183316550247
16,당기의 순이익,당기의 순이익,638613351819,534814939005,634031142698,594584342454,513990324342,504874327655,452757831974,568030947262
17,당기의 순이익,지배주주순이익,632926486346,527413734239,629045869288,592417524279,509375330137,501273642684,448076996696,560151868038
18,당기의 순이익,비지배주주순이익,5686865473,7401204766,4985273410,2166818175,4614994205,3600684971,4680835278,7879079224
19,법인세비용차감후기타포괄손익,법인세비용차감후기타포괄손익,20943971474,-86283126648,-32529853315,-6255235294,38698870279,36203266923,-24712201549,-2165151514
20,법인세비용차감후기타포괄손익,후속적으로 당기손익으로 재분류되는 포괄손익,38029013154,22136034132,-35325082812,912888692,42476085936,44830711523,-21689696756,2739664201
21,법인세비용차감후기타포괄손익,기타포괄손익-공정가치측정금융자산평가손익,573642101,-3575496342,,,,,,
22,법인세비용차감후기타포괄손익,매도가능금융자산평가손익,,,30585711573,-9929116812,2529216100,26641998411,-12640656028,43377407981
23,법인세비용차감후기타포괄손익,(부의)지분법자본변동,16928131,27283867,-22715217,274190392,-365092451,-93478309,136581293,-366701698
24,법인세비용차감후기타포괄손익,해외사업환산손익,37438442922,25684246607,-65888079168,10567815112,41170534492,17497116872,-10149421571,-36629384431
25,법인세비용차감후기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 포괄손익,-17085041680,-108419160780,2795229497,-7168123986,-3777215657,-8627444600,-3022504793,-4904815715
26,법인세비용차감후기타포괄손익,기타포괄손익-공정가치측정금융자산평가손익,-7270182177,-100243037107,,,,,,
27,법인세비용차감후기타포괄손익,확정급여제도 재측정요소,-9741306898,-8071926446,2812285898,-7137897073,-3726958866,-8491569705,-3014871348,-4765272604
28,법인세비용차감후기타포괄손익,지분법이익잉여금변동,-73552605,-104197227,-17056401,-30226913,-50256791,-135874895,-7633445,-139543111
29,총포괄이익,총포괄이익,659557323293,448531812357,601501289383,588329107160,552689194621,541077594578,428045630425,565865795748
30,총포괄이익,지배주주포괄이익,659251669882,466496197881,595209005501,589578199690,558230399169,539577423931,412279672833,557762067982
31,총포괄이익,비지배주주포괄이익(손실),305653411,-17964385524,6292283882,-1249092530,-5541204548,1500170647,15765957592,8103727766
32,주당이익 [abstract],기본주당이익,35811,29841,35591,33519,28820,28362,25352,31693
