,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,916181572072,949368314163,913745074012,904239910989,899828893581,1061913123963,567026341562,556988962501
1,유동자산,현금및현금성자산,122345942641,150396335838,117301702235,118299167791,169790326561,191196140428,51443454524,44880612312
2,유동자산,금융기관예치금,10627227908,17033312745,16227569954,11775103636,10678745445,45657251826,11043616937,16450548737
3,유동자산,매출채권,403523174449,403906698938,422373912165,432946476895,374855783752,410438459427,268938415481,252912685729
4,유동자산,기타수취채권,20277277295,15493588563,25044604235,20957799312,14482880004,9761345880,9413670584,8818912833
5,유동자산,기타유동금융자산,26390000,12818296400,31776105604,21683233905,12636194352,15440124154,15486258200,16462996599
6,유동자산,재고자산,331584643178,322701066302,272182197412,270542639258,296212881747,361671294341,200734519983,207566133310
7,유동자산,기타유동자산,26529679024,24777819941,24357759439,22329180820,20112912738,25433556226,7483820801,7161889750
8,유동자산,당기법인세자산,1267237577,2241195436,4481222968,5706309372,1059168982,2314951681,2482585052,2735183231
9,비유동자산,비유동자산,1437470848969,1438097911008,1486812960450,1548852426818,1525957923681,1461076129914,1256936505231,1256988760639
10,비유동자산,금융기관예치금,9100000,7235200,9414910,7358500,6857200,169336400,71735550,5500000
11,비유동자산,기타수취채권,9991643213,8764365859,6440154348,8536042681,11338602663,9436518363,6228581872,6619052341
12,비유동자산,기타비유동금융자산,44564146597,13310665804,17830014606,37375564011,44221694028,40122050288,22133518708,22737074246
13,비유동자산,유형자산,1004455634914,982224612146,1017617388209,1074046997802,1091844201810,1040942078152,656358154980,659169047722
14,비유동자산,무형자산,16120106655,16569380813,18697551257,22741098100,16252501024,12779112005,6563580206,6328298995
15,비유동자산,종속기업투자,247646460215,244847863623,252989962126,236733177047,221245104662,216595456348,442308488991,432972611785
16,비유동자산,투자부동산,110834037213,107534732934,107026093017,101179238353,71718944093,76395073154,77391787885,78388502616
17,비유동자산,기타비유동자산,3035672465,63895812677,65299951141,66025386338,67543558428,63057733278,44707694902,49298228447
18,비유동자산,이연법인세자산,814047697,943241952,902430836,2207563986,1786459773,1578771926,1172962137,1445444487
19,자산총계,자산총계,2353652421041,2387466225171,2400558034462,2453092337807,2425786817262,2522989253877,1823962846793,1813977723140
20,유동부채,유동부채,640459454298,690066631117,714478662963,733876297186,725053820777,846253274264,360792805067,366035701866
21,유동부채,매입채무,138479164452,161235734402,151362444623,150269231117,134685882836,155294990762,110448352230,104110776781
22,유동부채,기타지급채무,69914173290,84752430865,72679638984,61491417316,76830939786,60880290306,45427033305,42860442121
23,유동부채,단기차입금,359444210999,379372080825,385080764346,418717083432,,,,183215383072
24,유동부채,유동성장기부채,26684151895,28927583376,72470833848,68667679398,,,,19401433270
25,유동부채,당기법인세부채,9719096911,4964616449,3702652492,1323268730,5151232242,9183107036,4354843475,3329559165
26,유동부채,기타유동부채,36218656751,30814185200,29182328670,33407617193,25149741808,25969220511,890472829,13118107457
27,비유동부채,비유동부채,231324368785,240321137819,227780147603,236882713133,244704410880,202964663659,192304763311,188902555431
28,비유동부채,기타지급채무,12342983111,14578140065,13625510190,9138154876,3998085821,3680521223,3392421001,3101054089
29,비유동부채,장기차입금,74822440360,82635506773,68566146851,90982749101,94091105258,45042258819,41840274622,36743645706
30,비유동부채,순확정급여부채,6032500480,3857674631,1233191344,1532983374,5428563538,4409682155,4488210546,4538245986
31,비유동부채,기타비유동부채,5213518973,2246093724,2252480154,2403518995,1706257552,2824559809,4454979790,4846796836
32,비유동부채,이연법인세부채,132912925861,137003722626,142102819064,132825306787,139480398711,147007641653,138128877352,139672812814
33,부채총계,부채총계,871783823083,930387768936,942258810566,970759010319,969758231657,1049217937923,553097568378,554938257297
34,지배기업의 소유주지분,지배기업의 소유주지분,1376617592659,1364005551667,1365648924611,1384952710830,1356049150992,1369401961507,1155992562467,
35,지배기업의 소유주지분,납입자본,20000000000,20000000000,18000000000,18000000000,18000000000,15000000000,15000000000,15000000000
36,지배기업의 소유주지분,기타자본구성요소,11518471603,11900024621,11577493358,11577493358,8580313111,8611327364,2338208314,2439693921
37,지배기업의 소유주지분,기타포괄손익누계액,-46869815074,-61224811171,-61227791322,-22193361325,-15313278207,6500608202,78363865555,88868606975
38,지배기업의 소유주지분,이익잉여금,1391968936130,1393330338217,1397299222575,1377568578797,1344782116088,1339290025941,1060290488598,1036699952710
39,비지배지분,비지배지분,105251005299,93072904568,92650299285,97380616658,99979434613,104369354447,114872715948,116031212237
40,자본총계,자본총계,1481868597958,1457078456235,1458299223896,1482333327488,1456028585605,1473771315954,1270865278415,1259039465843
41,,부채및자본총계,2353652421041,2387466225171,2400558034462,2453092337807,2425786817262,2522989253877,1823962846793,1813977723140
