,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,영업활동현금흐름,영업활동현금흐름,81755681191,124047822571,114006978533,119167508627,200742673806,74570423142,85039125277,120244753636
1,영업활동현금흐름,영업에서 창출된 현금,100497497591,142623973324,133142149562,140816735628,225629832684,95558555064,101604748456,144624393513
2,영업활동현금흐름,이자의 수취,2371458735,2400177786,2525833253,2451137825,4336562195,4742402737,1581519102,2041040256
3,영업활동현금흐름,이자의 지급,13548799986,15578660274,14319997651,-12194501195,-14161291851,-14490616975,-5726078044,-7247663447
4,영업활동현금흐름,배당금의 수취,985601917,1170589453,1523934448,525216316,898893930,579082274,653077179,855695915
5,영업활동현금흐름,법인세의 납부,8550077066,6568257718,8864941079,-12431079947,-15961323152,-11818999958,-13074141416,-20028712601
6,투자활동현금흐름,투자활동현금흐름,-73753120808,-52641139321,-93578563820,-157014390825,-155414803838,-64397891820,-86780997354,-157513021452
7,투자활동현금흐름,금융기관예치금의 감소,33895946573,14229826550,11350804834,14952736196,45398171283,22445449567,5465929000,13455724506
8,투자활동현금흐름,기타수취채권의 감소,13582450671,11957269850,3828851375,6472247523,3342386667,7643009580,,
9,투자활동현금흐름,관계기업투자주식의 처분,117493500,,,,,,,
10,투자활동현금흐름,기타금융자산의 처분,9396891102,39978846535,21424526044,11526268879,7663400396,56574259809,7436238175,5532117720
11,투자활동현금흐름,유형자산의 처분,3202640979,1586627792,2594699486,24284358704,5177031058,2000948593,3257911174,13898594603
12,투자활동현금흐름,무형자산의 처분,635045452,1085454542,145454546,51694000,25432000,11325000,632134,452029130
13,투자활동현금흐름,투자부동산의 처분,7300000000,,,3600000000,3400000000,,,
14,투자활동현금흐름,정부보조금의 수취,,435909092,2322042228,,,,,
15,투자활동현금흐름,연결범위변동으로 인한 환율변동(현금유입),321450963,,156835319,,,,,
16,투자활동현금흐름,금융기관예치금의 증가,27483717034,14995066129,15956036496,16047908929,-10399716499,-14248796059,-125235550,18064139152
17,투자활동현금흐름,기타수취채권의 증가,15204161900,4376978487,11814052989,13419949557,-5197313787,-9248073472,,
18,투자활동현금흐름,기타금융자산의 취득,29470584467,17249688800,8407948659,19180376545,-12589768124,-113298346,-255077560,3102872471
19,투자활동현금흐름,관계기업에 대한 투자자산의 취득,13570024000,1766136800,,,,,,
20,투자활동현금흐름,유형자산의 취득,48390770734,80519665840,97395796608,157587021797,-177778753678,-128613388566,-98504148827,169468833963
21,투자활동현금흐름,무형자산의 취득,5744986,351576530,1502742900,7836655301,-4738008496,-758428392,-457543326,23176331
22,투자활동현금흐름,투자부동산의 취득,8080036927,2655961096,325200000,20000000,,,,
23,재무활동현금흐름,재무활동현금흐름,-38638006314,-38497731983,-17963119079,-11426971021,-66789789090,128994998435,7593046743,30532178463
24,재무활동현금흐름,차입금의 증가,299645771843,271643735236,106867318376,209993871598,318587411175,321535958518,92791629313,529398114685
25,재무활동현금흐름,비지배지분출자,11850401410,,,4690390833,9130770000,,2847893779,4739526
26,재무활동현금흐름,차입금의 상환,340437274601,303788162777,118145274239,-215122251719,-380097328062,-187292102133,-79949724620,494282554581
27,재무활동현금흐름,자기주식의 취득,,54713542,,,-31014253,,,34253491
28,재무활동현금흐름,배당금지급,6998034400,6298590900,6636109216,-6298590900,-5248857950,-5248857950,-5248857950,4549128150
29,재무활동현금흐름,리스부채의 상환,2698870566,,,,,,,
30,재무활동현금흐름,신주발행비 지급,,,49054000,,,,,
31,현금및현금성자산의 감소,현금및현금성자산의 감소,-30635445931,32908951267,2465295634,-49273853219,-21461919122,139167529757,5851174666,-6736089353
32,기초 현금및현금성자산,기초 현금및현금성자산,150396335838,117301702235,118299167791,169790326561,191196140428,51443454524,44880612312,51574863286
33,외화표시 현금의 환율변동효과,외화표시 현금의 환율변동효과,2585052734,185682336,-3462761190,-2217305551,56105255,585156147,711667546,41838379
34,기말 현금및현금성자산,기말 현금및현금성자산,122345942641,150396335838,117301702235,118299167791,169790326561,191196140428,51443454524,44880612312
