,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,매출액,매출액,1639715935474,1577235683490,1550456862874,1417444526247,1473202476824,1341239002725,1080621026925,1118626320103
1,매출원가,매출원가,1439998068839,1377150595676,1309674320843,-1186193033635,-1240187336639,-1125587896462,-904355612220,940096608267
2,매출총이익,매출총이익,199717866635,200085087814,240782542031,231251492612,233015140185,215651106263,176265414705,178529711836
3,판매비와관리비,판매비와관리비,168066429911,162065605074,201952926330,-194233906290,-188665182077,-175265258467,-127693466394,127278472916
4,영업이익,영업이익,31651436724,38019482740,38829615701,37017586322,44349958108,40385847796,48571948311,51251238920
5,기타영업외수익,기타영업외수익,16415285621,17028253449,21997184718,22926860238,8667216483,295866120357,5258284777,23909388058
6,기타영업외비용,기타영업외비용,12067747209,26837807112,25739980834,-16503489672,-12813220973,-15612725995,-6430099766,19171890268
7,금융수익,금융수익,19961071905,21282885260,35042638709,34050485426,50639716527,29982234801,20928193836,18228658168
8,금융비용,금융비용,29092645574,36626709678,43545109604,-47075603917,-68101962385,-46786529309,-19540740304,17088707176
9,공동기업 및 관계기업 투자 손익,공동기업 및 관계기업 투자 손익,-8538791012,-4979095732,16559113264,7264372918,6355906488,-5406904042,-454605321,14631549712
10,법인세비용차감전순이익,법인세비용차감전순이익,18328610455,7887008927,43143461954,37680211315,29097614248,298428043608,48332981533,71760237414
11,법인세비용,법인세비용,12270278851,6010982316,20692585063,2609515576,-10751250318,-7899560975,-11591393718,27910523226
12,당기순이익,당기순이익,6058331604,1876026611,22450876891,40289726891,18346363930,290528482633,36741587815,43849714188
13,당기순이익(손실)의 귀속 [abstract],지배기업의 소유주지분,9981078075,3383602239,23689915805,39981096826,19366994371,290697182800,30226445345,42458277310
14,당기순이익(손실)의 귀속 [abstract],비지배지분,-3922746471,-1507575628,-1239038914,308630065,-1020630441,-168700167,6515142470,1391436878
15,기타포괄손익,기타포괄손익,14260996127,3853985165,-39799817266,-9022913506,-39939992076,-72405954442,-21736459680,-51793590249
16,기타포괄손익,당기손익으로 재분류 되는 항목,20913824168,6274941546,-42139136139,,,,,
17,기타포괄손익,해외사업장환산외환차이,21255807925,8579694423,-33015907622,-9371984272,-30977626268,8481881358,-33071043011,-20623979714
18,기타포괄손익,매도가능금융자산평가손익,,,-11926949881,5381554055,-2487081016,-23296901689,6483362167,-12359605676
19,기타포괄손익,공동기업 및 관계기업투자의 기타포괄손익지분,-459963527,-2703858241,302938012,-3787612768,-2418900399,-63267658214,9126250492,-19134572965
20,기타포괄손익,기타포괄손익관련 법인세효과,117979770,399105364,2500783352,-348827304,1569661881,5271731443,-2887977821,747757587
21,기타포괄손익,당기손익으로 재분류되지 않는항목,-6652828041,-2420956381,2339318873,,,,,
22,기타포괄손익,순확정급여부채의 재측정요소,-4966152802,-2733952543,2506289801,-1432474171,-6317143063,175801171,-2243120513,-1185359060
23,기타포괄손익,공동기업 및 관계기업투자의 재측정요소 중 지분 해당액,-567904775,-250028702,520115745,275096529,-780722382,349491104,441221522,590453859
24,기타포괄손익,기타포괄손익-공정가치 측정 금융자산 평가손익,-3019674742,-128504962,,,,,,
25,기타포괄손익,기타포괄손익관련 법인세효과,1900904278,691529826,-687086673,261334425,1471819171,-120299615,414847484,171715720
26,총포괄이익,총포괄이익,20319327731,5730011776,-17348940375,31266813385,-21593628146,218122528191,15005128135,-7943876061
27,총 포괄손익의 귀속 [abstract],지배기업의 소유주지분,19991628410,5307406493,-12956141319,32204970491,-8072938312,219238918107,18334652418,-4369696648
28,총 포괄손익의 귀속 [abstract],비지배지분,327699321,422605283,-4392799056,-938157106,-13520689834,-1116389916,-3329524283,-3574179413
29,주당이익 [abstract],기본주당이익(손실),499,169,1185,,,,,
