,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,,,-11350651000000,-10396886000000,3198475000000,-4098109000000,-6006965000000,-3370523000000,-6755969000000,7468434000000
1,,,-16535003000000,-15645449000000,-1578270000000,-8621512000000,-10131199000000,-7777721000000,-10740433000000,3480524000000
2,,,1614261000000,1764278000000,1508528000000,1164601000000,1150568000000,1032005000000,854209000000,1181256000000
3,,,-3352548000000,-3462045000000,-3477752000000,-3298856000000,-3168499000000,-2800744000000,-2831220000000,-2865427000000
4,,,-14796716000000,-13947682000000,390954000000,-6487257000000,-8113268000000,-6008982000000,-8763422000000,5164695000000
5,,,9291249000000,8811290000000,7826581000000,7572923000000,7891430000000,8546739000000,8636175000000,9306276000000
6,,,-3712643000000,-3301326000000,-2767146000000,-2932403000000,-3493588000000,-4134877000000,-4671525000000,-4837201000000
7,,,181856000000,226872000000,142092000000,118719000000,114474000000,109865000000,86101000000,77274000000
8,,,-576110000000,-488273000000,-424782000000,-235836000000,-388082000000,-114529000000,-66287000000,-558439000000
9,,,-5348187000000,-4054356000000,-7772593000000,-1219143000000,-1013437000000,1209704000000,-1266658000000,-6014747000000
10,,,-23843281000000,-18468369000000,,,,,,
11,,,23678442000000,18065709000000,,,,,,
12,,,-15445527000000,-10486867000000,,,,,,
13,,,15623838000000,9509408000000,,,,,,
14,,,-12383321000000,-8639943000000,,,,,,
15,,,7798095000000,6117901000000,,,,,,
16,,,121672000000,79425000000,24496000000,51421000000,47077000000,49224000000,49425000000,
17,,,-647048000000,-152475000000,-103572000000,-35675000000,-17665000000,-22097000000,-36523000000,
18,,,1348000000,135283000000,10835000000,3222000000,10719000000,2613000000,7658000000,14324000000
19,,,-145818000000,-155184000000,-140855000000,-436894000000,-113427000000,-134469000000,-158192000000,-234040000000
20,,,5035000000,3336000000,1564000000,3516000000,5584000000,2763000000,3727000000,2602000000
21,,,-110588000000,-62580000000,-44632000000,-44926000000,-54246000000,-156460000000,-122151000000,-45279000000
22,,,-1034000000,,,,,,,
23,,,16464304000000,16196958000000,4424042000000,5434599000000,6653640000000,1059848000000,8920512000000,-755099000000
24,,,2668022000000,653064000000,700367000000,-883378000000,2078500000000,-417695000000,1118614000000,-4750982000000
25,,,130748697000000,111725594000000,,,,,,
26,,,-116918042000000,-96034418000000,,,,,,
27,,,-72802000000,,,,,,,
28,,,224541000000,,,39903000000,39915000000,9723000000,49891000000,
29,,,349405000000,349475000000,633303000000,599040000000,599200000000,,200000000000,
30,,,-101326000000,-89055000000,-68118000000,-75182000000,-64651000000,-48660000000,-40157000000,-38184000000
31,,,-412315000000,-407702000000,-316023000000,-294675000000,-280260000000,-205455000000,-257754000000,-373769000000
32,,,-21876000000,,,,,,,
33,,,47055000000,81113000000,-69281000000,56933000000,86016000000,16796000000,54275000000,-152598000000
34,,,-187479000000,1826829000000,-219357000000,174280000000,-280746000000,-1084175000000,952160000000,545990000000
35,,,4471311000000,2644482000000,2863839000000,2689559000000,2970305000000,4054479000000,3102319000000,2556329000000
36,,,4283832000000,4471311000000,2644482000000,2863839000000,2689559000000,2970304000000,4054479000000,3102319000000
