,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,,,5751987000000,5632286000000,5259954000000,4883124000000,4630948000000,4511009000000,4256495000000,4468342000000
1,,,9488526000000,9040608000000,8075990000000,7778920000000,7986626000000,8597526000000,8694129000000,9475363000000
2,,,152958000000,153118000000,122081000000,,,,,
3,,,9335568000000,8887490000000,,,,,,
4,,,-3736539000000,-3408322000000,-2816036000000,-2895796000000,-3355678000000,-4086517000000,-4437634000000,-5007021000000
5,,,514232000000,451155000000,407220000000,375448000000,405594000000,345891000000,358438000000,408735000000
6,,,883078000000,908108000000,849337000000,774418000000,772116000000,679700000000,666450000000,674540000000
7,,,-368846000000,-456953000000,-442117000000,-398970000000,-366522000000,-333809000000,-308012000000,-265805000000
8,,,387188000000,456869000000,-154978000000,,,,,
9,,,-135939000000,-27509000000,-29281000000,-28918000000,-17152000000,-28347000000,-11805000000,-14373000000
10,,,8466000000,-72873000000,113571000000,-60625000000,-115104000000,-86455000000,,
11,,,145584000000,259287000000,,,,,,
12,,,114934000000,69045000000,,,,,,
13,,,-116831000000,-102213000000,-58991000000,-47406000000,-45128000000,-37086000000,-31945000000,-17785000000
14,,,179632000000,96932000000,308079000000,-70635000000,108365000000,112280000000,-92531000000,-8863000000
15,,,6849253000000,6762979000000,6133334000000,5486529000000,5351931000000,5149657000000,4920179000000,5206746000000
16,,,-1530119000000,-1516873000000,-1431098000000,-1252414000000,-1201642000000,-1209022000000,-1254105000000,-1193603000000
17,,,5319134000000,5246106000000,4702236000000,4234115000000,4150289000000,3940635000000,3666074000000,4013143000000
18,,,-2409457000000,-2298704000000,-2188527000000,-2154595000000,-2096700000000,-2005470000000,-2012263000000,-1859358000000
19,,,249937000000,233180000000,173125000000,150346000000,95699000000,81960000000,107219000000,70525000000
20,,,-912960000000,-775889000000,-658511000000,-697275000000,-649636000000,-628794000000,-618588000000,-612018000000
21,,,-18739000000,-8258000000,,,,,,
22,,,2227915000000,2396435000000,2028323000000,1532591000000,1499652000000,1388331000000,1142442000000,1612292000000
23,,,12322000000,3032000000,-74697000000,-15412000000,-30185000000,-45034000000,-7896000000,-62682000000
24,,,2240237000000,2399467000000,1953626000000,1517179000000,1469467000000,1343297000000,1134546000000,1549610000000
25,,,-625976000000,-635189000000,-445098000000,-352578000000,-318899000000,-311292000000,-280337000000,-368354000000
26,,,1614261000000,1764278000000,1508528000000,,,,,
27,,,12994000000,-52949000000,-5594000000,-81259000000,206471000000,124617000000,-41639000000,-54053000000
28,,,-57413000000,-106754000000,-9740000000,-10184000000,-19381000000,-40661000000,13110000000,-13977000000
29,,,160000000,36000000,,,,,,
30,,,-24601000000,-89709000000,,,,,,
31,,,-32972000000,-17081000000,-9740000000,-10184000000,-19381000000,-40661000000,13110000000,-13977000000
32,,,70407000000,53805000000,4146000000,-71075000000,225852000000,165278000000,-54749000000,-40076000000
33,,,35957000000,46722000000,,,,,,
34,,,1941000000,-3312000000,-2182000000,2857000000,3259000000,1690000000,-352000000,
35,,,27705000000,13137000000,-67980000000,-20248000000,41424000000,23611000000,-20847000000,-37179000000
36,,,-836000000,1111000000,13000000,,,,,
37,,,-9609000000,-8441000000,23323000000,-105000000,-8295000000,,,
38,,,15249000000,4588000000,,,,,,
39,,,1627255000000,1711329000000,1502934000000,1083342000000,1357039000000,1156622000000,812570000000,1127203000000
40,,,1614261000000,1764278000000,1508528000000,1164601000000,1150568000000,1032005000000,854209000000,1181256000000
41,,,1605847000000,1754243000000,1501454000000,1157536000000,1142983000000,1026598000000,848492000000,1180334000000
42,,,8414000000,10035000000,7074000000,7065000000,7585000000,5407000000,5717000000,922000000
43,,,1627255000000,1711329000000,1502934000000,1083342000000,1357039000000,1156622000000,812570000000,1127203000000
44,,,1619126000000,1702280000000,1495804000000,1076456000000,1348643000000,1151573000000,807160000000,1126213000000
45,,,8129000000,9049000000,7130000000,6886000000,8396000000,5049000000,5410000000,990000000
46,,,,,,,,,,
47,,,2242000000,2531000000,2178000000,1647000000,1672000000,1539000000,1266000000,1788000000
48,,,2242000000,2531000000,2178000000,1647000000,1672000000,1539000000,1266000000,1788000000
