,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,영업활동으로 인한 현금흐름,영업활동으로 인한 현금흐름,-11081572280,42557813292,12046102397,120984358911,79409991307,-49792474363,-55415898246,-99151776292
1,영업활동으로 인한 현금흐름,영업으로부터 창출된 현금흐름,-11763030803,45964692585,19044352448,123074814187,75350575179,,,
2,영업활동으로 인한 현금흐름,이자의 수취,3878144916,3877522037,2938250017,3585531423,4606526498,,,
3,영업활동으로 인한 현금흐름,배당금의 수취,0,7527730,10190422,123978717,81785799,245103402,398223516,481727204
4,영업활동으로 인한 현금흐름,법인세의 납부,2224509400,7291929060,9946690490,-5799965416,-628896169,,,
5,영업활동으로 인한 현금흐름,리스부채의 이자지급,972176993,0,0,,,,,
6,투자활동으로 인한 현금흐름,투자활동으로 인한 현금흐름,12138707119,-45814055613,-24083951392,-78269396462,-84238486760,47747055733,-19868095597,14136696581
7,투자활동으로 인한 현금흐름,단기금융상품의 감소,106589064470,100543057335,87481359605,90500000000,75506998250,96554064479,169005379464,227767247233
8,투자활동으로 인한 현금흐름,당기손익인식금융자산의 감소,0,0,195574407205,49566227172,-13766568813,-34640247054,-48053836398,-105316210523
9,투자활동으로 인한 현금흐름,국공채의 감소,31740000,28800000,0,,,,,
10,투자활동으로 인한 현금흐름,당기손익-공정가치측정금융자산의 감소,222430112663,309782370906,0,,,,,
11,투자활동으로 인한 현금흐름,매도가능금융자산의 감소,0,0,15616068806,118702080,,5653544657,6488437451,
12,투자활동으로 인한 현금흐름,만기보유금융자산의 감소,0,0,108095000,100455000,,690175000,182090000,101700000
13,투자활동으로 인한 현금흐름,단기대여금의 감소,1718386268,511634968,543570594,477297000,14840000,15372447,15694490,83590390
14,투자활동으로 인한 현금흐름,보증금의 감소,1093146057,918352450,2918998000,1102004449,2330182470,1294295954,635893626,1931172700
15,투자활동으로 인한 현금흐름,임대보증금의 증가,0,70000000,41066430,,,,120000000,39680000
16,투자활동으로 인한 현금흐름,유형자산의 처분,94824719,1001206889,439740388,1084974949,406562598,16737255799,4341958505,2026366280
17,투자활동으로 인한 현금흐름,매각예정비유동자산 처분,16124050450,46843686300,0,,,,,
18,투자활동으로 인한 현금흐름,무형자산의 처분,43636364,173740000,0,1326491812,,700000000,,4320000
19,투자활동으로 인한 현금흐름,장기대여금의 감소,4824515133,3427557730,8219378036,8141147035,12493230390,12428014269,13480560337,10829110898
20,투자활동으로 인한 현금흐름,국고보조금의 수령,2735145000,4236604000,0,,,,,
21,투자활동으로 인한 현금흐름,단기금융상품의 증가,60000000000,117528908990,96626178087,-101000000000,-78293822594,-73191997433,-224360785807,-223837251755
22,투자활동으로 인한 현금흐름,장기금융상품의 증가,723441427,352920000,352920000,-2105940000,,,-2120000000,-120000000
23,투자활동으로 인한 현금흐름,당기손익인식금융자산의 증가,0,0,151243939617,-79771490000,-65000000000,-28000000000,-48053836398,-105316210523
24,투자활동으로 인한 현금흐름,국공채의 증가,0,218270000,0,,,,,
25,투자활동으로 인한 현금흐름,당기손익-공정가치측정금융자산의 증가,184572183285,316565545143,0,,,,,
26,투자활동으로 인한 현금흐름,매도가능금융자산의 증가,0,0,24950495050,-5100000000,-5000000000,-90000,,
27,투자활동으로 인한 현금흐름,만기보유금융자산의 증가,0,0,2770000,-2400000,-33930000,,,
28,투자활동으로 인한 현금흐름,단기대여금의 증가,345000,11355000,1874000,,-15777000,-12341947,-13621990,-13755140
29,투자활동으로 인한 현금흐름,장기대여금의 증가,1194286588,3111000000,5860000000,-2375000000,-2750000000,-7830100000,-3000000000,-9210000000
30,투자활동으로 인한 현금흐름,보증금의 증가,1414750700,2013291198,2744363680,-777403186,-1615307000,-831075000,-557656450,-3162323430
31,투자활동으로 인한 현금흐름,유형자산의 취득,7931254852,10193790654,14808013621,-8385548425,-6328571612,-7456611148,-10848906467,-13036612625
32,투자활동으로 인한 현금흐름,건설중인자산의 취득,87610735551,62744781328,38075939004,-30829778620,-19343277234,-22774205857,-78545282723,-87371452637
33,투자활동으로 인한 현금흐름,무형자산의 취득,98916602,611203878,172462397,-152047128,-202522341,-484654211,-840736722,-263274868
34,투자활동으로 인한 현금흐름,임대보증금의 상환,0,0,187680000,-187088600,-49946000,-100000000,,-1912315800
35,재무활동으로 인한 현금흐름,재무활동으로 인한 현금흐름,-10304344021,-854812100,-854686030,-854700070,-854643030,-854593000,-754715690,-856904850
36,재무활동으로 인한 현금흐름,배당금의 지급,855126010,854812100,854686030,-854700070,-854643030,-854593000,-854715690,-856904850
37,재무활동으로 인한 현금흐름,리스부채의 상환,8262064311,0,0,,,,,
38,재무활동으로 인한 현금흐름,임대보증금의 상환,1187153700,0,0,-187088600,-49946000,-100000000,,
39,현금및현금성자산의 증가(감소),현금및현금성자산의 증가(감소),-9247209182,-4111054421,-12892535025,41860262379,-4153438483,-2900011630,-76038709533,
40,현금및현금성자산에 대한 환율변동효과,현금및현금성자산에 대한 환율변동효과,-4317740,-13966992,-69877858,51390490,116417839,,,
41,기초현금및현금성자산,기초현금및현금성자산,79435429956,83560451369,96522864252,54611211383,58648232027,61602752168,137656707433,224952467246
42,기말현금및현금성자산,기말현금및현금성자산,70183903034,79435429956,83560451369,96522864252,54611211383,58648232027,61602752168,137656707433
