,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,영업활동현금흐름,영업활동현금흐름,7650391894,37643839290,144482443817,,,,,
1,영업활동현금흐름,영업에서 창출된 현금,49832643470,86881737654,188664724930,,,,,
2,영업활동현금흐름,이자의 수취,2870262517,2779394094,2235785030,,1926518072,866726436,1344925610,3046483482
3,영업활동현금흐름,배당금의 수취,3666830102,1169377805,1064330687,,757372736,719995730,3676155404,1230580240
4,영업활동현금흐름,이자의 지급,16714579691,17072147883,13209304218,,-9361264773,-9415528887,-6557263241,-9749532535
5,영업활동현금흐름,법인세의 납부,32004764504,36114522380,34273092612,,-52877647526,-22506496531,-44116840802,-30053282788
6,투자활동현금흐름,투자활동현금흐름,-191063912561,-171699822558,-157277948246,,,,,
7,투자활동현금흐름,단기금융상품의 감소,,,,,183908704201,82725780279,59740413587,62215654279
8,투자활동현금흐름,장기금융상품의 감소,,,71500000,,1500000,2300000000,,
9,투자활동현금흐름,매도가능금융자산의 처분,,,19183167036,,40753422641,45874359485,71478583946,11867141361
10,투자활동현금흐름,매도가능금융자산의 취득,,,16813812123,,-3694235219,-6835858716,-8705307051,-69777643550
11,투자활동현금흐름,당기손익-공정가치측정금융자산 처분,54244065361,170918412061,211361466480,,,,,
12,투자활동현금흐름,당기손익-공정가치측정금융자산 취득,-90857541467,-185542574483,-126185535754,,,,,
13,투자활동현금흐름,기타포괄손익-공정가치측정금융자산의 처분,734444738,11499750611,,,,,,
14,투자활동현금흐름,기타포괄손익-공정가치측정금융자산의 취득,,-563844164,,,,,,
15,투자활동현금흐름,유형자산의 처분,4128510376,4911473130,200448780,,234142448,267256923,249281911,2476973374
16,투자활동현금흐름,유형자산의 취득,138928699695,117997662707,174932472440,,-151821280068,-78255071415,-99581079929,-75479222400
17,투자활동현금흐름,무형자산의 처분,1601232428,444258546,8090076507,,29725647,6424092,10800000,3910920
18,투자활동현금흐름,무형자산의 취득,26076643401,30010984085,36155930832,,-23249042458,-13693544979,-7465314461,-8516590945
19,투자활동현금흐름,투자부동산의 처분,944022000,143175112,,,538974000,37000000000,,
20,투자활동현금흐름,투자부동산의 취득,,,21323239883,,-5115189,,-15751163945,-42351680
21,투자활동현금흐름,기타투자자산의 처분,,,,,,,,297940000
22,투자활동현금흐름,보증금의 감소,,,,,52373105,576063609,1657707808,126732950
23,투자활동현금흐름,단기대여금의 증가,,,,,,,-11312938227,-129400
24,투자활동현금흐름,단기금융상품의 증가,,,,,-187383157683,-117109273852,-77953307942,-10406753753
25,투자활동현금흐름,상각후원가측정 금융자산의 취득,286848,286848,74909010,,,,,
26,투자활동현금흐름,장기대여금의 증가,,,,,,,,
27,투자활동현금흐름,관계기업투자의 취득,1221013552,25126877195,5205711620,,,,,
28,투자활동현금흐름,관계기업투자의 처분,2814854924,,,,,,,
29,투자활동현금흐름,종속기업투자의 취득,,,16475765603,,,,,
30,투자활동현금흐름,종속기업투자의 처분,3792800000,,,,,,,
31,투자활동현금흐름,통화선도거래 정산,-2239657425,-374662536,982770216,,,,,
32,재무활동현금흐름,재무활동현금흐름,105443778836,114633175647,183548620221,,,,,
33,재무활동현금흐름,단기차입부채의 증가,767336241789,582130049115,606361257402,,1152516302051,399208321154,213486534433,150268534818
34,재무활동현금흐름,장기차입부채의 증가,122196834693,92863624345,252565814235,,110975330000,23024670000,65762144083,11932409530
35,재무활동현금흐름,전환사채의 발행,,9945011760,,,,,,
36,재무활동현금흐름,신주인수권부사채의 발행,,9945011760,,,,,,
37,재무활동현금흐름,기타부채의 증가,20344025602,,,,,,,
38,재무활동현금흐름,연결범위변동,98124837714,39273005511,,,,,,
39,재무활동현금흐름,유상증자,,,1405184536,,71026360738,15402930383,63825409301,
40,재무활동현금흐름,단기차입부채의 상환,859870352157,590010061139,654181122775,,-1152819192121,-331774676167,-236866954324,-214585927906
41,재무활동현금흐름,전환사채의 상환,9300000000,,,,,,,
42,재무활동현금흐름,신주인수권부사채의 상환,10000000000,,,,,,,
43,재무활동현금흐름,리스부채의 상환,5107447698,,,,,,,
44,재무활동현금흐름,기타금융부채의 상환,,7400000000,,,,,,
45,재무활동현금흐름,배당금의 지급,18278759157,22113465705,22064493817,,-21364725170,-18828240677,-26186951200,-18809837000
46,재무활동현금흐름,자기주식의 취득,,,538019360,,-3376262100,-244877400,-429588500,-2130220781
47,재무활동현금흐름,종속기업 전환사채 전환,-1601950,,,,,,,
48,외화표시 현금및현금성자산의 환율변동 효과,외화표시 현금및현금성자산의 환율변동 효과,3636265029,1377325778,-15494653083,,2310796889,1408418060,-3034583180,-79874566
49,현금및현금성자산의순증감,현금및현금성자산의순증감,-74333476802,-18045481843,155258462709,,,,,-231765135845
50,기초현금및현금성자산,기초현금및현금성자산,250793373106,268838854949,113580392240,,47622344704,39188604247,31776458880,263621469291
51,당기말현금및현금성자산,당기말현금및현금성자산,176459896304,250793373106,268838854949,,,,,
