,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,매출액,매출액,2343942951727,2236436214583,2208260639714,2217015272133,2181623581013,2041702670000,2086651379293,2175710560328
1,   총매출액,   총매출액,2607898880437,2484305066679,2403750000158,2397211617295,2340285971957,2193633560424,,
2,   매출에누리등,   매출에누리등,-263955928710,-247868852096,-195489360444,-180196345162,-158662390944,-151930890424,,
3,매출원가,매출원가,1626034453119,1564692858541,1473891444468,1503710526572,1509622908285,1456355028555,1500535418294,-1577645689287
4,매출총이익,매출총이익,717908498608,671743356042,734369195246,713304745561,672000672728,585347641445,586115960999,598064871041
5,   판매비와관리비,   판매비와관리비,639092449787,583183360306,637985219329,623601861881,553712739885,511804528069,493513244356,-501172920509
6,영업이익,영업이익,78816048821,88559995736,96383975917,89702883680,118287932843,73543113376,92602716643,96891950532
7,   기타수익,   기타수익,20903501127,17068800138,17360252214,140409078284,40213184838,23356499404,18359466297,19582890804
8,   기타비용,   기타비용,4909622761,1467183504,5297140548,4859964421,8177396360,6831435438,5742299933,-112988481359
9,   금융수익,   금융수익,24136025021,18616398062,21521286641,21456969713,15744572699,16993372147,20142286229,31145771118
10,   금융비용,   금융비용,14143364594,10303338346,10534664280,13415767576,12543350336,9731749304,7283511247,-9002625053
11,   지분법손실,   지분법손실,-1310648839,-152355532,,,,,,
12,법인세비용차감전순이익,법인세비용차감전순이익,103491938775,112322316554,119433709944,233293199680,153524943684,97329800185,118060188248,25588062011
13,   법인세비용,   법인세비용,32422991362,28020669857,28748081106,34063538396,36112827838,32874827973,31163649204,-34754479233
14,당기순이익,당기순이익,71068947413,84301646697,90685628838,199229661284,117412115846,64454972212,86896539044,-9166417222
15,당기순이익의 귀속,지배기업 소유주지분,70995479988,84292487442,90660732154,199289700983,117337766806,65003436542,88395966709,-6784426796
16,당기순이익의 귀속,비지배지분,73467425,9159255,24896684,-60039699,74349040,-548464330,-1499427665,-2381990426
17,주당손익,기본주당이익,12277,14577,15678,34464,20291,11241,15286,
18,주당손익,희석주당이익,12277,14577,15678,34464,20291,11241,15286,
