,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,,4,2963985752603,2956761915895,2968804984474,2855008995855,2635005300502,2588779872055,2542303381170,2451801650454
1,,23,2209563896660,2191806550948,2174498960132,2079304223624,1895278863333,1859510203049,1823501194466,1774528783769
2,,,754421855943,764955364947,794306024342,775704772231,739726437169,729269669006,718802186704,677272866685
3,,"23,24",624608651423,644793600548,697585268933,664634808036,629860698779,588953562896,562979338960,547595115925
4,,4,129813204520,120161764399,96720755409,111069964195,109865738390,140316106110,155822847744,129677750760
5,,25,94118412599,63939333487,36124211593,25706616057,22174099446,18845864091,17788080963,20286696956
6,,25,57901907919,39626718706,40432415788,33281626599,35365078633,30094136819,34425654550,31889712628
7,,25,17534616784,10165418140,23914488930,17387153535,12593954829,15862279408,14857980555,20526638594
8,,25,35265168893,37055621242,35698884927,41774874254,35885819525,32834846494,33540353473,32121502314
9,,"11,25",2263498345,1497049667,2900002597,2770788114,4308943905,1821852378,-370713078,
10,,,150562655436,119081225745,83528157814,81878021048,77691838412,113917118674,120132188161,107220693707
11,,26,41688016878,53682753446,31756294260,21814712799,30496420552,23896675488,33906581706,20974876689
12,,,108874638558,65398472299,51771863554,60063308249,47195417860,90020443186,86225606455,86245817018
13,,,,,,,,,,
14,,,107203933305,64877342907,52734530625,64619501464,58280683003,92774807345,109530192348,91443815522
15,,,1670705253,521129392,-962667071,-4556193215,-11085265143,-2754364159,-3769217521,-3187470800
16,,,,,,,,,,
17,,,,,,,,,,
18,,,11217252233,-2452724810,-20518492625,7843711250,-1944171369,1154941644,-10011837563,-7817173013
19,,11,1627349315,-467711394,-2784792754,694355299,-504498743,427841867,-869347148,
20,,,,,,,,,,
21,,20,-8186225891,-30947243,2793788876,-3259250746,-6981741800,-14868419529,-3271853107,-7386256300
22,,11,-109295775,45408054,-192467033,-89138023,104707298,-93262123,-61856936,
23,,9,-1210325924,-195614944,,,,,,
24,,,112213392516,62296881962,31610846282,65324089557,38879932243,76931982586,92225131643,75798281255
25,,,,,,,,,,
26,,,109526454992,62115115476,52734530625,64619501464,58280683003,92774807345,90009475502,91443815522
27,,,2686937524,181766486,-962667071,-4556193215,-11085265143,-2754364159,-3783869047,89438314137
28,,27,,,,,,,,
29,,,2976,1801,1467,1794,1618,2575,,
30,,,2986,1811,1477,1804,1628,2585,,
