,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,당기순이익(손실),당기순이익(손실),201239572363,297330432031,257893627412,,,,,
1,세후 기타포괄손익,세후 기타포괄손익,-30712676037,-26171064254,-50182600309,,,,,
2,세후 기타포괄손익,당기손익으로 재분류되지 않는 항목,-5678999068,-8970021981,11710778246,,,,,
3,세후 기타포괄손익,순확정급여부채의 재측정요소,-5682518343,-8977311301,11710778246,,,,,
4,세후 기타포괄손익,기타포괄손익-공정가치 측정 금융자산 평가손익,3519275,7289320,,,,,,
5,세후 기타포괄손익,후속적으로 당기손익으로 재분류될 수 있는 항목,-25033676969,-17201042273,-61893378555,,,,,
6,세후 기타포괄손익,기타포괄손익-공정가치 측정 금융자산 평가손익,27472134,32118633,1313463581,,,,,
7,세후 기타포괄손익,해외사업환산이익(손실),-21345178328,-13285270116,-59151911553,,,,,
8,세후 기타포괄손익,관계기업투자 기타포괄손익 지분,-3715970775,-3947890790,-4054930583,,,,,
9,당기총포괄이익,당기총포괄이익,170526896326,271159367777,207711027103,,,,,
10,당기 총포괄이익의 귀속,지배기업의 소유주지분,176773179655,271952352718,210982368033,,,,,
11,당기 총포괄이익의 귀속,비지배지분,-6246283329,-792984941,-3271340930,,,,,
