,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,526256346628,515665940560,518131857767,507458545965,453104620630,403786940037,312119712302,229792188859
1,유동자산,현금및현금성자산,32094194148,65333694953,91121303244,78280444266,59935831657,63648852453,67659129257,50557884316
2,유동자산,단기금융자산,97736962094,67042664110,55951755482,82554263565,87155375059,118382961266,38368829045,100000000
3,유동자산,매출채권 및 기타채권,205735802170,178888186633,169932628981,173238342535,142354483942,102957332933,89371248669,91174680191
4,유동자산,재고자산,177609255572,189035191721,187015618326,162746110895,144507850740,111864088498,115144353525,85563449256
5,유동자산,반환제품회수권,2282361981,1889161469,,,,,,
6,유동자산,당기법인세자산,50970305,50236696,54159025,262823612,,,,
7,유동자산,기타유동자산,10746800358,13426804978,14056392709,10376561092,14151079232,6933704887,1576151806,2396175096
8,비유동자산,비유동자산,719411802635,692180411134,695392686554,637241439979,491424384442,290476967901,266893259577,252551916946
9,비유동자산,장기금융자산,689548433,610548433,490548433,583708433,463708433,10500000,10500000,10500000
10,비유동자산,장기매도금융자산,,,5393717053,6446034945,7993459730,10699563340,14362792266,16704740330
11,비유동자산,당기손익-공정가치측정금융자산,1000020000,1072604290,,,,,,
12,비유동자산,기타포괄손익-공정가치측정금융자산,20908223880,7923052670,,,,,,
13,비유동자산,장기매출채권 및 기타채권,5733900726,7405470590,7312332308,7662198699,3877221837,2677410760,2489916279,3692947847
14,비유동자산,관계기업투자,10235949046,9127635048,2653143868,2224774724,2269572822,1535782391,2375197141,594953986
15,비유동자산,유형자산,387214960894,401129322098,396157723902,367079907063,255844141508,160109521308,132623042781,114859723600
16,비유동자산,사용권자산,4493091884,,,,,,,
17,비유동자산,투자부동산,91802587643,93133376262,94449923139,95766470015,82488430621,81972599671,82260528672,84060845240
18,비유동자산,무형자산,164685811529,149573573685,173975037286,151000857967,136722249387,31409592726,27760020868,29714806450
19,비유동자산,기타투자자산,,,346055695,526264638,543576209,748081555,3097231366,2777483227
20,비유동자산,기타비유동자산,4903686727,4310178609,7249695,11078738,2437425,1013846609,1914030204,135916266
21,비유동자산,이연법인세자산,26657374983,17894649449,14606955175,5940144757,1219586470,300069541,,
22,비유동자산,퇴직급여자산,1086646890,,,,,,,
23,자산총계,자산총계,1245668149263,1207846351694,1213524544321,1144699985944,944529005072,694263907938,579012971879,482344105805
24,유동부채,유동부채,262080185563,367400664611,268048604381,222832140138,149436906855,79679837715,87196833873,77867773405
25,유동부채,매입채무 및 기타채무,121980081359,102824306004,102759094333,91138274097,73189294083,57708103039,51405925362,50006913796
26,유동부채,단기차입금,9414841787,7498978258,5790172221,7870599208,7480878580,4851472503,3003185306,2856703078
27,유동부채,유동성사채,89921320846,199864885984,89936158180,99882352269,39962572193,,,
28,유동부채,유동성리스부채,993720142,,,,,,,
29,유동부채,당기법인세부채,1910348466,17946300566,6901239730,4295646276,7201178375,237463843,14101083597,4403857708
30,유동부채,이연수익,1157582412,1092448422,426361758,373728038,472506750,524897726,885333597,
31,유동부채,기타유동부채,36702290551,38173745377,62235578159,13535558125,14631298913,12575325240,13900832113,16332475104
32,비유동부채,비유동부채,347667869229,232636237152,313938920546,317316754562,214851554279,159078086931,53852717383,17889828771
33,비유동부채,장기매입채무 및 기타채무,11494944622,11300805655,11398925437,13740586016,12145847401,9518288712,8778243497,8905485933
34,비유동부채,사채,289196131742,179485775945,289335720446,289164854306,189410334356,139512335626,39865847294,
35,비유동부채,비유동리스부채,3404420985,,,,,,,
36,비유동부채,퇴직급여부채,,2213217417,3471208207,3478797118,3135611792,10047462593,5102832680,8411753044
37,비유동부채,이연법인세부채,2943779086,5126194367,8190849140,9120991312,10019210224,,105793912,572589794
38,비유동부채,기타비유동부채,40628592794,34510243768,1542217316,1811525810,140550506,,,
39,부채총계,부채총계,609748054792,600036901763,581987524927,540148894700,364288461134,238757924646,141049551256,95757602176
40,지배기업의 소유주에게 귀속되는 자본,지배기업의 소유주에게 귀속되는 자본,519314539733,494132577022,519438536678,499492956061,480071725080,443079930966,433672379780,383241330008
41,지배기업의 소유주에게 귀속되는 자본,자본금,28966437500,28966437500,28966437500,28966437500,28966437500,28966437500,28966437500,28214920000
42,지배기업의 소유주에게 귀속되는 자본,자기주식,44915569382,44915569382,44915569382,-44915569382,-44915569382,-44915569382,-44915569382,-44915569382
43,지배기업의 소유주에게 귀속되는 자본,기타불입자본,96705421479,96559941491,96560102588,99463774482,97961630889,97964499879,100420493057,101172010557
44,지배기업의 소유주에게 귀속되는 자본,기타자본구성요소,-6856780220,-9362434712,-3186275937,-643358662,1238816159,3290619667,6126047306,4949540032
45,지배기업의 소유주에게 귀속되는 자본,이익잉여금,445415030356,422884202125,442013841909,416621672123,396820409914,357773943302,343074971299,293820428801
46,비지배지분,비지배지분,116605554738,113676872909,112098482716,105058135183,100168818858,12426052326,4291040843,3345173621
47,자본총계,자본총계,635920094471,607809449931,631537019394,604551091244,580240543938,455505983292,437963420623,386586503629
48,,자본과부채총계,1245668149263,1207846351694,1213524544321,1144699985944,944529005072,694263907938,579012971879,482344105805
