,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,매출,매출,1113425920883,1031427425529,960307423040,883920424600,839686478174,735889423941,682508015668,669013832884
1,매출원가,매출원가,635132493527,621484738163,553325207648,-510232177375,-537082983390,-465702014664,-390805394665,-391898198211
2,매출총이익,매출총이익,478293427356,409942687366,406982215392,373688247225,302603494784,270187409277,291702621003,277115634673
3,판매관리비,판매관리비,324165830437,269385493680,265736081306,-250066231634,-259039049984,-218243014833,-220330988471,-240232815353
4,경상연구개발비,경상연구개발비,109440500061,112960987713,102288985443,,,,,
5,영업이익(손실),영업이익(손실),44687096858,27596205973,38957148643,25893485142,43564444800,51944394444,71371632532,36882819320
6,영업외손익,영업외손익,-21365423631,-28218728319,-2824640809,1715809057,4186978518,1740601516,2630968249,4842352873
7,영업외손익,지분법손익,-27483863,-127270325,-50047113,-44798099,170238905,-23971536,-219256845,3403094377
8,영업외손익,금융수익,11109049119,8419497122,5645707496,9382666685,7238537325,5255745594,4452633544,6923234449
9,영업외손익,금융원가,-16292937359,-14767503982,-15137500868,-11109318460,-6512946424,-3203842222,-2000681204,-9211575131
10,영업외손익,기타수익,6098695263,8238959803,19061823719,6451654828,5297336284,5724371584,4713665868,
11,영업외손익,기타비용,-22252746791,-29982410937,-12344624043,-2964395897,-2006187572,-6011701904,-4315393114,
12,법인세비용차감전순이익,법인세비용차감전순이익,23321673227,-622522346,36132507834,27609294199,47751423318,53684995960,74002600781,41725172193
13,법인세비용,법인세비용,-5543932617,14794722172,696170994,-1483423329,-12077721663,-23215040141,-16028199567,-8212308616
14,당기순이익(손실),당기순이익(손실),28865605844,-15417244518,35436336840,26125870870,35673701655,30469955819,57974401214,33512863577
15,기타포괄손익,기타포괄손익,4493998684,1334827158,-2913147233,-1489488689,-576524861,-11214318360,1219852191,-1560214210
16,기타포괄손익,후속적으로 손익으로 재분류되지 않는 항목,3971710918,1552724915,5394004,,,,,
17,기타포괄손익,기타포괄손익-공정가치측정 금융자산 평가손익,4912708492,2242532639,,,,,,
18,기타포괄손익,확정급여제도의 재측정요소,-940997574,-689807724,5394004,260666680,2260940260,-11330143524,64661414,-6141912339
19,기타포괄손익,후속적으로 당기손익으로 재분류되는 항목,522287766,-217897757,-2918541237,,,,1156275025,3122319036
20,기타포괄손익,매도가능금융자산평가손익(세후기타포괄손익),,,-351183761,-1033853665,-3124718112,-4153234176,2557461766,4181664519
21,기타포괄손익,해외사업장환산외환차이(세후기타포괄손익),517782948,-217897757,-2567357476,,,,,
22,기타포괄손익,지분법자본변동,4504818,,,,,,,
23,총포괄손익,총포괄손익,33359604528,-14082417360,32523189607,24636382181,35097176794,19255637459,59194253405,31952649367
24,당기순이익(손실)의 귀속 [abstract],지배기업 소유주지분,22005927017,-15151848389,31580584392,26969821260,42930060242,31544474833,58399564792,34079293658
25,당기순이익(손실)의 귀속 [abstract],비지배지분,6859678827,-265396129,3588752448,-843950390,-7256358587,-1074519014,-425163578,-566430081
26,총 포괄손익의 귀속 [abstract],지배기업 소유주지분,23789664691,-15099673278,29041774511,25143696388,44219272104,20120240364,59610748279,32572903884
27,총 포괄손익의 귀속 [abstract],비지배지분,9569939837,1017255918,3481415096,-507314207,-9122095310,-864602905,-416494874,-620254517
28,주당이익 [abstract],기본및희석주당이익,2132,-1468,3060,2613,4160,3056,5658,3302
