,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,464161690311,428675229522,411658107119,428271449863,410453730577,415250313017,465851797249,480487454931
1,유동자산,현금및현금성자산,98163239561,53729362018,9696045907,87046624159,134354790299,60284453880,75908096434,102158312559
2,유동자산,단기금융상품,3000000000,,,,,,,
3,유동자산,매출채권 및 기타유동채권,196659133167,201704657183,222956411295,190294707461,144408045229,170614982917,206521630054,191026796229
4,유동자산,기타유동자산,4927970999,3765262532,2970197666,2184981593,2941246601,2115423317,2736873187,1331866501
5,유동자산,재고자산,161411346584,167642525889,174202030351,138732616743,128749128348,168394251881,180684660764,185664856436
6,유동자산,매각예정자산,,1833421900,1833421900,,,,,
7,비유동자산,비유동자산,1562313435673,1555238185542,1558922321984,1335371804304,1118610327332,1025170383872,888679413691,797641973328
8,비유동자산,매도가능금융자산,,,83967685,2085760826,2114004441,2061912445,6991100197,9227313997
9,비유동자산,당기손익-공정가치측정금융자산,42669000,42669000,,,,,,
10,비유동자산,기타포괄손익-공정가치측정금융자산,24864035,31384880,,,,,,
11,비유동자산,기타금융자산,4487284000,3709695000,3179484250,2928636690,2811358050,3712729580,3858948970,3681743820
12,비유동자산,"종속기업, 조인트벤처와 관계기업에 대한 투자자산",149974527418,145014534020,139947987549,137887037664,133199517663,82192846958,76849732599,38397169439
13,비유동자산,투자부동산,18581228967,18650471332,18719713697,18770616495,15471852521,15477579486,15483306451,15489033416
14,비유동자산,유형자산,1382684007353,1381372061660,1389201202068,1161243454921,960011223963,915638494709,777574121620,720173152351
15,비유동자산,영업권 이외의 무형자산,6518854900,6417369650,5674661224,5252929974,5002370694,6086820694,6086820694,7002793985
16,비유동자산,기타비유동자산,,,2115305511,7203367734,,,1835383160,3670766320
17,자산총계,자산총계,2026475125984,1983913415064,1970580429103,1763643254167,1529064057909,1440420696889,1354531210940,1278129428259
18,유동부채,유동부채,91414061518,134790817521,260225194121,318919819598,268821744993,272123941773,298369857413,306413330133
19,유동부채,매입채무 및 기타유동채무,53409749972,54651446447,105586227945,97247402043,51070338232,72747509238,139019677453,95966159362
20,유동부채,단기차입금,6500000000,5000000000,80000000000,128460633330,140460633330,175940949994,148913703661,198890648860
21,유동부채,기타금융부채,2648857720,4340304881,4522322601,3682226248,1360642572,1882884399,3236887230,1967258681
22,유동부채,기타유동부채,12460878603,20225743391,23539127308,30446731494,16310021591,9791323538,6745802701,1859338996
23,유동부채,당기법인세부채,16394575223,50573322802,46577516267,58902826483,59620109268,11761274604,453786368,7729924234
24,비유동부채,비유동부채,156450323953,148025521278,237153141713,151659903376,224654723957,326179942596,266553093290,225982549559
25,비유동부채,장기차입금,45000000000,51000000000,141500000000,58000000000,119881899998,209685066664,148913703661,198890648860
26,비유동부채,기타금융부채,11074058739,668217680,669217680,669217680,61000000,1188262200,1186262200,1185262200
27,비유동부채,퇴직급여부채,1440682689,635484452,,,,,,
28,비유동부채,이연법인세부채,98701765823,94777745950,94156028307,92365961173,97315603577,92601273171,90590189675,81144454451
29,비유동부채,기타비유동부채,233816702,944073196,827895726,624724523,7203912938,11180380741,14876321272,19796133344
30,부채총계,부채총계,247864385471,282816338799,497378335834,470579722974,493476468950,598303884369,564922950703,532395879692
31,지배기업의 소유주에게 귀속되는 자본,지배기업의 소유주에게 귀속되는 자본,1778610740513,1701097076265,1473202093269,1286053515090,1029347041373,836142502105,783353965156,739350208905
32,지배기업의 소유주에게 귀속되는 자본,자본금,41000000000,41000000000,41000000000,41000000000,41000000000,41000000000,41000000000,41000000000
33,지배기업의 소유주에게 귀속되는 자본,자본잉여금,264297830279,264297830279,264297830279,264297830279,264297830279,264297830279,264297830279,264297830279
34,지배기업의 소유주에게 귀속되는 자본,이익잉여금(결손금),1479129099579,1401631269403,1173723385174,984447031054,727624927798,534595442651,481849825814,437715154457
35,지배기업의 소유주에게 귀속되는 자본,기타자본구성요소,-5816189345,-5832023417,-5819122184,-3691346243,63058421,-111995700,-154915812,-24000706
36,비지배지분,비지배지분,,,,,,,,
37,자본총계,자본총계,1778610740513,1701097076265,1473202093269,1293063531193,1035587588959,842116812520,789608260237,745733548567
38,,자본과부채총계,2026475125984,1983913415064,1970580429103,1763643254167,1529064057909,1440420696889,1354531210940,1278129428259
