,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,영업활동으로 인한 현금흐름,영업활동으로 인한 현금흐름,2333681191938,2792632458193,2806750798374,2806255596801,2728023077614,1863563778031,1949344873530,2305492436329
1,영업활동으로 인한 현금흐름,당기순이익(손실),-622761502186,-161087303511,830060640356,-556844430587,-562967287220,-612921454979,-383555365584,256371132460
2,영업활동으로 인한 현금흐름,현금의유출/유입이 없는 비용/수익등의 가감,3275843909954,2842936748627,2030717064734,,,,,
3,영업활동으로 인한 현금흐름,재고자산평가손실,14857838732,72708436961,,,,,,
4,영업활동으로 인한 현금흐름,임차기정비충당부채전입액,13307177956,53310350643,45773241438,33211953956,27979680020,1247721172,25203419260,37112510419
5,영업활동으로 인한 현금흐름,퇴직급여,193955203960,160688829554,156859898329,153301778441,164695641213,156230384622,159982004838,150711950092
6,영업활동으로 인한 현금흐름,감가상각비,2054045119260,1721256626736,1651302262956,1698252161145,1610946008552,1558001219311,1629729298695,1493146129460
7,영업활동으로 인한 현금흐름,무형자산상각비,28586113293,29382513659,45184949604,53256614004,39978836711,35024435061,33065414304,22966125984
8,영업활동으로 인한 현금흐름,대손상각비,1143925660,,678365565,1887405580,,492268978,,505476051
9,영업활동으로 인한 현금흐름,이자비용,617559363290,546352716525,457333677809,406823205088,372400679164,464229026897,507411741733,575229592712
10,영업활동으로 인한 현금흐름,파생상품평가손실,23325798597,23614252181,57498415325,59760856456,72103575026,208679154404,25688961139,22432673484
11,영업활동으로 인한 현금흐름,외화환산손실,369858493117,356308034364,185794073628,375854242834,607520743781,402323307723,57391754187,198220131260
12,영업활동으로 인한 현금흐름,외환차손,120383444721,78738310570,5391479326,53536876991,99081864408,,,
13,영업활동으로 인한 현금흐름,기타의 대손상각비,22172137,346541213,113098746,15914971314,42702633050,324396388,453157963,6555807801
14,영업활동으로 인한 현금흐름,유형자산처분손실,154946724630,10439293904,263477117308,214504161948,173008696805,112840041115,89706203340,142658600226
15,영업활동으로 인한 현금흐름,유형자산손상차손,1665831,20278439029,69502481888,72885540867,72363540207,,35101324328,43692027910
16,영업활동으로 인한 현금흐름,무형자산처분손실,30631898,,,1081233770,124363637,23090910,,584911098
17,영업활동으로 인한 현금흐름,투자부동산손상차손,,402957380,,,,,,
18,영업활동으로 인한 현금흐름,무형자산손상차손,,,103111173,7992411980,,78000000,,50000000
19,영업활동으로 인한 현금흐름,매각예정자산처분손실,,,270000000,26836122700,5234493054,,,
20,영업활동으로 인한 현금흐름,유형자산재평가손실,,,18611788448,1715337,,,52529762304,
21,영업활동으로 인한 현금흐름,매도가능금융자산처분손실,,,639497366,109036150,,7883850259,2640074115,18359854
22,영업활동으로 인한 현금흐름,매도가능금융자산손상차손,,,714661245,255245600966,290037777,3898716347,1684709917,
23,영업활동으로 인한 현금흐름,관계기업투자손상차손,,,25008912194,333797733185,,,1500000000,3443014676
24,영업활동으로 인한 현금흐름,종속기업투자처분손실,,,964943502,,,,,
25,영업활동으로 인한 현금흐름,법인세비용,,,329426275536,,,,,180326772595
26,영업활동으로 인한 현금흐름,당기손익-공정가치측정금융자산평가손실,2702275345,,,,,,,
27,영업활동으로 인한 현금흐름,기타비용,16765263341,16809356603,16033101161,16194573865,120673130647,1430117496,3670934421,50755000
28,영업활동으로 인한 현금흐름,이자수익,55760110733,41386462142,30831479878,28787452220,42790874838,40393763289,32159631702,42671983383
29,영업활동으로 인한 현금흐름,배당금수익,4685889161,3888184210,4587094748,3865139008,4262733870,3966616203,3273674180,2303335831
30,영업활동으로 인한 현금흐름,파생상품평가이익,53426141667,32378430735,125653792,26782942,,5736332000,56511169573,59039379782
31,영업활동으로 인한 현금흐름,지분법이익,214592521,519717899,11318844695,,17485046270,31190555155,32982325297,81732733282
32,영업활동으로 인한 현금흐름,외화환산이익,102886067883,93128962806,991880206022,158277900847,112940277360,168772427689,425088214946,824179662753
33,영업활동으로 인한 현금흐름,당기손익-공정가치측정금융자산평가이익,69377064,,,,,,,
34,영업활동으로 인한 현금흐름,대손충당금환입,,6286748684,,,362251626,,397325617,870112938
