,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,당기순이익(손실),당기순이익(손실),-81691128740,-304481652173,4770110303,70775607830,-224392900000,-292455986000,-118408748000,-235110643000
1,세후 기타포괄이익(손실),세후 기타포괄이익(손실),-7425254976,-33179948846,93832963914,59184898869,-135806065000,61938009000,-71253363000,-28845027000
2,세후 기타포괄이익(손실),당기손익으로 재분류되지 않는 항목,,,,,,,,
3,세후 기타포괄이익(손실),기타포괄손익-공정가치 지분상품,-1113190166,327542722,,,,,,
4,세후 기타포괄이익(손실),재평가잉여금,,,154613452027,-7742614,-1404088000,104735694000,,
5,세후 기타포괄이익(손실),순확정급여부채의 재측정요소,-14957674181,-28671957252,7369679502,-939302918,-17018649000,1096586000,8348471000,369478000
6,세후 기타포괄이익(손실),관계기업의 순확정급여부채의 재측정요소에 대한 지분,-158896498,-34231474,-84587134,-619916989,402089000,-1576723000,-2116879000,-133887000
7,세후 기타포괄이익(손실),후속적으로 당기손익으로재분류되는항목,,,,,,,,
8,세후 기타포괄이익(손실),매도가능금융자산,,,-200150714,42787154,-11602746000,-2915699000,9312584000,45173243000
9,세후 기타포괄이익(손실),해외사업장환산외환차이,8064100156,6138381214,-34559088053,-5042056989,1031685000,-3499792000,-13778840000,-15330524000
10,세후 기타포괄이익(손실),관계기업의 기타포괄손익에 대한 지분,740405713,-10939684056,-33306341714,68252689655,-109080291000,-36963788000,-73397080000,-59291070000
11,세후 총포괄이익(손실),세후 총포괄이익(손실),-89116383716,-337661601019,98603074217,129960506699,-360198965000,,,
12,세후 총포괄이익(손실)의 귀속,지배기업의 소유주지분,-76013909038,-330052741698,88450872429,122075139193,-373024995000,-223688730000,-184384051000,-249554389000
13,세후 총포괄이익(손실)의 귀속,비지배지분,-13102474678,-7608859321,10152201788,7885367506,12826030000,-6829247000,-5278060000,-14401281000
