,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,매출액,매출액,502235935419,563524574106,559080361343,513790349071,509394171661,502655538188,470368827245,459681978286
1,매출원가,매출원가,418423975726,473205260621,464476485116,-427672846362,-420385632623,-409777968152,-383022548766,-375921617865
2,매출총이익,매출총이익,83811959693,90319313485,94603876227,86117502709,89008539038,92877570036,87346278479,83760360421
3,판매비와관리비,판매비와관리비,45339973955,47101706678,46930413297,-40514980637,,,,
4,영업이익,영업이익,38471985738,43217606807,47673462930,45602522072,48842390263,54146019219,50960346371,51332874559
5,기타영업외수익,기타영업외수익,9650430605,6920551010,8815790031,7464209817,6403019155,6334928524,5347345285,4512554594
6,기타영업외비용,기타영업외비용,4127146965,2521375268,3680697494,-3240441231,-3832782135,-2034699586,-2647129717,-1530667668
7,지분법이익,지분법이익,96145307786,93886481644,94993266164,92739965668,93677930361,92010901642,93289841044,87766924875
8,금융수익,금융수익,13947952001,12409199510,9995416534,9663900909,11106155094,13307493984,13479828056,14941013432
9,금융비용,금융비용,166400875,101437325,234305782,-52918524,-199937462,-115290837,-31919306,-1466802
10,법인세비용차감전순이익,법인세비용차감전순이익,153922128290,153811026378,157562932383,152177238711,155996775276,163649352946,160398311733,157021232990
11,법인세비용,법인세비용,13376376601,33414069816,31492341456,-29818532395,-31030371372,-32635809566,-33908223869,-31569216938
12,당기순이익,당기순이익,140545751689,120396956562,126070590927,122358706316,124966403904,131013543380,126490087864,125452016052
13,당기순이익의 귀속,지배주주지분,136936403141,116590932101,122346157719,119036898340,121587482327,127511219574,123675722839,122431342807
14,당기순이익의 귀속,비지배지분,3609348548,3806024461,3724433208,3321807976,3378921577,3502323806,2814365025,3020673245
15,기타포괄손익,기타포괄손익,3466619243,917117081,-5411265910,3150539193,2101012188,-4426969440,-194366822,-2179871289
16,기타포괄손익,당기손익으로 재분류되지 않는항목,4580166686,-1228333625,792074625,,,,,
17,기타포괄손익,순확정급여부채의 재측정요소,-687710514,-526874600,758876460,1776296990,869448714,-1117688328,184654109,-1018433072
18,기타포괄손익,공동기업 순확정급여부채의 재측정요소,-639129129,-827267361,213915208,-1010632497,923017523,-2081333471,161122556,-1518429910
19,기타포괄손익,기타포괄손익금융자산평가이익,7576268768,,,,,,,
20,기타포괄손익,기타포괄손익관련 법인세 효과,-1669262439,125808336,-180717043,-429041378,-208713431,266200388,-44503059,245007616
21,기타포괄손익,당기손익으로 재분류될 수 있는 항목,-1113547443,2145450706,-6203340535,,,,,
22,기타포괄손익,공동기업 및 관계기업 기타포괄손익 중 지분해당액,-1351155231,2702435236,-7374063240,3458320114,502428308,-1340785280,-416054611,298106117
23,기타포괄손익,해외사업장외환차이,,5855069,-78443609,-58564609,99942430,45359872,26970794,-143131790
24,기타포괄손익,기타포괄손익관련 법인세 효과,237607788,-562839599,1249166314,-585839427,-85111356,-326469215,-33925722,12125455
25,총포괄손익,총포괄손익,144012370932,121314073643,120659325017,,,,,
26,총 포괄손익의 귀속 [abstract],지배주주지분,140432689085,117527094433,116898155177,119036898340,,,,
27,총 포괄손익의 귀속 [abstract],비지배지분,3579681847,3786979210,3761169840,3332743392,3401432863,3482782663,2795556691,2985231120
28,주당이익 [abstract],기본주당이익,1388,1179,1233,1199,1225,1284,1246,1233
29,주당이익 [abstract],희석주당이익,1388,1179,1233,,,,,
