,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,Ⅰ.유동자산,Ⅰ.유동자산,315287123828,291703042803,353919930937,,,,,
1,Ⅰ.유동자산,현금및현금성자산,86822004397,107493898785,179487937294,,,,,
2,Ⅰ.유동자산,매출채권,91634898965,90392273448,82561180422,,,,,
3,Ⅰ.유동자산,당기손익공정가치측정금융자산,42086295339,,,,,,,
4,Ⅰ.유동자산,기타금융자산,14436171234,7363073206,5434841569,,,,,
5,Ⅰ.유동자산,유동만기보유금융자산,,,212980000,,,,,
6,Ⅰ.유동자산,유동파생금융상품,,,4439744000,,,,,
7,Ⅰ.유동자산,재고자산,74668822504,81362121604,77260516516,,,,,
8,Ⅰ.유동자산,기타자산,5477241399,4827360745,3386992409,,,,,
9,Ⅰ.유동자산,당기법인세자산,161689990,264315015,1135738727,,,,,
10,Ⅱ.비유동자산,Ⅱ.비유동자산,1043289821279,950229738836,1105525346442,,,,,
11,Ⅱ.비유동자산,기타금융자산,8727830465,8728798484,7061918925,,,,,
12,Ⅱ.비유동자산,매도가능금융자산,,,24532471383,,,,,
13,Ⅱ.비유동자산,만기보유금융자산,,,342930000,,,,,
14,Ⅱ.비유동자산,당기손익공정가치측정금융자산,45573975640,16393413433,,,,,,
15,Ⅱ.비유동자산,기타포괄손익공정가치측정금융자산,13288456316,13319694996,,,,,,
16,Ⅱ.비유동자산,기타자산,1358730,237980770,185823810,,,,,
17,Ⅱ.비유동자산,지분법적용투자주식,472228132000,483947646130,679404382977,,,,,
18,Ⅱ.비유동자산,유형자산,370981369783,347029577224,338802979768,,,,,
19,Ⅱ.비유동자산,무형자산,45653220366,48120415297,26455495354,,,,,
20,Ⅱ.비유동자산,투자부동산,17897087854,21871735399,20079831327,,,,,
21,Ⅱ.비유동자산,사용권자산,62079565266,,,,,,,
22,Ⅱ.비유동자산,이연법인세자산,6858824859,10580477103,8659512898,,,,,
23,자산총계,자산총계,1358576945107,1241932781639,1459445277379,,,,,
24,Ⅰ.유동부채,Ⅰ.유동부채,414398570806,319898815307,322965216780,,,,,
25,Ⅰ.유동부채,매입채무,32505405824,25239575950,24671682553,,,,,
26,Ⅰ.유동부채,기타금융부채,52162911302,48065363890,43720452721,,,,,
27,Ⅰ.유동부채,차입금,285978232566,220199865900,227037266663,,,,,
28,Ⅰ.유동부채,충당부채,5833884312,6057953338,5971323730,,,,,
29,Ⅰ.유동부채,리스부채,20802938530,,,,,,,
30,Ⅰ.유동부채,기타부채,9551573286,17213428363,17393360916,,,,,
31,Ⅰ.유동부채,당기법인세부채,7563624986,3122627866,4171130197,,,,,
32,Ⅱ.비유동부채,Ⅱ.비유동부채,197274508398,186270964921,222231607822,,,,,
33,Ⅱ.비유동부채,기타금융부채,65000000,276000000,99661758,,,,,
34,Ⅱ.비유동부채,차입금,119617000000,150673475228,171469833326,,,,,
35,Ⅱ.비유동부채,종업원급여부채,13095136222,15218816739,8345238155,,,,,
36,Ⅱ.비유동부채,이연법인세부채,22325603586,20102672954,33934246583,,,,,
37,Ⅱ.비유동부채,리스부채,42111768590,,,,,,,
38,Ⅱ.비유동부채,기타부채,60000000,,8382628000,,,,,
39,부채총계,부채총계,611673079204,506169780228,545196824602,,,,,
40,Ⅰ.지배기업 소유주지분,Ⅰ.지배기업 소유주지분,745141490903,734194188398,912753403633,,,,,
41,Ⅰ.지배기업 소유주지분,자본금,30691485000,30691470000,30691140000,,,,,
42,Ⅰ.지배기업 소유주지분,주식발행초과금,285853411863,285853203929,285845008929,,,,,
43,Ⅰ.지배기업 소유주지분,자본조정,-197914366287,-197914366287,-197914366287,,,,,
44,Ⅰ.지배기업 소유주지분,기타자본구성요소,141908429324,137564726081,146190907533,,,,,
45,Ⅰ.지배기업 소유주지분,이익잉여금,484602531003,477999154675,647940713458,,,,,
46,Ⅱ.비지배지분,Ⅱ.비지배지분,1762375000,1568813013,1495049144,,,,,
47,자본총계,자본총계,746903865903,735763001411,914248452777,,,,,
48,,부채 및 자본총계,1358576945107,1241932781639,1459445277379,,,,,
