,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,매출,매출,612310601834,567433760856,555026781242,560535398487,567939668797,578640115514,,
1,매출원가,매출원가,300321517663,274137776947,275075166605,283769095570,273658502759,268511844221,,
2,매출총이익,매출총이익,311989084171,293295983909,279951614637,276766302917,294281166038,310128271293,,
3,판매비와일반관리비,판매비와일반관리비,181311809715,179846543793,177385491166,192384857216,183052903098,197156659346,,
4,경상연구개발비,경상연구개발비,74115741297,74014068321,78697756577,69538586019,57365564342,63602209042,,
5,영업이익,영업이익,56561533159,39435371795,23868366894,14842859682,53862698598,49369402905,,
6,기타수익,기타수익,37771730080,5872865693,5122037587,4590896627,10590446459,6000853207,,
7,기타비용,기타비용,5168563745,25664641063,4374099104,15586006210,14302287417,4273832224,,
8,금융수익,금융수익,17054597364,15701427366,8226257786,13435373216,33054833344,14273096082,,
9,금융비용,금융비용,13169160684,9767677217,41190187300,16654677145,20698253037,19638769327,,
10,지분법이익(손실),지분법이익(손실),-4046139800,-9503945212,0,,,,,
11,법인세비용차감전순이익(손실),법인세비용차감전순이익(손실),89003996374,16073401362,-8347624137,628446170,62507437947,45730750643,,
12,법인세비용(수익),법인세비용(수익),18091283476,8064638074,-2952087164,-2008748039,15001773236,8180930823,,
13,당기순이익(손실),당기순이익(손실),70912712898,8008763288,-5395536973,2637194209,47505664711,37549819820,,
14,기타포괄손익,기타포괄손익,4020274228,-7432889182,1681414738,-1533332392,-5569679450,-8297134324,,
15,기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 포괄손익:,,,,,,,,
16,기타포괄손익,확정퇴직급여제도의 재측정요소,-1134254671,-5383470701,2012650901,-1850730810,-4372495570,-5427814348,,
17,기타포괄손익,기타포괄손익공정가치금융자산평가손익,5097288936,-2012777314,0,,,,,
18,기타포괄손익,후속적으로 당기손익으로 재분류되는 포괄손익:,,,,,,,,
19,기타포괄손익,기타포괄손익공정가치금융자산평가손익,0,0,-256373257,62857082,-1614948993,-1762632580,,
20,기타포괄손익,해외사업환산손익,57239963,-36641167,-74862906,53061053,-95696074,-29634435,,
21,총포괄이익(손실),총포괄이익(손실),74932987126,575874106,-3714122235,9108640916,43003636063,29252685496,,
22,당기순이익(손실)의 귀속 [abstract],지배기업의 소유주지분,70912712898,8008763288,-5395536973,10641973308,48573315513,37549819820,,
23,당기순이익(손실)의 귀속 [abstract],비지배지분,0,0,0,13732612,11103568,137464855,,
24,당기순이익(손실)의 귀속 [abstract],당기순이익 합계,70912712898,8008763288,-5395536973,10628240696,48562211945,37412354965,,
25,총 포괄손익의 귀속 [abstract],지배기업 소유주지분,74932987126,575874106,-3714122235,9094908304,42987457811,29132723947,,
26,총 포괄손익의 귀속 [abstract],비지배지분,0,0,0,13732612,11103568,137464855,,
27,총 포괄손익의 귀속 [abstract],총포괄손익 합계,74932987126,575874106,-3714122235,9108640916,43003636063,29252685496,,
28,주당손익,기본및희석주당손익,8404,949,-639,1268,6192,4966,,
