,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,11048031755639,11585894165604,10867988262098,10761832212692,12323751612254,12276982613489,12309322279357,14015461060615
1,유동자산,현금및현금성자산,1840833889385,2456189369971,2344600297096,2019319318331,2332606037630,1691010038687,1258449802477,2273339037677
2,유동자산,단기금융상품,296380362231,395467218033,283255604788,217288576315,478964561067,608131766989,795073171541,520279310412
3,유동자산,단기투자증권,129155768878,35673839601,133975273587,241359000589,440994129,38385470088,11917827393,10703181338
4,유동자산,매출채권,2523770217794,2528325139425,2328337949101,2433076754522,2835428312948,2814779697597,3023885984719,3330145572288
5,유동자산,기타채권,680644700160,605416390270,500116696254,604785630332,763920199872,1029935059003,1152989205825,1385773177236
6,유동자산,미청구공사,1868060276653,2006186031512,2050776983119,2070921980372,1966147949622,2100023167610,2372777204975,2001836098755
7,유동자산,파생상품평가자산,37907546898,22986756677,75174106333,24896214325,26095028728,38482519788,124482515404,356947752132
8,유동자산,확정계약자산,26665172484,9530070374,6253704029,109686922178,111500155075,64068051449,22095293873,107997479515
9,유동자산,재고자산,2681748260970,2608021732388,2351625599828,2154147202275,2752318041313,2849179547583,2591618311658,2846136698721
10,유동자산,매각예정자산,35320502217,,,89199969984,99698436486,,23012326807,25216657188
11,유동자산,기타유동자산,927545057969,918097617353,793872047963,797150643469,956631895384,1042987294695,933020634685,1157086095353
12,비유동자산,비유동자산,18121715060452,17294387454184,17901033635532,17902972930098,19232558846414,19092317255701,18856719575719,17489439869728
13,비유동자산,장기금융상품,4698786446,15756857975,31670231171,31642203236,77694443865,84826208686,87503362744,76089078940
14,비유동자산,장기투자증권,432322313186,204526462081,205974327642,290253739912,583769343184,393364736061,358674863375,436967367079
15,비유동자산,관계기업및공동기업투자,173874347708,173953843283,126562324106,90320187014,74116251529,235261816551,320386803967,300391455409
16,비유동자산,유형자산,7953359055167,7768328605168,8198814853198,7909172862663,8796055297033,8583527194585,8659968196823,7512611801092
17,비유동자산,무형자산,7357788872212,7018209744701,6792010933796,6954332145672,7025341342185,7173409519492,7213643069862,7171714287708
18,비유동자산,투자부동산,507187843886,454789644765,467850738041,464289061061,333241300238,479455384081,451848557510,441937224933
19,비유동자산,장기매출채권,4486968691,11364182143,18578556010,8892818663,5869349179,6626735458,8306367849,9036946053
20,비유동자산,장기기타채권,740744349684,747991638334,1037325128700,926258958535,1030318559369,732799947718,524271569412,52647682713
21,비유동자산,장기미청구공사,102739503644,,,,,,,
22,비유동자산,파생상품평가자산,17033382925,21848672708,56861129282,80958564225,63996129207,27913927369,119236994110,199116083882
23,비유동자산,확정계약자산,18341954763,14740733510,2747639542,80307250117,73771115605,56626716041,31003113369,79903845589
24,비유동자산,이연법인세자산,416185443991,479880839786,548167214070,677591000043,797992838331,959323028675,761122793546,894940907948
25,비유동자산,보증금,356689700820,337017966911,371865297031,330564948216,258507735698,309859845925,266051184894,265740498154
26,비유동자산,기타비유동자산,36262537329,45978262819,42605262943,58389190741,111885140991,49322195059,54702698258,48342690228
27,자산총계,자산총계,29169746816091,28880281619788,28769021897630,28664805142790,31556310458668,31369299869190,31166041855076,31504900930343
28,유동부채,유동부채,16205783141791,13316919416726,13721912494745,13438753084222,14279681899468,12648269448835,11815346585325,13472503856638
29,유동부채,매입채무,3089735336927,3545732233469,3240711137918,2795455513286,2535918603127,2941892946939,2428753484007,2436302434509
30,유동부채,기타채무,1560250806181,1337419605353,1161790680862,1441540348742,1278238602955,1144178741154,1193458785752,1222211190977
31,유동부채,초과청구공사,1485148224877,1248826919349,841840468599,909299518403,1182382514958,1120613912405,1661406641456,2085069270466
32,유동부채,단기차입금,4614068042514,3187563078435,4349942596034,3862706392108,4616776180629,3373303137582,2690508679807,3320264767102
33,유동부채,유동성사채,2423497646535,1409156416811,1331969108362,1535143926167,1499290201634,844013769120,1346521298326,1611961143103
34,유동부채,유동성장기차입금,1109271243258,868681480591,999491179765,1178914744335,1033279423322,1067495072748,343979763664,567058071735
35,유동부채,유동화채무,381573986887,491371402314,422709635804,432987691317,394044438739,397347705208,270000000000,176000000000
36,유동부채,유동성장기유동화채무,227844778849,168033174784,174914922491,,,,,
37,유동부채,파생상품평가부채,75579397085,42429836296,90114561186,184246445303,217655824310,190168792794,120017591329,269017663145
38,유동부채,확정계약부채,11224179696,5286700029,66958419588,11617547945,16325825501,65365984651,190652648109,236352740530
39,유동부채,당기법인세부채,56411389032,49885396408,93269062735,67053936089,82693670341,86698223741,213172120795,102671202892
40,유동부채,충당부채,260484356372,195227848456,173366615667,123990867629,138900310589,147669640741,160415347551,158068722536
41,유동부채,유동리스부채,86441288354,,,,,,,
42,유동부채,기타유동부채,824252465224,767305324431,774834105734,894120932748,1284176303363,1269521521752,1196460224529,1287526649643
43,비유동부채,비유동부채,6144424298889,8418316011990,7443691334020,7325193933705,8883102921471,9818689682460,10292711840235,10954507028462
44,비유동부채,사채,1133832947800,2502807608984,2878122090507,2087400113758,2797454102631,3418741448682,3395405390314,3608878581283
45,비유동부채,장기차입금,2258813692216,3667600341106,2270385145427,2887176773587,3715287733677,3939559536059,4603546946307,4433337029572
46,비유동부채,장기유동화채무,292290321272,248788085785,197479161174,246974997243,150408282978,42677714962,,130800000000
47,비유동부채,순확정급여부채,716313286829,669314295316,728881831982,921547369189,966463437052,1085040406735,1021137536706,1286029096225
48,비유동부채,장기기타채무,541899233521,344638559155,398405631057,310701944789,399851346213,632540848886,396228026169,557099578581
49,비유동부채,파생상품부채,57298260230,48693726567,107394126440,129234893577,147649829074,128730391781,86855866707,171685644785
50,비유동부채,확정계약부채,13248086707,22322947888,49556383328,18966908638,28734919118,26648783925,76128783708,163628819304
51,비유동부채,충당부채,251588867668,237803528946,238546120013,246517846608,138900310589,147669640741,160415347551,158068722536
52,비유동부채,이연법인세부채,484366106233,471990708109,377700946498,261216774330,284809000363,195913393755,296595917112,158906437442
53,비유동부채,비유동리스부채,215913882587,,,,,,,
54,비유동부채,기타비유동부채,178859613826,204356210134,197219897594,215456311986,141253974425,103282465045,141350454480,156089394299
55,부채총계,부채총계,22350207440680,21735235428716,21165603828765,20763947017927,23162784820939,22466959131295,22108058425560,24427010885100
56,지배기업의 소유주에게 귀속되는 자본,지배기업의 소유주에게 귀속되는 자본,1562514493436,2011526728541,2474066472558,2391496311899,2577001978757,2889408581525,3038519353485,2707785026691
57,지배기업의 소유주에게 귀속되는 자본,자본금,123738105000,134845735000,134845735000,134838235000,134838235000,134838235000,132894150000,132777900000
58,지배기업의 소유주에게 귀속되는 자본,자본잉여금,732266102161,761433751850,844251163304,827782485400,838903661720,945533242055,956028260155,1087166458920
59,지배기업의 소유주에게 귀속되는 자본,기타자본항목,-1192921252356,-396336775538,-444472068908,-493679547141,-522422077786,-463417529699,-368450253487,-334473392092
60,지배기업의 소유주에게 귀속되는 자본,기타포괄손익누계액,648706788956,551449281371,606921334392,511895897145,768664701717,456221044876,465106087691,62759048955
61,지배기업의 소유주에게 귀속되는 자본,이익잉여금(결손금),1250724749675,960134735858,1332520308770,1410659241495,1357017458106,1816233589293,1852941109126,1759555010908
62,비지배지분,비지배지분,5257024881975,5133519462531,5129351596307,5509361812964,5816523658972,6012932156370,6019464076031,4370105018552
63,자본총계,자본총계,6819539375411,7145046191072,7603418068865,7900858124863,8393525637729,8902340737895,9057983429516,7077890045243
64,,자본과부채총계,29169746816091,28880281619788,28769021897630,28664805142790,31556310458668,31369299869190,31166041855076,31504900930343
