,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,1519631261000,1683673013000,1651203412000,1265142316,1401134824,,,
1,유동자산,현금및현금성자산,212443157000,547270887000,416822314000,300909879,358741273,,,
2,유동자산,매출채권 및 기타채권,421676634000,447766762000,376578952000,340172192,341731479,,,
3,유동자산,재고자산,808951866000,618518757000,523964139000,579885090,669776574,,,
4,유동자산,파생상품자산,,6803388000,1868202000,2969989,2022376,,,
5,유동자산,기타유동자산,76559604000,63313219000,59905864000,40730743,28733569,,,
6,유동자산,매각예정자산,,,272063941000,,,,,
7,비유동자산,비유동자산,5184605063000,4762651300000,4532633584000,3969501461,4029693936,,,
8,비유동자산,장기금융상품,870397000,837892000,,,,,,
9,비유동자산,장기투자증권,1108037000,1221525000,100006000,82752,85324,,,
10,비유동자산,장기매출채권 및 기타비유동채권,53774561000,85858261000,2079725000,,,,,
11,비유동자산,관계기업투자,28345973000,14566909000,30474540000,,,,,
12,비유동자산,유형자산,529124430000,431014352000,408401084000,370002821,365757367,,,
13,비유동자산,무형자산,4366027211000,4155737575000,3983433938000,3500339230,3548521146,,,
14,비유동자산,투자부동산,89258147000,,,,,,,
15,비유동자산,이연법인세자산,35027097000,40801627000,77991210000,71902486,88986869,,,
16,비유동자산,장기파생상품자산,,6452878000,4387862000,,,,,
17,비유동자산,사용권자산,61590436000,,,,,,,
18,비유동자산,기타비유동자산,19478774000,26160281000,25765219000,23163038,24206526,,,
19,자산총계,자산총계,6704236324000,6446324313000,6183836996000,5234643777,5430828760,,,
20,유동부채,유동부채,1139136389000,963456816000,853674487000,610971373,713140406,,,
21,유동부채,매입채무 및 기타유동채무,858215571000,754240502000,539250442000,,,,,
22,유동부채,유동성장기차입금,21902635000,20842820000,20105595000,13000000,13000000,,,
23,유동부채,당기법인세부채,22735015000,12539304000,7173374000,8613109,1014790,,,
24,유동부채,파생상품부채,334778000,5557000,2761201000,349495,123575,,,
25,유동부채,유동리스부채,17548276000,,,,,,,
26,유동부채,충당부채,102655709000,64491064000,66890430000,81767798,64734667,,,
27,유동부채,기타유동부채,115744405000,111337569000,85888857000,64436573,71681007,,,
28,유동부채,매각예정부채,,,131604588000,,,,,
29,비유동부채,비유동부채,1586033659000,1743264409000,1902619819000,1850120034,2050913882,,,
30,비유동부채,기타비유동채무,12542332000,1119180000,1209664000,1026897,1510152,,,
31,비유동부채,장기차입금,748983233000,1078374695000,1318406202000,1320999499,1547031120,,,
32,비유동부채,순확정급여부채,383135113000,360405035000,419329217000,389552612,405158525,,,
33,비유동부채,이연법인세부채,258111948000,203731928000,93277347000,63745283,4018242,,,
34,비유동부채,장기파생상품부채,,626238000,5235346000,,,,,
35,비유동부채,비유동리스부채,41858316000,,,,,,,
36,비유동부채,비유동충당부채,87713307000,47717325000,26100983000,39856870,34594561,,,
37,비유동부채,기타비유동부채,53689410000,51290008000,39061060000,34938873,58601282,,,
38,부채총계,부채총계,2725170048000,2706721225000,2756294306000,2461091407,2764054288,,,
39,지배기업 소유주지분,지배기업 소유주지분,3979066276000,3739603088000,3427542690000,2773552370,2340250925,,,
40,지배기업 소유주지분,자본금,49896002000,48185110000,46172549000,43095528,47146,,,
41,지배기업 소유주지분,자본잉여금,3008980694000,3115030546000,2984924181000,2786003529,2299116370,,,
42,지배기업 소유주지분,기타자본항목,-206560342000,-199477560000,-191145924000,-178407620,7700021,,,
43,지배기업 소유주지분,기타포괄손익누계액,-262836387000,-223248187000,-181913782000,-418921616,-361765092,,,
44,지배기업 소유주지분,이익잉여금,1389586309000,999113179000,769505666000,541782549,395152480,,,
45,자본총계,자본총계,3979066276000,3739603088000,3427542690000,2773552370,2666774472,,,
46,,부채와 자본총계,6704236324000,6446324313000,6183836996000,5234643777,5430828760,,,
