,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,당기순이익(손실),당기순이익(손실),272115865000,264497169000,273758324000,155390523,130918245,,,
1,기타포괄손익,기타포괄손익,-53601454000,18251614000,278597593000,-47866242,-185283260,,,
2,기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 포괄손익,,,,,,,,
3,기타포괄손익,확정급여제도의 재측정요소,-21705741000,48880222000,-3115168000,-843657,18488056,,,
4,기타포괄손익,유형자산 재평가잉여금,3779487000,,2342101000,,2681348,,,
5,기타포괄손익,지분법 이익잉여금변동,-19644000,-12466000,37711000,,,,,
6,기타포괄손익,지분법 자본변동,188959000,,,,,,,
7,기타포괄손익,후속적으로 당기손익으로 재분류되는 포괄손익,,,,,,,,
8,기타포괄손익,해외사업환산손익,-28553104000,-36716160000,280367099000,-47378794,-207593431,,,
9,기타포괄손익,현금흐름위험회피 파생상품평가손익,-7291411000,6100018000,-1034150000,356209,1140767,,,
10,당기총포괄이익,당기총포괄이익,218514411000,282748783000,552355917000,107524281,-54365015,,,
11,당기총포괄이익의 귀속,지배기업 소유주지분,218514411000,282748783000,552355917000,89473545,-18586658,,,
