,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,당기순이익(손실),당기순이익(손실),395698170996,394169729413,296642758870,,,,,
1,기타포괄손익,기타포괄손익,104999857074,172909009024,-139498812722,,,,,
2,기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 포괄손익,-8872723728,40748667078,28155359379,,,,,
3,기타포괄손익,확정급여제도의 재측정요소,-41849401252,37545492014,-6717591709,,,,,
4,기타포괄손익,유형자산 재평가잉여금,33791953262,3000935957,34547697525,,,,,
5,기타포괄손익,기타포괄손익-공정가치 측정 금융자산 평가손익,-2369093630,311745173,0,,,,,
6,기타포괄손익,지분법자본변동,1737603778,0,397099884,,,,,
7,기타포괄손익,지분법이익잉여금변동,-183785886,-109506066,-71846321,,,,,
8,기타포괄손익,후속적으로 당기손익으로 재분류되는 포괄손익,113872580802,132160341946,-167654172101,,,,,
9,기타포괄손익,매도가능금융자산평가손익,0,0,-4403370796,,,,,
10,기타포괄손익,해외사업환산손익,112466225181,129649536168,-157850633039,,,,,
11,기타포괄손익,현금흐름위험회피 파생상품평가손익,1406355621,2510805778,-5400168266,,,,,
12,당기총포괄이익,당기총포괄이익,500698028070,567078738437,157143946148,,,,,
13,총 포괄손익의 귀속 [abstract],지배기업 소유주지분,305666065211,342631656647,70873060791,,,,,
14,총 포괄손익의 귀속 [abstract],비지배지분,195031962859,224447081790,86270885357,,,,,
