,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,409499587072,377687696398,357138348300,386822033548,367062361515,391929587280,430198470491,405478223982
1,유동자산,현금및현금성자산,113979654486,111337062710,108059361733,135960132354,117888996487,109143293345,91868562330,116844545915
2,유동자산,금융기관예치금,45268645716,58804476239,41716983844,48737103454,43888802879,51005945683,40674107213,50000000000
3,유동자산,매출채권,72689434029,61305111573,60504794269,60500600135,51639219355,68182369493,108718449720,75147538098
4,유동자산,기타채권,9152974601,8659943057,4855487943,5461404443,5782929904,9680636049,15589745669,7862190684
5,유동자산,재고자산,155601700078,131201915749,128611918745,120562975715,135362188761,133387178811,126919645436,107596002790
6,유동자산,기타유동자산,11312713786,5635566704,12518945847,14684013429,11403222853,19626447744,16397881048,17788847081
7,유동자산,당기법인세자산,47913083,743620366,870855919,915804018,1097001276,903716155,30079664,239099414
8,유동자산,매각예정비유동자산,1446551293,0,0,,,,,
9,비유동자산,비유동자산,390434045061,361663558817,367526909782,364074944176,389407477891,403817954776,366758131415,352427209992
10,비유동자산,장기금융상품,150000000,144600000,201600000,479300000,80000000,,320000000,80000000
11,비유동자산,장기기타채권,8357140602,7289669089,6138790924,5454664144,5529528743,6736349087,4772378753,5280861704
12,비유동자산,장기기타금융자산,4423680150,4487084725,9902420450,14051200026,13520000000,15964845000,16684135000,3001000000
13,비유동자산,유형자산,268518342745,280639919192,269859149466,281431984157,289815438529,299920682020,295624894321,286873164725
14,비유동자산,무형자산,19452884111,11355836910,8736828129,9204254024,10060047704,10210100103,9265443782,14240202329
15,비유동자산,투자부동산,11171371562,11420962780,29536766619,10989338416,26042475748,25593986475,862022686,
16,비유동자산,사용권자산,68750310796,0,0,,,,,
17,비유동자산,기타비유동자산,2137792256,38987431549,38308819216,38732906656,38840138946,37174173461,28999705922,33440312372
18,비유동자산,이연법인세자산,7472522839,7338054572,4842534978,3731296753,5519848221,8217818630,5439492667,5398356202
19,자산총계,자산총계,799933632133,739351255215,724665258082,750896977724,756469839406,795747542056,796956601906,757905433974
20,유동부채,유동부채,67419205538,61573714524,65405295474,73105222519,111417237296,148758452979,175771751299,142127532505
21,유동부채,매입채무,25422750759,16936470858,19842392640,19115706568,15407538104,21161940273,27399851526,17548573393
22,유동부채,유동계약부채,14579216036,11026659568,10897398298,14768751090,12620485549,13710620973,24481223557,19423542436
23,유동부채,기타금융부채,2100044192,22535328817,21238980424,21655099784,73561013996,100089952262,110891435572,95210415570
24,유동부채,기타유동부채,9455506315,6909009258,7093318547,8702239883,7169577479,6342043841,7148710172,7219185810
25,유동부채,유동리스부채,10000432082,0,0,,,,,
26,유동부채,미지급법인세,4486203383,2337077798,5278218368,7983389486,2137071453,7453895630,5850530472,2725815296
27,유동부채,이연수익,440831042,549598085,565213220,468997984,81192677,1509462676,2006543231,2150642817
28,유동부채,충당부채,934221729,1279570140,489773977,411037724,440358038,621493428,1044469729,934779872
29,비유동부채,비유동부채,48505525513,17233133485,20361274345,5800943346,5122928207,16618848405,5911758814,30804658588
30,비유동부채,확정급여부채,11980051274,7192236545,3174525208,3540488424,2398755056,2318558536,383300318,203241
31,비유동부채,장기기타금융부채,2515116000,6528418000,14244745415,,,10992000000,,20565120000
32,비유동부채,리스부채,30276117322,0,0,,,,,
33,비유동부채,이연수익,1188964100,1188964100,1188964100,1207732100,1245268100,1509462676,2006543231,2150642817
34,비유동부채,충당부채,469947460,295068711,0,411037724,440358038,,,
35,비유동부채,이연법인세부채,2075329357,2028446129,1753039622,1052722822,1384045051,1087333765,2357445536,7128762658
36,부채총계,부채총계,115924731051,78806848009,85766569819,78906165865,116540165503,165377301384,181683510113,172932191093
37,지배기업소유주지분,지배기업소유주지분,683860564141,660418085068,638512058445,671598770188,639849814408,630313416381,615159550895,584828643431
38,지배기업소유주지분,자본금,27500000000,27500000000,27500000000,27500000000,27500000000,27500000000,27500000000,27500000000
39,지배기업소유주지분,자본잉여금,314835873126,314835873781,314809017686,314809017686,314809017686,314809017686,314809017686,314809017686
40,지배기업소유주지분,자본조정,-313611508,-313611508,-23372093146,-23371412239,-23371412239,-23371412239,-23371288326,-19116066214
41,지배기업소유주지분,기타포괄손익누계액,-44514855579,-57740597612,-52558593751,-11957767503,-8482040203,-13583490655,-20878832882,-14769659560
42,지배기업소유주지분,이익잉여금(결손금),386353158102,376136420407,372133727656,364618932244,329394249164,324959301589,317100654417,276405351519
43,비지배지분,비지배지분,148336941,126322138,386629818,392041671,79859495,56824291,113540898,144599450
44,자본총계,자본총계,684008901082,660544407206,638898688263,671990811859,639929673903,630370240672,615273091793,584973242881
45,,자본과부채총계,799933632133,739351255215,724665258082,750896977724,756469839406,795747542056,796956601906,757905433974
