,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,6107298116240,5708395689998,6295311076552,16932314925387,15997299614516,14975642817048,14291091787639,13070641857242
1,유동자산,현금및현금성자산,1586592082626,1818473007915,2626243925953,2269177234171,1751268312375,1928135902764,1309483734138,933996554492
2,유동자산,매출채권및기타채권,889584567689,1119397467063,870455686564,1031337759860,918851065316,912951688728,937496213708,915692528016
3,유동자산,기타금융자산,1958581434172,1061979008598,1245665288496,9979328621652,9672512108386,8598853997670,8469947482421,8002000334709
4,유동자산,재고자산,1459488128039,1267488684051,1354039250052,3324376740398,3265996600781,3161054137256,3114492221496,2750304239448
5,유동자산,당기법인세자산,3300271581,6508527017,2105153010,2961216473,2828176735,1036809819,1273162043,492198462
6,유동자산,기타비금융자산,95406581845,147917797142,193161093427,322866076222,385396412275,373610280811,436289543833,468156002115
7,유동자산,매각예정자산,114345050288,286631198212,3640679050,2267276611,446938648,,22109430000,
8,비유동자산,비유동자산,27865317635436,20550913168208,21653176972530,24983591574765,24696066839990,25096682921235,24681473950762,23786403010792
9,비유동자산,기타채권,183411210535,40192200,,,,,,
10,비유동자산,관계기업및공동기업투자,866308734865,598181387362,443190286833,1336699958995,1274850761283,1163477146833,1064346345721,998432204830
11,비유동자산,기타금융자산,1648867639929,1670806823065,1702498327264,2319321552805,2089192892000,1919623062032,1747192538424,1845654811266
12,비유동자산,유형자산,14495595094916,14404970701402,14918310394824,15932242057138,15759106915994,15900974198475,15788548471490,14825918214604
13,비유동자산,사용권자산,6126877376870,,,,,,,
14,비유동자산,투자부동산,2493734153122,1023932723284,1149023430144,691845360846,520981549176,537190770611,477311047237,508256556095
15,비유동자산,영업권,1538969077502,1601819192996,1923903641348,2591950458583,2715569130715,3277237991048,3407535064959,3488823728069
16,비유동자산,무형자산,309066105666,451657409610,502252395726,764747556589,862820016517,878845182175,933852403521,919612360381
17,비유동자산,확정급여자산,39167568443,,,,,,,
18,비유동자산,이연법인세자산,47750061992,27645357351,16700982896,68585809170,59739523743,53434760836,42419167266,39506796061
19,비유동자산,기타비금융자산,115570611596,771859380938,997297513495,1278198820639,1413806050562,1365899809225,1220268912144,1160198339486
20,자산총계,자산총계,33972615751676,26259308858206,27948488049082,41915906500152,40693366454506,40072325738283,38972565738401,36857044868034
21,유동부채,유동부채,8201884223951,6603742844501,8544529589237,13385955105769,11918653324484,12533913680877,12331882328158,11089018721861
22,유동부채,차입금및사채,2840441420764,1980154167081,3078792356946,5058613133728,4267138638633,4569650331415,4773933341890,4111136249497
