,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,매출,매출,17622000488403,17820781434515,17926062645541,24114328795382,29127654925283,28099567271555,28211702493749,25043680472335
1,매출원가,매출원가,10184620579709,10313111398016,10299185383296,-16242709151411,-20217144193076,-19336671544436,-19547020978863,-17415492536180
2,매출총이익,매출총이익,7437379908694,7507670036499,7626877262245,7871619643971,8910510732207,8762895727119,8664681514886,7628187936155
3,판매비와관리비,판매비와관리비,7007724639491,6911701185620,6825620761758,-7108293437561,-8056797724287,-7574516943430,-7179420596797,-6160720372954
4,대손상각비,대손상각비,1744395592,-1034747693,218053815,,,,,
5,영업이익,영업이익,427910873611,597003598572,801038446672,763326206410,853713007920,1188378783689,1485260918089,1467467563201
6,기타수익,기타수익,88863626239,60480214456,104821417257,133340699249,81556181268,285114675558,62115591854,65508513333
7,기타비용,기타비용,1326606491728,692989219752,595960262781,-462993764190,-853305406948,-345188630663,-243402242592,-91017560146
8,기타의 대손상각비,기타의 대손상각비,6963776667,14235233558,-86032881758,,,,,
9,금융수익-유효이자율법에 따른 이자수익,금융수익-유효이자율법에 따른 이자수익,110441761850,90369352782,275770029867,,,,,
10,금융수익-기타,금융수익-기타,155876088761,188546099017,-482942969812,,,,,
11,금융비용,금융비용,693284586934,411619928356,3098677144,-371049029731,-439614068796,-343412490576,-350219238520,-322209293563
12,관계기업투자 손익에 대한 지분,관계기업투자 손익에 대한 지분,86334775009,88583487325,68365883297,60890419883,6917453611,52171645562,4537014002,69928519882
13,법인세비용차감전이익(손실),법인세비용차감전이익(손실),-1157427729859,-93861629514,254026749114,319533382692,-79763679987,1077996205434,1318412257802,1630680404501
14,법인세수익(비용),법인세수익(비용),250131380140,-160416752873,-273402112875,,,,,
15,계속영업당기순이익(손실),계속영업당기순이익(손실),-907296349719,-254278382387,-19375363761,124559307598,,,,
16,중단영업당기순이익(손실),중단영업당기순이익(손실),67203003872,-210718208408,-1261329481,122315447484,,,,
17,당기순이익(손실),당기순이익(손실),-840093345847,-464996590795,-20636693242,246874755082,-345501284632,615724154364,880634147019,1157637943556
18,기타포괄손익,기타포괄손익,68941555774,-51843253383,-63275479360,-5035379129,-42064427077,78559046556,36498676490,-104929453226
19,기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 항목,27961007698,-39615005317,7353809898,6599493892,-13189130661,-4765709648,56414559319,-36805773541
20,기타포괄손익,기타포괄손익-공정가치 지분상품 평가손익,101118030938,-5220494135,,,,,,
21,기타포괄손익,확정급여제도의 재측정요소,-57813398995,-40146695128,9423840226,11994393106,-17456863596,-2768924814,73551130358,-42035180064
22,기타포괄손익,관계기업투자의 기타포괄손익에 대한 지분,-329709201,-587463005,486911290,-1846524177,-1122501585,-3038752084,1223878986,-6282879340
23,기타포괄손익,법인세효과,15013915044,-6339646951,2556941618,-3548375037,5390234520,1041967250,-18360450025,11512285863
24,기타포괄손익,후속적으로 당기손익으로 재분류되는 항목,40980548076,-12228248066,-70629289258,-11634873021,-28875296416,83324756204,-19915882829,-68123679685
25,기타포괄손익,기타포괄손익-공정가치 채무상품 평가손익,378204762,327488435,,,,,,
26,기타포괄손익,매도가능금융자산평가손익,,,-22886356631,-15689384633,-99835684594,131463053190,-8007810419,26731957118
27,기타포괄손익,해외사업장환산외환차이,15387546851,-32395224763,-31728367381,8756132572,38141097333,23615423366,-36043457950,-102373970641
28,기타포괄손익,파생상품평가손익,-5819584896,6149799927,1538989881,4760000673,-2879598090,-20342841565,13746550711,3949780150
29,기타포괄손익,관계기업투자의 기타포괄손익에 대한 지분,36999738770,16685900771,-28575417631,-16228547687,12131087607,-27020556246,19812057661,13174922120
30,기타포괄손익,법인세효과,5965357411,2996212436,-11021862504,-3548375037,5390234520,1041967250,-18360450025,11512285863
31,총포괄이익(손실),총포괄이익(손실),-771151790073,-516839844178,-83912172602,241839375953,-387565711709,694283200920,917132823509,1052708490330
32,당기순손익의 귀속,지배기업 소유주지분,-909561603609,-544874280474,-136395172880,168194786271,-383067404640,526649847252,788445479378,1080260806741
33,당기순손익의 귀속,계속영업당기순이익(손실),-976764607481,-334156072066,-123862194880,124559307598,,,,
34,당기순손익의 귀속,중단영업당기순이익(손실),67203003872,-210718208408,-12532978000,122315447484,,,,
35,당기순손익의 귀속,비지배지분,69468257762,79877689679,115758479638,78679968811,37566120008,89074307112,92188667641,77377136815
36,당기순손익의 귀속,계속영업당기순이익,69468257762,79877689679,104486831119,67655400806,,,,
37,당기순손익의 귀속,중단영업당기순이익,,,11271648519,11024568005,,,,
38,총포괄손익의 귀속,지배기업 소유주지분,-866298349680,-589275241389,-182926701489,166351853665,-405939847078,565557030253,824021376267,974165402734
39,총포괄손익의 귀속,비지배지분,95146559607,72435397211,99014528887,75487522288,18374135369,128726170667,93111447242,78543087596
40,주당이익 [abstract],계속영업기본주당이익(손실),-34550,-12307,-4673,1491,,,,
41,주당이익 [abstract],계속영업희석주당이익(손실),-34882,-12584,-4690,1491,,,,
42,주당이익 [abstract],중단영업기본주당이익(손실),2377,-7479,-429,3766,,,,
43,주당이익 [abstract],중단영업희석주당이익(손실),2377,-7479,-436,3756,,,,
