,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,3126610863649,15476939685202,13361717892196,847377341135,945244336157,689647483426,784912869972,712719670462
1,유동자산,현금및현금성자산,723571865522,718114570414,1041573715757,166452634619,246987104015,109478490499,183623455473,179675196707
2,유동자산,매출채권및기타채권,934233808184,926028996160,978695212214,323878877725,302392987905,289480006130,265838981406,252991397449
3,유동자산,기타금융자산,793977714718,541047998157,10794346417957,,,,,
4,유동자산,재고자산,477699230271,423570116094,248130550324,252504693430,211969819594,251561189858,229847587598,193857617112
5,유동자산,당기법인세자산,14064493835,10381040267,12866164333,,,,,
6,유동자산,기타비금융자산,117037946975,111398436103,254384474000,,,,,
7,유동자산,매각예정처분자산집단,66025804144,12746398528007,31721357611,,,,,
8,비유동자산,비유동자산,12479139580086,12141407810360,8535340168955,3144459099948,3380624209879,3308227726882,3647302485859,3311667079742
9,비유동자산,관계기업및공동기업투자,6701463986464,7134592323737,3803947578538,,,,,
10,비유동자산,기타금융자산,825471682166,947893964860,1262960060674,,,,,
11,비유동자산,유형자산,2389805333951,2589090517881,1471871161866,1393446785690,1402236749814,1387530481505,1352451859918,1224467051873
12,비유동자산,무형자산,850884927695,920543660384,1664736679858,103241866901,108382481190,124192248951,132000784748,110787572980
13,비유동자산,투자부동산,1074149156261,426288234462,200208010426,69367151932,71039067618,72705390545,74210860647,83765452598
14,비유동자산,사용권자산,555262350778,,,,,,,
15,비유동자산,이연법인세자산,39685341338,61079758112,62862578577,853756376,1132827626,891320811,1197064942,3615883123
16,비유동자산,기타비금융자산,42416801433,61919350924,68754099016,,,,,
17,자산총계,자산총계,15605750443735,27618347495562,21897058061151,3991836441083,4325868546036,3997875210308,4432215355831,4024386750204
18,유동부채,유동부채,3786893004751,16339684515914,7507640902400,677393283238,702806182156,558778993059,491234737371,372293016547
19,유동부채,차입금및사채,1318604565029,3805658951768,4439119961659,,,,,
20,유동부채,매입채무및기타채무,1182739520544,1172072698979,2206961530126,227154219386,235397730381,227085002121,247919216751,214879242382
21,유동부채,기타금융부채,576254451478,256794668940,252965627029,,,,,
22,유동부채,당기법인세부채,366415776791,107321766151,57718099187,,,,,
23,유동부채,선수수익,11821329605,59830929903,109142295278,,,,,
24,유동부채,충당부채,53782152674,55769535496,46682931027,35107926069,33955357170,30852282662,30209630624,25905842286
25,유동부채,기타비금융부채,277275208630,205565881541,395050458094,,,,,
26,유동부채,매각예정처분부채집단,,10676670083136,,,,,,
27,비유동부채,비유동부채,4026320748254,2845195364338,6899583860004,752379062078,920541960099,818892009852,974441023019,850489033913
28,비유동부채,차입금및사채,2074800212883,1220902253003,5361734754261,,,,,
29,비유동부채,기타금융부채,1259395933929,299998975651,344756532595,,,,,
30,비유동부채,확정급여부채및기타장기급여채무,42173317305,54406346923,56690212170,,,,,
31,비유동부채,이연법인세부채,610851561770,1179710544328,1074573101160,400222170017,470171546729,452427338710,534964164749,491644073047
32,비유동부채,선수수익,21673891578,22845743577,13528324539,,,,,
33,비유동부채,충당부채,16611732752,57997068599,46321456760,35107926069,33955357170,30852282662,30209630624,25905842286
34,비유동부채,기타비금융부채,814098037,9334432257,1979478519,,,,,
35,부채총계,부채총계,7813213753005,19184879880252,14407224762404,1429772345316,1623348142255,1377671002911,1465675760390,1222782050460
36,지배기업 소유주지분,지배기업 소유주지분,6699827817851,7112993255851,6114764961074,2442583172508,2587232415700,2482854656794,2812380917514,2705614494305
37,지배기업 소유주지분,자본금,21179372000,21179372000,14934124600,7107000000,7107000000,7107000000,7107000000,7107000000
38,지배기업 소유주지분,자본잉여금,4245951572670,4248745109910,7056776641902,32760410891,32760410891,12998116109,12998116109,11353446411
39,지배기업 소유주지분,자본조정,-2458272653558,-3091985510350,-1409311487423,,,,,
40,지배기업 소유주지분,기타포괄손익누계액,-16278901033,-94333757864,-23631580487,678497975368,872307404247,864425063896,1160227581424,1082049287167
41,지배기업 소유주지분,이익잉여금,4907248427772,6029388042155,475997262482,1774842148381,1723974775034,1652939817570,1668332051774,1620138457531
42,비지배지분,비지배지분,1092708872879,1320474359459,1375068337673,119480923259,115287988081,137349550603,154158677927,95990205439
43,자본총계,자본총계,7792536690730,8433467615310,7489833298747,2562064095767,2702520403781,2620204207397,2966539595441,2801604699744
44,,부채및자본총계,15605750443735,27618347495562,21897058061151,3991836441083,4325868546036,3997875210308,4432215355831,4024386750204
