,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,영업활동으로 인한 현금흐름,영업활동으로 인한 현금흐름,654139386542,-826654211415,,113575203621,218283506607,94060373946,147910471321,91319601701
1,영업활동으로 인한 현금흐름,당기순이익(손실),-411644597115,110709370810,,75239401213,79163818156,1667068545,55173479211,89776244193
2,영업활동으로 인한 현금흐름,조정:,1042594280574,163904283847,,,,,,
3,영업활동으로 인한 현금흐름,영업활동으로 인한 자산부채의 변동,-578919513227,-1637368853539,,,,,,
4,영업활동으로 인한 현금흐름,법인세납부,161563934087,102489156466,,-46178186781,-31260587971,-33315670157,-41844673588,-41765970064
5,영업활동으로 인한 현금흐름,이자수취,737434755907,790957191486,,7384314411,4782275649,4129538771,5571482652,8154612703
6,영업활동으로 인한 현금흐름,이자지급,147742412473,222998912319,,20875240172,19032964067,18356873235,13963378471,17865328193
7,영업활동으로 인한 현금흐름,배당금수취,173980806963,70631864766,,12477827658,13787332044,10817065658,22042511296,25636402287
8,투자활동으로 인한 현금흐름,투자활동으로 인한 현금흐름,847785562036,-2247977678715,,-59064991650,-257318616974,-111198151590,-188018118942,-11873050352
9,투자활동으로 인한 현금흐름,투자활동으로 인한 현금유입액,1977227430789,1567151898324,,428341873993,33092292692,126972253089,60178893670,58839732234
10,투자활동으로 인한 현금흐름,단기금융상품의 감소,296441085757,920737458495,,,,,,
11,투자활동으로 인한 현금흐름,장기금융상품의 감소,5107034123,10145052236,,,,,,
12,투자활동으로 인한 현금흐름,매각예정처분자산집단의 처분,1355960336144,,,,,,,
13,투자활동으로 인한 현금흐름,단기대여금의 감소,5892321468,13656128904,,,,,,
14,투자활동으로 인한 현금흐름,장기대여금의 감소,2229618764,1738814428,,,,,,
15,투자활동으로 인한 현금흐름,매도가능금융자산의 처분,,,,52400538,4068986646,5363082136,842024206,1557215509
16,투자활동으로 인한 현금흐름,기타포괄손익-공정가치측정금융상품의 처분,169576570676,266921439193,,,,,,
17,투자활동으로 인한 현금흐름,종속기업투자주식의 처분,10480776320,,,,,,,
18,투자활동으로 인한 현금흐름,관계기업및공동기업투자주식의 처분,49522049196,234680779,,,,,,
19,투자활동으로 인한 현금흐름,보증금의 회수,46220634967,52929017444,,,,,,
20,투자활동으로 인한 현금흐름,투자부동산의 처분,23496591008,,,,,,10017522717,1157311871
21,투자활동으로 인한 현금흐름,유형자산의 처분,6585733493,10445821831,,5301785393,9201956459,27142952369,19291915952,1508997807
22,투자활동으로 인한 현금흐름,무형자산의 처분,2085894725,12668193702,,244214190,3754154,6994,,2887467
23,투자활동으로 인한 현금흐름,매각예정자산의 처분,,,,,,,,
24,투자활동으로 인한 현금흐름,사업결합으로 인한 현금유입,289001199,249726614886,,,,,,
25,투자활동으로 인한 현금흐름,기타자산의 감소,,,,,,,,
26,투자활동으로 인한 현금흐름,선급금의 감소,,,,,,,,
