,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,매출,매출,8856161430101,7271172031915,,,,,,
1,매출원가,매출원가,6263714452304,5295423122234,,1436231473919,1430998942942,1444909329368,1254077172367,1181680755970
2,매출총이익,매출총이익,2592446977797,1975748909681,,812031530329,826942020006,779855319368,722290196863,682811756007
3,판매비와관리비,판매비와관리비,2417592097826,1877330932112,,684262675936,682480445567,665085310212,630753136937,567416499225
4,대손상각비,대손상각비,3099393100,3014111869,,,,,,
5,영업이익(손실),영업이익(손실),174854879971,98417977569,,127768854393,144461574439,114770009156,91537059926,115395256782
6,금융수익,금융수익,135305777728,56485487256,,22997907127,35019061297,24707817820,30972324744,65291099356
7,유효이자율법이자수익,유효이자율법이자수익,41126650210,33557247577,,,,,,
8,상각후원가측정금융자산처분이익,상각후원가측정금융자산처분이익,21320496,56148970,,,,,,
9,금융비용,금융비용,208609642992,125502345398,,,,,,
10,상각후원가측정금융자산처분손실,상각후원가측정금융자산처분손실,248144080,36597907,,,,,,
11,손상차손,손상차손,361955591,88452728,,,,,,
12,기타수익,기타수익,214200234122,332442356537,,19037303138,32459097194,22774565891,29191901492,23431505867
13,기타비용,기타비용,804398761921,1448779966879,,50720147778,45629214394,31584805428,19395050889,26195592825
14,매출채권처분손실,매출채권처분손실,,82154,,,,,,
15,기타의대손상각비,기타의대손상각비,1007014968,4657570985,,,,,,
16,관계기업투자 손익에 대한 지분,관계기업투자 손익에 대한 지분,-57596046403,1425494337922,,,,,,
17,법인세비용차감전순이익,법인세비용차감전순이익,-546243559495,338557847007,,96193540860,113019483889,37115412157,92487113846,126001206032
18,법인세비용(수익),법인세비용(수익),-40934969484,-97273030341,,20954139647,33855665733,35448343612,37294805219,36224961839
19,계속영업당기순이익(손실),계속영업당기순이익(손실),-505308590011,435830877348,,,,,,
20,중단영업당기순이익(손실),중단영업당기순이익(손실),93663992896,-325121506538,,,,,,
21,당기순이익(손실),당기순이익(손실),-411644597115,110709370810,,75239401213,79163818156,1667068545,55173479211,89776244193
22,기타포괄손익,기타포괄손익,3125293981,-80683859020,,-197969110498,4046180132,-311573566241,82759582761,84072531204
23,기타포괄손익,후속적으로 당기손익으로 재분류되지 않는항목,-35029865954,-16841469894,,,,,,
24,기타포괄손익,확정급여제도의 재측정요소,-20045027513,-10724676490,,,,,,
25,기타포괄손익,기타포괄손익-공정가치측정금융상품평가손익,-21537246818,36316783805,,,,,,
26,기타포괄손익,관계기업투자의 기타포괄손익에 대한 지분,6552408377,-42433577209,,,,,,
27,기타포괄손익,후속적으로 당기손익으로 재분류되는 항목,38155159935,-63842389126,,,,,,
28,기타포괄손익,해외사업장환산외환차이,23991313890,-60575393798,,6575359805,-70555650484,-26987969515,-10009942035,-27460054359
29,기타포괄손익,매도가능금융자산평가손익,,,,,,,,
30,기타포괄손익,기타포괄손익-공정가치측정금융상품평가손익,,-210439728,,,,,,
31,기타포괄손익,파생상품평가손익,-17883222607,-17610545031,,,,,,
32,기타포괄손익,관계기업투자의 기타포괄손익에 대한 지분,32047068652,14553989431,,,,,,
33,총포괄손익,총포괄손익,-408519303134,30025511790,,,,,,
34,당기순이익의 귀속,지배기업 소유주지분,-359540377587,185072920512,,69810943140,75231078560,-2850923910,50728048560,91624784247
35,당기순이익의 귀속,비지배지분,-52104219528,-74363549702,,5428458073,3932739596,4517992455,4445430651,-1848540054
36,총포괄손익의 귀속,지배기업 소유주지분,-342967085232,104968523930,,69810943140,75231078560,-2850923910,50728048560,91624784247
37,총포괄손익의 귀속,비지배지분,-65552217902,-74943012140,,5428458073,3932739596,4517992455,4445430651,-1848540054
38,주당이익 [abstract],계속영업 보통주 기본주당이익,-6207,7105,,,,,,
39,주당이익 [abstract],계속영업 우선주 기본주당이익,-6157,7155,,,,,,
40,주당이익 [abstract],계속영업 보통주 희석주당이익,-6207,7105,,,,,,
41,주당이익 [abstract],계속영업 우선주 희석주당이익,-6157,7155,,,,,,
42,주당이익 [abstract],중단영업 보통주 기본주당이익,1179,-4392,,,,,,
43,주당이익 [abstract],중단영업 우선주 기본주당이익,1179,-4392,,,,,,
44,주당이익 [abstract],중단영업 보통주 희석주당이익,1179,-4392,,,,,,
45,주당이익 [abstract],중단영업 우선주 희석주당이익,1179,-4392,,,,,,
