,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,영업활동현금흐름,영업활동현금흐름,272509290984,286855273130,276925050685,350197343162,217637770269,,,
1,영업활동현금흐름,영업으로부터 창출된 현금흐름,325851825162,356635854905,347635357278,450351803126,336403184340,,,
2,영업활동현금흐름,이자의 수취,6715117514,7312184216,3914461350,5445414718,6803913123,,,
3,영업활동현금흐름,이자의 지급,44084028611,39324048406,33996632013,-38317134171,-37934099095,,,
4,영업활동현금흐름,배당금의 수취,453998000,207026675,464832726,437319280,656730000,,,
5,영업활동현금흐름,법인세의 납부(환급),16427621081,37975744260,41092968656,-67720059791,-88291958099,,,
6,투자활동현금흐름,투자활동현금흐름,-300126459497,-297647174882,-377399517175,-366163173908,-248649081523,,,
7,투자활동현금흐름,금융기관예치금의 감소(증가),-26146731061,19308619772,-19062528197,5546080121,101101003501,,,
8,투자활동현금흐름,대여금의 증가,33857214717,24058873783,11450598394,-8220704871,-11107487793,,,
9,투자활동현금흐름,대여금의 감소,27356671426,17576826064,14044986683,14382710743,19667451788,,,
10,투자활동현금흐름,공정가치금융자산의 취득,-42785159243,-3000022272,0,,,,,
11,투자활동현금흐름,기타금융상품 취득,-2170000,-56255000,0,,,,,
12,투자활동현금흐름,기타금융상품 처분,904820000,884869117,0,,,,,
13,투자활동현금흐름,매도가능금융자산의 취득,0,0,1022540000,-9502205000,-31068736,,,
14,투자활동현금흐름,매도가능금융자산의 처분,0,0,832770000,10504913736,1500000000,,,
15,투자활동현금흐름,관계기업 등에 대한 투자지분의 취득,141499736,7171337261,401379306,-669331364,-36142992627,,,
16,투자활동현금흐름,유형자산의 취득,221934713262,262469587557,285699154954,-336488968965,-269962184992,,,
17,투자활동현금흐름,유형자산의 처분,7851872721,6958295455,2865802693,7694858720,4803786991,,,
18,투자활동현금흐름,무형자산의 취득,16137712268,44050045666,65709668896,-71937443195,-61107409578,,,
19,투자활동현금흐름,무형자산의 처분,6000000000,1708035411,2158709,1567917767,14093527,,,
20,투자활동현금흐름,유무형자산 취득 관련 미지급금의 감소,9989773308,-3277699162,-11799365513,10288906127,2615726396,,,
21,투자활동현금흐름,사업에대한 지배력 획득,-11224396665,0,0,,,,,
22,재무활동현금흐름,재무활동현금흐름,114727169024,10013013192,41042521290,3944505996,71136348507,,,
23,재무활동현금흐름,단기차입금의 증가,-13299741292,-4880606709,-55818868677,-13370448453,-174916880128,,,
24,재무활동현금흐름,파생금융상품의 정산,-880143280,81329334,323563212,999350806,735660240,,,
25,재무활동현금흐름,유동성장기차입금 및 유동성사채의 상환,-448909517188,-475691933948,-138827085035,-228738073158,-437447844928,,,
26,재무활동현금흐름,사채발행,398329520000,348658351981,149347680000,149327700000,299172600000,,,
27,재무활동현금흐름,장기차입금의 차입,400249599692,183590597489,188907006782,219204641619,211494143170,,,
28,재무활동현금흐름,장기차입금의 조기상환,172389017515,19365118238,48715134992,-68727010418,,,,
29,재무활동현금흐름,리스부채 상환,-14348860640,0,0,,,,,
30,재무활동현금흐름,배당금의 지급,-23412320000,-9364928000,-46824640000,-44951654400,-18729856000,,,
31,재무활동현금흐름,신종자본증권 수익분배금의 지급,-9800000000,-12250000000,-7350000000,-9800000000,-7350000000,,,
32,재무활동현금흐름,비지배지분에 대한 배당금 지급,-812350753,-764678717,0,,,,,
33,현금및현금성자산에 대한 환율변동효과,현금및현금성자산에 대한 환율변동효과,571086196,-360596850,-6449594688,-3097676853,-722404591,,,
34,현금및현금성자산의순증가(감소),현금및현금성자산의순증가(감소),87681086707,-1139485410,-65881539888,-15119001603,39402632662,,,
35,기초현금및현금성자산,기초현금및현금성자산,117632619224,118772104634,184653644522,199772646125,160370013463,,,
36,당기말현금및현금성자산,당기말현금및현금성자산,205313705931,117632619224,118772104634,184653644522,199772646125,,,
