,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,,,,,,,,,,
1,,"7,38,39,42,44,45,48",2102864141173,1944296436541,1403474940913,816956144471,646068280488,482828178686,265234225331,
2,,"8,24,38,39,44,45,46,48",18565092602206,12700429817512,9919881109596,8051294746683,7470734836692,6032810619153,3534457153155,
3,,"9,44,45,48",421091309685,810410340130,,,,,,
4,,10,1529332154570,595164466870,209734765973,231751610167,25186159308,25207861468,,
5,,"11,38,44,45,46,48",12771177829513,12653434325387,8523643031416,5477539159847,4449846184267,3415625379354,3399477197646,
6,,"12,44,45,48",1998003654,4995323669,4994458082,28009547901,54820248721,57903063251,72949669368,
7,,"13,44,45,48",1309898615733,1211786123164,1107606416060,260006033800,472664412117,608511877744,611072406747,
8,,14,46831735852,93967367681,98193071321,99645668969,101299872623,103958702250,69716183893,
9,,15,9504251567,12046100209,12620165508,21163350787,30052288431,27622980888,16806093933,
10,,16,36495895181,35796484468,35015128493,35713934562,40451501132,48413560557,45895884407,
11,,22,127097420,1143160806,,,,,,
12,,36,143753532493,97708830620,82969767171,65029381319,45992365866,,,
13,,"17,38,44,45,46,48",1171770220781,1000632279886,800766535864,606141557760,358131462152,203154802324,356043991474,
14,,,38109937389828,31161811056943,23450565211833,17267813232922,14428668627961,11783775446706,8683732053513,
15,,,,,,,,,,
16,,"18,38,44,45,48",2326563911301,2424276423979,3231933356072,3102818819466,3463870841574,3268978645177,2966037831773,
17,,"19,24,38,44,45,46,48",7338967234442,5841958993868,2300300573975,2626203945184,1196829299291,1444864728061,1158736391027,
18,,"20,38,44,45,46,48",22732741219741,18252819343103,13676507197265,8974565293561,7364956845218,5368764001168,3378846604479,
19,,"21,40",27390219236,15938750910,2070024293,10186258290,6865565983,7288879368,2364725772,
20,,36,159644294140,75835137379,55107460134,14966778614,76054817138,64562018862,19269232371,
21,,"23,38,44,45,46,48",1505351203184,1077869139730,872043221456,658133762174,600020383870,547809746013,442931313034,
22,,,34090658082044,27688697788969,20137961833195,15389503005721,12710104381677,10706643934638,7969258957677,
23,,,,,,,,,,
24,,25,717488890000,717488890000,717488890000,496638534000,496638534000,311782377000,309477377000,
25,,25,199909080000,,,,,,,
26,,"26,27",1406942024216,1406151364236,1405316987422,553151474386,552416176882,111625898636,111265374778,
27,,28,87400406570,79358925432,80223319071,79007653555,69538207068,128205666591,69061568640,
28,,29,1507794406998,1170369588306,1009829682145,749512565260,,,,
29,,,3919534807784,3373368767974,3212858878638,1878310227201,1718564246284,899757712771,714473095836,
30,,,99744500000,99744500000,99744500000,,,177373799297,,
31,,,4019279307784,3473113267974,3312603378638,1878310227201,1718564246284,1077131512068,714473095836,
32,,,38109937389828,31161811056943,23450565211833,17267813232922,14428668627961,11783775446706,8683732053513,
