,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,231851317305,224545928066,228539113933,262015448761,,,,
1,유동자산,현금및현금성자산,4522869023,7617712964,16376924953,26349537235,,,,
2,유동자산,단기금융자산,213734981,213179451,214696090,246958895,,,,
3,유동자산,매출채권및기타채권,132240204366,130691485557,143348248360,135712970637,,,,
4,유동자산,재고자산,85057651876,75829815915,60720874905,73407619823,,,,
5,유동자산,계약자산(유동),23725892,11216730,0,,,,,
6,유동자산,기타자산(유동),9793131167,10182517449,6556308120,2228084458,,,,
7,유동자산,당기법인세자산,0,0,1322061505,,,,,
8,비유동자산,비유동자산,275777596805,225471644545,173977168639,135885124124,,,,
9,비유동자산,장기금융자산,10500000,10500000,10500000,10500000,,,,
10,비유동자산,장기투자자산,3793499000,3981419000,0,,,,,
11,비유동자산,매도가능금융자산,0,0,503870000,1889838910,,,,
12,비유동자산,장기기타채권,1720753862,1269829470,1290053395,3195671667,,,,
13,비유동자산,관계기업투자,,2974011346,6477030000,1427001559,,,,
14,비유동자산,유형자산,248784922393,196344390517,144548924887,89304336819,,,,
15,비유동자산,투자부동산,484205023,1038353863,1161239460,1172954630,,,,
16,비유동자산,무형자산,15675917143,17413857307,17505414046,17783866282,,,,
17,비유동자산,사용권자산,890920946,0,,,,,,
18,비유동자산,기타자산(비유동),322347617,0,89159091,89159091,,,,
19,비유동자산,이연법인세자산,4094530821,2439283042,2390977760,21011795166,,,,
20,자산총계,자산총계,507628914110,450017572611,402516282572,397900572885,,,,
21,유동부채,유동부채,139214471690,129736932825,116196774607,195605272112,,,,
22,유동부채,매입채무및기타채무,80679861412,72049593849,58434299196,67054282717,,,,
23,유동부채,단기차입부채,15791596765,29111733393,38887894469,24267945545,,,,
24,유동부채,장기차입부채(유동),9999840000,2709260000,0,,,,,
25,유동부채,리스부채(유동),384236892,0,0,,,,,
26,유동부채,당기법인세부채,7947331058,5193713134,0,29051125540,,,,
27,유동부채,계약부채(유동),7406705275,7700228681,0,,,,,
28,유동부채,충당부채(유동),854803832,0,2388702672,1788961760,,,,
29,유동부채,기타부채(유동),16150096456,12972403768,16485878270,72192976550,,,,
30,비유동부채,비유동부채,85460766409,64177997736,36665525804,6946451580,,,,
31,비유동부채,장기차입부채,72082490000,54290740000,27400000000,,,,,
32,비유동부채,리스부채(비유동),504990166,0,0,,,,,
33,비유동부채,순확정급여채무,8049356432,5054114434,3225998386,2045502306,,,,
34,비유동부채,계약부채(비유동),2942135226,3275565075,0,,,,,
35,비유동부채,기타부채(비유동),1881794585,1557578227,2104052828,2179617296,,,,
36,비유동부채,충당부채(비유동),0,0,3935474590,2721331978,,,,
37,부채총계,부채총계,224675238099,193914930561,152862300411,202551723692,,,,
38,지배기업의 소유주에게 귀속되는 자본,지배기업의 소유주에게 귀속되는 자본,282953676011,256102642050,249653982161,195348849193,,,,
39,지배기업의 소유주에게 귀속되는 자본,자본금,22100000000,22100000000,22100000000,21075000000,,,,
40,지배기업의 소유주에게 귀속되는 자본,기타불입자본,-12815696159,-12819757724,-7820525737,-7671194959,,,,
41,지배기업의 소유주에게 귀속되는 자본,이익잉여금,273669372170,246822399774,235374507898,181945044152,,,,
42,비지배지분,비지배지분,0,0,0,,,,,
43,자본총계,자본총계,282953676011,256102642050,249653982161,195348849193,,,,
44,,자본과부채총계,507628914110,450017572611,402516282572,397900572885,,,,
