,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,영업활동으로 인한 현금흐름,영업활동으로 인한 현금흐름,46998848988,38913967699,-24613565301,9363178136,,,,
1,영업활동으로 인한 현금흐름,영업으로부터 창출된 현금흐름,55222150298,37882208527,6000490358,,,,,
2,영업활동으로 인한 현금흐름,이자의 수취,15227671,169601054,1295033644,122499627,,,,
3,영업활동으로 인한 현금흐름,이자의 지급,0,0,420482180,-823532295,,,,
4,영업활동으로 인한 현금흐름,법인세의 납부(환급),8238528981,-862158118,31488607123,-8818210423,,,,
5,투자활동현금흐름,투자활동현금흐름,-59123923277,-56397181386,-24543219081,32394636950,,,,
6,투자활동현금흐름,단기금융자산의 감소,346957,3446005,227493594,-31804693,,,,
7,투자활동현금흐름,장기기타채권의 증가,477054750,6560261,12073432,,,,,
8,투자활동현금흐름,장기기타채권의 감소,18526730,26822087,1917415604,,,,,
9,투자활동현금흐름,관계기업투자주식의 처분,8477601750,0,0,,,,,
10,투자활동현금흐름,유형자산의 취득,67020101758,54827751672,62950752893,-25070865609,,,,
11,투자활동현금흐름,유형자산의 처분,101164130,,2230625,667090586,,,,
12,투자활동현금흐름,무형자산의 취득,1734986285,2300734684,4081561040,-1757805417,,,,
13,투자활동현금흐름,무형자산의 처분,1510579949,707597139,1501558018,235894500,,,,
14,투자활동현금흐름,매각예정비유동자산의 처분,0,0,38750000000,,,,,
15,투자활동현금흐름,연결범위변동으로 인한 순유입,0,0,207925606,,,,,
16,투자활동현금흐름,연결범위변동으로 인한 순유출,0,0,105455163,,,,,
17,재무활동현금흐름,재무활동현금흐름,8961189202,8653092268,39471683458,,,,,
18,재무활동현금흐름,단기차입금의 차입,6750471505,13889276334,23977148646,24239715640,,,,
19,재무활동현금흐름,단기차입금의 상환,20067264663,23660884926,9239715640,-53571254864,,,,
20,재무활동현금흐름,장기차입금의 상환,2917670000,0,1249980000,,,,,
21,재무활동현금흐름,장기차입금의 차입,28000000000,29600000000,27400000000,,,,,
22,재무활동현금흐름,리스부채의 원금지급,264417033,0,0,,,,,
23,재무활동현금흐름,정부보조금의 수령,0,624000000,350000000,,,,,
24,재무활동현금흐름,정부보조금의 반환,17525207,0,0,,,,,
25,재무활동현금흐름,배당금지급,2522405400,6799843200,1618541600,,,,,
26,재무활동현금흐름,자기주식의 취득,0,4999455940,147227948,-5132605243,,,,
27,현금및현금성자산의 증가(감소),현금및현금성자산의 증가(감소),-3163885087,-8830121419,-9685100924,3237210619,,,,
28,기초 현금및현금성자산,기초 현금및현금성자산,7617712964,16376924953,26349537235,22121177221,,,,
29,재무제표 환산으로 인한 효과,재무제표 환산으로 인한 효과,0,0,0,,,,,
30,외화표시 현금성자산의 환율변동효과,외화표시 현금성자산의 환율변동효과,69041146,70909430,-287511358,991149395,,,,
31,기말 현금및현금성자산,기말 현금및현금성자산,4522869023,7617712964,16376924953,26349537235,,,,
