,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,405145893468,385844008835,362178312852,346249737846,320179494429,311550728677,300757698460,301785551205
1,유동자산,현금및현금성자산,46597163284,32463618172,22970169432,21131680645,16662846271,7769384573,28942760532,62043413461
2,유동자산,단기금융자산,241036943752,236879279175,203489256205,195568553684,167854259975,150145220742,132132969562,98750000000
3,유동자산,매출채권,57810339644,59511741853,73837248116,68751065062,67673947840,66376989843,63582931505,61672923334
4,유동자산,미수금,1268977179,1334013065,1169326931,715976061,454850813,740526254,760405684,5306703139
5,유동자산,미수수익,1329395759,1246894915,1059591527,943840232,955629338,1558961070,1222535578,1514897943
6,유동자산,선급금,225502534,263626182,136805501,81650261,101572833,462377533,208619394,784816536
7,유동자산,선급비용,12553003795,15444404237,20917753732,25329105146,27452030410,30259631234,29775060296,27529168924
8,유동자산,재고자산,44324567521,38700431236,38598161408,33727866755,39024356949,54237637428,44132415909,44183627868
9,비유동자산,비유동자산,279776888706,268085083960,273444293706,277501194163,296809027976,267301633155,263535986448,243846912256
10,비유동자산,장기금융자산,25944713457,21900525713,25040451884,27163155744,46237283564,16738065515,23362924355,17593041495
11,비유동자산,유형자산,215055172486,213613508776,220820712378,226372913609,227672062673,229708687523,218255249391,203241337654
12,비유동자산,무형자산,5960808804,7343352977,5389755140,2643953549,2514794517,2149919855,2163380124,2231562137
13,비유동자산,보증금,18618762878,18484694712,18782298753,19374999202,19076935510,17031114886,16603051566,15544028898
14,비유동자산,장기선급금,2207854417,1768997066,1683114585,1344024417,565428146,1173176053,2667890481,4533141885
15,비유동자산,장기선급비용,47195756,889182694,375893439,549291477,742523566,500669323,483490531,703800187
16,비유동자산,사용권자산,9514484850,0,0,,,,,
17,비유동자산,이연법인세자산,2427896058,4084822022,1352067527,52856165,,,,
18,자산총계,자산총계,684922782174,653929092795,635622606558,623750932009,616988522405,578852361832,564293684908,545632463461
19,유동부채,유동부채,94291434532,95725756072,93758682222,83021918726,72684311364,72379606302,71680769664,79471971185
20,유동부채,매입채무,40662671980,39975031581,50849266077,40811953676,36582284054,37981106588,38357945809,35498037431
21,유동부채,미지급금,25164817739,23141448918,20308806434,19359688307,19024130086,16828815387,18054631963,20199545260
22,유동부채,미지급비용,7606693385,12792224539,5968548542,9669390876,6342537752,6464414293,5874084804,8429774493
23,유동부채,미지급법인세,4527052807,6117439980,5212295541,5953014344,2288414994,5184021891,5620479828,11660991956
24,유동부채,미지급배당금,2366440,2335580,2400040,2398120,2462600,2520220,2521660,2881440
25,유동부채,기타유동부채,11876086462,13697275474,11417365588,7225473403,8326481878,5161727923,2720190329,2198988044
26,유동부채,유동리스부채,4451745719,0,0,,,,,
27,비유동부채,비유동부채,19491772057,13127058172,13018263611,18973379034,27141126474,22460811362,25007718193,27643838553
28,비유동부채,퇴직급여부채,3680989553,2872711396,3788801040,6689537466,9659256916,8181464400,8432914848,7335730319
29,비유동부채,장기수입보증금,5936666258,5995732644,5886155757,5759138957,5861461023,6138889514,6220675344,6148077070
30,비유동부채,장기미지급비용,4942979910,4075554721,3248353780,3516703903,3308143398,4167092683,4222736010,3950318682
31,비유동부채,비유동리스부채,4504442159,0,0,,,,,
32,비유동부채,이연법인세부채,426694177,183059411,64953034,2977998708,8261615137,1887744765,3288771991,1984902482
33,비유동부채,기타비유동부채,0,0,30000000,30000000,30000000,30000000,30000000,53000000
34,부채총계,부채총계,113783206589,108852814244,106776945833,101995297760,99825437838,94840417664,96688487857,107115809738
35,지배기업 소유주지분,지배기업 소유주지분,571139575585,545074507932,528843113647,521752725910,517160522713,484011944168,464726776335,435665244810
36,지배기업 소유주지분,자본금,49756205000,49756205000,49756205000,49756205000,49756205000,49756205000,49756205000,49756205000
37,지배기업 소유주지분,자본잉여금,64768908197,64768908197,64768908197,64768908197,64768908197,64768908197,64768908197,64768908197
38,지배기업 소유주지분,기타자본항목,-22482303960,-22482303960,-22482303960,-22482303960,-22482303960,-22482303960,-22482303960,-22482303960
39,지배기업 소유주지분,기타포괄손익누계액,-1889727168,-1568808438,2355001970,12961431934,27663562632,7624640722,12624370484,8136876019
40,지배기업 소유주지분,적립금,434790575965,418258575965,401814575965,383370575965,369594575965,345817575965,320540575965,284300575965
41,지배기업 소유주지분,이익잉여금,46195917551,36341931168,32630726475,33377908774,27859574879,38526918244,39519020649,51184983589
42,비지배지분,비지배지분,0,1770619,2547078,2908339,2561854,,2878420716,2851408913
43,자본총계,자본총계,571139575585,545076278551,528845660725,521755634249,517163084567,484011944168,467605197051,438516653723
44,,자본과부채총계,684922782174,653929092795,635622606558,623750932009,616988522405,578852361832,564293684908,545632463461
