,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,매출액,매출액,878334259510,855162971617,814713345879,813166106663,799571650621,820021629220,805971786034,790017219196
1,매출원가,매출원가,647115636927,634657922845,611940006269,-567128664550,-575847254837,-585652626300,-573758671963,-538603512647
2,매출총이익,매출총이익,231218622583,220505048772,202773339610,246037442113,223724395784,234369002920,232213114071,251413706549
3,판매비와관리비,판매비와관리비,185436474239,181175434096,168065003441,-208801596031,-192031682788,-192669398111,-181475406123,-184827970979
4,영업이익,영업이익,45782148344,39329614676,34708336169,37235846082,31692712996,41699604809,50737707948,66585735570
5,금융수익,금융수익,7338056696,6380766901,15099790105,4910957408,4228231752,6175334267,6220030441,6098114395
6,금융비용,금융비용,737775858,431403856,527440148,-692195038,-420714057,-600234513,-751083845,-846454314
7,기타영업외수익,기타영업외수익,1459397649,799996858,1331916751,1034522743,1672295956,6186180499,877878870,1120616249
8,기타영업외비용,기타영업외비용,739057238,1703108467,2503103129,-5440857352,-4729058617,-5002675315,-7106448018,-4222397770
9,법인세비용차감전순이익,법인세비용차감전순이익,53102769593,44375866112,48109499748,37048273843,32443468030,48458209747,49978085396,67422501950
10,법인세비용,법인세비용,12044873818,10174705428,18494464874,-8317513448,-7793353797,-10995974738,-12058666325,-16718419616
11,당기순이익,당기순이익,41057895775,34201160684,29615034874,28730760395,24650114233,37462235009,37919419071,50704082334
12,법인세효과차감후기타포괄손익,법인세효과차감후기타포괄손익,-2975344644,-6918291608,-11472757148,-13085959463,19455387223,-7531097670,3547645657,1394317489
13,법인세효과차감후기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 항목:,-3105888277,-7028938711,-865951013,1615549046,-580971976,-2525019232,-938609126,-1019714019
14,법인세효과차감후기타포괄손익,기타포괄손익-공정가치 측정 금융자산 평가손익,-700160375,-3882112681,0,,,,,
15,법인세효과차감후기타포괄손익,확정급여제도의 재측정요소,-2405727902,-3146826030,-865951013,1615549046,-580971976,-2525019232,-938609126,-1019714019
16,법인세효과차감후기타포괄손익,후속적으로 당기손익으로 재분류되는 항목:,130543633,110647103,-10606806135,,,,4486254783,2414031508
17,법인세효과차감후기타포괄손익,매도가능금융자산평가손익,0,0,-10080496125,-14772268797,20176188924,-4977194805,4397815935,2423949930
18,법인세효과차감후기타포괄손익,해외사업환산손익,130543633,110647103,-526310010,70760288,-139829725,-28883633,-2529963,-9918422
19,총포괄손익,총포괄손익,38082551131,27282869076,18142277726,15644800932,44197975649,30036562701,41467064728,52098399823
20,당기순이익의 귀속,지배기업주주지분순이익,41060140311,34201683721,29615019964,28731036099,24743183365,37862168077,37891167586,50789454914
21,당기순이익의 귀속,비지배주주지분순손익,-2244536,-523037,14910,-275704,-594939,-294507706,28251485,-85372580
22,총포괄손익의 귀속,지배기업소유주지분,38084738233,27283645535,18142638988,15644454447,44200186379,30331070407,41440052925,52188632430
23,총포괄손익의 귀속,비지배주주지분,-2187102,-776459,-361262,346485,-2210730,-294507706,27011803,-90232607
24,주당이익 [abstract],기본주당이익,4644,3868,3349,3249,2798,4282,4285,5735
25,주당이익 [abstract],희석주당이익,4644,3868,3349,3249,2788,4270,4285,5735
