,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,5181414896890,5519342209666,3584576077532,,,,2063191570729,2414856331367
1,유동자산,현금및현금성자산,1156295420684,1516585546977,1209015663790,,,,730176083443,946516332079
2,유동자산,매출채권및기타채권,2015345598328,1851185858690,1230256403435,,,,685033763043,776407708666
3,유동자산,재고자산,1707920528827,1745650833399,966571644365,,,,525775079315,558451772510
4,유동자산,기타투자자산,147307932765,150531067707,113795179915,,,,71488711470,65011477113
5,유동자산,기타유동자산,154545416286,198560107177,64937186027,,,,50717933458,68469040999
6,유동자산,매각예정비유동자산,,56828795716,,,,,,
7,비유동자산,비유동자산,14670681551114,13830378974263,12157129300725,,,,8492479318664,8480230960854
8,비유동자산,매출채권및기타채권,27812097927,23168938800,3379614318,,,,685033763043,776407708666
9,비유동자산,관계기업투자,6763177128524,6554633768115,6219349912456,,,,,
10,비유동자산,유형자산,5426843174367,4608333985853,2930339325646,,,,1787954648239,1971102028486
11,비유동자산,무형자산,831370661521,866271119300,897447247322,,,,167070501764,171007081682
12,비유동자산,투자부동산,153656745607,149725014028,149914778172,,,,35533797752,34078480998
13,비유동자산,이연법인세자산,85799169237,51799609019,41407873779,,,,48843358075,164181243366
14,비유동자산,기타투자자산,1268769438700,1495631279112,1785846776491,,,,71488711470,65011477113
15,비유동자산,기타비유동자산,113253135231,80815260036,129443772541,,,,72997549866,82024108433
16,자산총계,자산총계,19852096448004,19349721183929,15741705378257,,,,10555670889393,10895087292221
17,유동부채,유동부채,3741522650216,4012822498262,2664061476102,,,,1526957189977,2004041264688
18,유동부채,매입채무및기타채무,1835800150659,2145075054015,1485918600167,,,,1088024851387,1317601806420
19,유동부채,미지급법인세,72873576031,35623226493,20807947629,,,,19667237760,17689998644
20,유동부채,선수금,60860323805,69598588790,44172530214,,,,3324294122,9320358796
21,유동부채,선수수익,5513614118,6304689548,33857200178,,,,727563303,667546222
22,유동부채,단기차입금,1766474985603,1739389710470,1079305197914,,,,415213243405,658761554606
23,유동부채,파생상품부채,,15202782348,,,,,,
24,유동부채,매각예정비유동부채,,1628446598,,,,,,
25,비유동부채,비유동부채,3450228602652,3111679469477,1625644404713,,,,1486297268662,1326564425536
26,비유동부채,매입채무및기타채무,338467511795,291312664392,181119003713,,,,1088024851387,1317601806420
27,비유동부채,장기선수수익,5259529488,27083906195,44139747984,,,,,
28,비유동부채,장기차입금,1801994890105,1514282000856,345303351571,,,,768951600099,474292540294
29,비유동부채,종업원급여부채,61489160231,70146754408,25621629290,,,,29409084962,42592368233
30,비유동부채,파생상품부채,2420075456,29866610049,20220577592,,,,,
31,비유동부채,이연법인세부채,1240597435577,1178987533577,1009240094563,,,,654709888068,793561300020
32,부채총계,부채총계,7191751252868,7124501967739,4289705880815,,,,3013254458639,3330605690224
33,지배기업의 소유주에게 귀속되는 자본,지배기업의 소유주에게 귀속되는 자본,12324936720467,11934022744253,11257301680704,,,,,
34,지배기업의 소유주에게 귀속되는 자본,자본금,356712130000,356712130000,356712130000,,,,240681185000,240681185000
35,지배기업의 소유주에게 귀속되는 자본,자본잉여금,5001974693202,5037936783944,5042698139239,,,,1262958483903,1258440117639
36,지배기업의 소유주에게 귀속되는 자본,기타자본항목,-345131583767,-345131583767,-345131583767,,,,-163442079393,-163787924767
37,지배기업의 소유주에게 귀속되는 자본,기타포괄손익누계액,404513003532,271989660350,602435774875,,,,1001906308553,1051350255914
38,지배기업의 소유주에게 귀속되는 자본,이익잉여금,6906868477500,6612515753726,5600587220357,,,,5035989171796,4986541200257
39,비지배지분,비지배지분,335408474669,291196471937,194697816738,,,,164323360895,191256767954
40,자본총계,자본총계,12660345195136,12225219216190,11451999497442,,,,7542416430754,7564481601997
41,,부채 및 자본총계,19852096448004,19349721183929,15741705378257,,,,10555670889393,10895087292221
