,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,매출액,매출액,10097426164132,9158272454945,6346606593493,,,,5016464902443,5771184919896
1,매출원가,매출원가,7882255450606,7118188528425,5180761473455,,,,4260003195771,4863335814274
2,매출총이익,매출총이익,2215170713526,2040083926520,1165845120038,,,,756461706672,907849105622
3,판매비와관리비,판매비와관리비,1752994251257,1325113320369,1048950333520,,,,783856065271,720974876179
4,영업이익(손실),영업이익(손실),462176462269,714970606151,116894786518,,,,-27394358599,186874229443
5,기타수익,기타수익,82720339943,127102697630,196226647012,,,,,
6,기타비용,기타비용,89624717352,193470665337,183023147146,,,,387857616957,452674981575
7,금융수익,금융수익,314411076884,384164315917,250012082221,,,,202091503836,179177777319
8,금융비용,금융비용,383670661559,338715140922,251450264219,,,,216288053479,210436060671
9,지분법손익,지분법손익,178629731183,342181823994,695404774170,,,,405998488460,503791259784
10,법인세비용차감전순이익(손실),법인세비용차감전순이익(손실),564642231368,1036233637433,824064878556,,,,,
11,법인세비용,법인세비용,162275801799,291184451986,180871015592,,,,36103464446,542606922222
12,당기순이익(손실),당기순이익(손실),402366429569,745049185447,643193862964,,,,147915701017,1486814347987
13,기타포괄손익,기타포괄손익,138715909426,51278320541,-6154449821,,,,-68314804673,-162284285613
14,기타포괄손익,후속기간에 당기손익으로 재분류되지 않는 항목,36230016544,36023582593,16421113526,,,,-13767205046,-28297368327
15,기타포괄손익,순확정급여부채 재측정요소,5897603445,-29815080893,21529601753,,,,-18142603336,-37418011498
16,기타포괄손익,기타포괄손익-공정가치측정금융자산평가손익,41532379368,77282456975,,,,,,
17,기타포괄손익,법인세효과,-11199966269,-11443793489,-5108488227,,,,10108660111,23956883753
18,기타포괄손익,후속기간에 당기손익으로 재분류되는 항목,102485892882,15254737948,-22575563347,,,,-54547599627,-133986917286
19,기타포괄손익,매도가능금융자산평가손익,,,171461576116,,,,-343075855478,-55663218949
20,기타포괄손익,지분법자본변동,21850440243,-6897968336,-1625771441,,,,294123770319,-29065062044
21,기타포괄손익,파생상품평가손익,28819436259,-25658003955,,,,,531521375,-873265
22,기타포괄손익,해외사업환산손익,60421135318,39557923656,-156923295181,,,,-16235695954,-73214646781
23,기타포괄손익,법인세효과,-8605118938,8252786583,-35488072841,,,,10108660111,23956883753
24,총포괄손익,총포괄손익,541082338995,796327505988,637039413143,,,,79600896344,1324530062374
25,당기순이익(손실)의 귀속 [abstract],지배기업지분,356548860592,701166336925,657236340934,,,,130598633385,1471502017099
26,당기순이익(손실)의 귀속 [abstract],비지배지분,45817568977,43882848522,-14042477970,,,,17317067632,15312330888
27,총 포괄손익의 귀속 [abstract],지배기업지분,493820676756,748427028644,685105833682,,,,130598633385,1471502017099
28,총 포괄손익의 귀속 [abstract],비지배지분,47261662239,47900477344,-48066420539,,,,17317067632,15312330888
29,주당이익 [abstract],보통주 기본및희석주당손익,5331,10484,9824,,,,,
30,주당이익 [abstract],우선주 기본및희석주당손익,5381,10534,9874,,,,,
