,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,,,,,,10772060546570,10037576417145,9701345555780
1,유동자산,현금및현금성자산,,,,,,2101271395775,1468603142537,1378201334520
2,유동자산,단기금융상품,,,,,,56840224496,40760053912,41695571436
3,유동자산,단기매도가능금융자산,,,,,,137620000,0,0
4,유동자산,매출채권,,,,,,4990375579664,4665169062643,4407533878301
5,유동자산,기타유동자산,,,,,,2611752197626,2430570417139,2454006718965
6,유동자산,재고자산,,,,,,1011683529009,1432473740914,1419908052558
7,매각예정자산,매각예정자산,,,,,,474320932595,23756289697,0
8,비유동자산,비유동자산,,,,,,18259452992203,15404576970498,16262699602808
9,비유동자산,매도가능금융자산,,,,,,13185270538107,10622670081193,11344295821650
10,비유동자산,관계기업 및 공동기업 투자,,,,,,966109524150,1185015311641,1056786977060
11,비유동자산,유형자산,,,,,,1797730273997,1158802472547,1249701821136
12,비유동자산,투자부동산,,,,,,76027830697,77119558021,107101493685
13,비유동자산,생물자산,,,,,,76132636369,72673822711,91781947701
14,비유동자산,무형자산,,,,,,1390100024373,1284138861049,1230991555431
15,비유동자산,이연법인세자산,,,,,,25087995384,23561094729,25409154335
16,비유동자산,기타비유동자산,,,,,,742994169126,980595768607,1156630831810
17,자산총계,자산총계,,,,,,29505834471368,25465909677340,25964045158588
18,유동부채,유동부채,,,,,,9377804860348,8919176795551,8726991094866
19,유동부채,매입채무,,,,,,2043500253929,1988191056790,2171245198469
20,유동부채,단기차입금,,,,,,1806481078529,1361490989630,1613645387618
21,유동부채,유동성장기채무,,,,,,429236357715,721450309925,596154230861
22,유동부채,미지급법인세,,,,,,101070478204,20197333984,6865798935
23,유동부채,기타유동부채,,,,,,4997516691971,4827847105222,4339080478983
24,비유동부채,비유동부채,,,,,,6455592946970,5127179620464,5547781686015
25,비유동부채,사채 및 장기차입금,,,,,,3060135454633,2468826592167,2695188573281
26,비유동부채,순확정급여부채,,,,,,58039458661,70690166451,88037604307
27,비유동부채,이연법인세부채,,,,,,3055859875092,2336000568686,2506557943090
28,비유동부채,충당부채,,,,,,204462494315,205054503038,174425726300
29,비유동부채,기타비유동부채,,,,,,77095664269,46607790122,83571839037
30,부채총계,부채총계,,,,,,15833397807318,14046356416015,14274772780881
31,지배기업 소유주지분,지배기업 소유주지분,,,,,,13165214973346,10982055559244,11588045858893
32,지배기업 소유주지분,자본금,,,,,,804332085000,804332085000,804332085000
33,지배기업 소유주지분,연결자본잉여금,,,,,,1023785596348,1060477680127,1056567152885
34,지배기업 소유주지분,기타자본,,,,,,8539197460797,6486897227938,7259568099916
35,지배기업 소유주지분,연결이익잉여금,,,,,,2797899831201,2630348566179,2467578521092
36,비지배지분,비지배지분,,,,,,507221690704,437497702081,101226518814
37,자본총계,자본총계,,,,,,13672436664050,11419553261325,11689272377707
38,,부채와자본총계,,,,,,29505834471368,25465909677340,25964045158588
