,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,,,5207649000000,3434345000000,4055552000000,4723503000000,2276606000000,4216720000000,3026800000000,
1,,,4072253000000,3488145000000,2861654000000,2094584000000,2337133000000,2542066000000,594869000000,
2,,,166997576000000,147638963000000,146042900000000,138214702000000,131894930000000,123984920000000,112693370000000,
3,,,280147000000,280873000000,297696000000,328992000000,421906000000,748147000000,748808000000,
4,,,71754486000000,73182513000000,67072166000000,60503788000000,36462636000000,32687421000000,29793530000000,
5,,,561431000000,710094000000,689402000000,314897000000,82796000000,165433000000,495748000000,
6,,,1379148000000,1346611000000,1629010000000,1490325000000,2603098000000,2463717000000,2372841000000,
7,,,237508000000,376524000000,559238000000,792448000000,,,,
8,,,98637000000,,49691000000,260415000000,6530000000,2195000000,,
9,,,6448735000000,7297969000000,6812422000000,6854774000000,7555922000000,6146006000000,6310399000000,
10,,,735119000000,822577000000,1065818000000,1454095000000,1756873000000,1800669000000,1783521000000,
11,,,743372000000,850605000000,1004315000000,876511000000,520765000000,451404000000,193790000000,
12,,,206188000000,,,,,,,
13,,,527715000000,1187000000,543749000000,198549000000,171289000000,382000000,51330000000,
14,,,1012000000,991000000,765000000,5322000000,,12000000,64000000,
15,,,3715998000000,4062368000000,4705774000000,5035748000000,4686714000000,4815483000000,4859176000000,
16,,,49795298000000,45933890000000,45323665000000,41505148000000,39585698000000,34409139000000,30015137000000,
17,,,312762272000000,289427655000000,282713817000000,264653801000000,230362896000000,214433714000000,192939383000000,
18,,,,,,,,,,
19,,,180492968000000,173943448000000,166897872000000,158729147000000,149118213000000,138982550000000,128760951000000,
20,,,11528465000000,8208565000000,9599619000000,8075517000000,6969288000000,6771704000000,6028917000000,
21,,,139237000000,19419000000,15441000000,71468000000,47981000000,89443000000,97750000000,
22,,,20377319000000,22484393000000,19663333000000,18546201000000,4202160000000,3318418000000,2164529000000,
23,,,455285000000,266692000000,239429000000,721269000000,620184000000,528978000000,579136000000,
24,,,138986000000,363813000000,78715000000,69599000000,15174000000,5880000000,759000000,
25,,,7850375000000,5293854000000,6668710000000,4976383000000,4427612000000,4195262000000,3620619000000,
26,,,251896000000,335416000000,239350000000,309532000000,162282000000,157222000000,98009000000,
27,,,1067791000000,1029980000000,1009339000000,988811000000,506663000000,503705000000,470914000000,
28,,,53143545000000,46976616000000,47180437000000,43857426000000,40571594000000,37595813000000,32087408000000,
29,,,275445867000000,258922196000000,251592245000000,236345353000000,206641151000000,192148975000000,173908992000000,
30,,,,,,,,,,
31,,,35667037000000,28902094000000,29358947000000,26644237000000,23645836000000,22204919000000,,
32,,,100000000000,100000000000,100000000000,100000000000,100000000000,100000000000,100000000000,
33,,,125115000000,125115000000,63084000000,63084000000,6131000000,7126000000,6131000000,
34,,,-2116955000000,-2116955000000,-2116955000000,-2117768000000,-1575774000000,-1086828000000,-882863000000,
35,,,21509453000000,15245998000000,17073526000000,15310260000000,13548291000000,12488331000000,10236507000000,
36,,,16049424000000,15547936000000,14239292000000,13288661000000,11567188000000,10696290000000,9510401000000,
37,,,1649368000000,1603365000000,1762625000000,1664211000000,75909000000,79820000000,60215000000,
38,,,37316405000000,30505459000000,31121572000000,28308448000000,23721745000000,22284739000000,19030391000000,
39,,,,,,,,,,
40,,,312762272000000,289427655000000,282713817000000,264653801000000,230362896000000,214433714000000,192939383000000,
