,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,,,31804022000000,32240885000000,31959034000000,30428633000000,27705927000000,27426368000000,,
1,,,16201074000000,16134974000000,16645815000000,16768276000000,17354147000000,17461627000000,,
2,,,389855000000,340144000000,301546000000,278207000000,257780000000,233297000000,,
3,,,7187838000000,7109193000000,6803907000000,6681999000000,5729876000000,5702049000000,,
4,,,722857000000,555479000000,522882000000,356218000000,333689000000,210150000000,,
5,,,275872000000,1247110000000,96079000000,197166000000,184815000000,685113000000,,
6,,,144161000000,290112000000,1214034000000,275110000000,118894000000,247306000000,,
7,,,811654000000,640649000000,420593000000,553611000000,717194000000,487471000000,,
8,,,1680886000000,1677177000000,2235539000000,2062554000000,158175000000,43020000000,,
9,,,1051509000000,1081956000000,791569000000,450646000000,389569000000,284011000000,,
10,,,450122000000,420851000000,413564000000,437955000000,444407000000,422481000000,,
11,,,1626473000000,1653367000000,1568717000000,1442637000000,1305766000000,1091894000000,,
12,,,523644000000,478535000000,468265000000,393717000000,471945000000,433274000000,,
13,,,409730000000,271435000000,191221000000,260915000000,238758000000,123562000000,,
14,,,328347000000,339903000000,285303000000,269622000000,,,,
15,,,30551441000000,29657574000000,30268428000000,29442112000000,26557433000000,26020836000000,,
16,,,6003799000000,6447570000000,7625987000000,9241518000000,9864308000000,10031329000000,,
17,,,14467397000000,13510288000000,11909948000000,10610167000000,10209610000000,10051134000000,,
18,,,443585000000,389497000000,339230000000,311242000000,289133000000,265819000000,,
19,,,2176339000000,2231879000000,1764161000000,1523630000000,1558883000000,1568400000000,,
20,,,1441454000000,1556301000000,1967010000000,2123811000000,2056932000000,2011555000000,,
21,,,297321000000,327313000000,333391000000,356139000000,371191000000,478153000000,,
22,,,636789000000,442153000000,445020000000,415263000000,137929000000,103104000000,,
23,,,596905000000,416293000000,370233000000,318862000000,335154000000,209920000000,,
24,,,60872000000,10486000000,60859000000,145150000000,120462000000,42393000000,,
25,,,440105000000,399371000000,291292000000,305978000000,6911000000,13708000000,,
26,,,625671000000,478883000000,359291000000,468041000000,601678000000,378137000000,,
27,,,230004000000,365329000000,1419784000000,356116000000,180205000000,250865000000,,
28,,,523644000000,478535000000,468265000000,393717000000,471945000000,433274000000,,
29,,,2607556000000,2603676000000,2913957000000,2872478000000,353092000000,183045000000,,
30,,,1252581000000,2583311000000,1690606000000,986521000000,1148494000000,1405532000000,,
31,,,211824000000,364121000000,178496000000,2645582000000,344046000000,321522000000,,
32,,,37616000000,581731000000,186330000000,1024627000000,121027000000,123597000000,,
33,,,1426789000000,2365701000000,1682772000000,2607476000000,1371513000000,1603457000000,,
34,,,375097000000,631991000000,419565000000,457520000000,161940000000,266427000000,,
35,,,1051692000000,1733710000000,1263207000000,2149956000000,1209573000000,1337030000000,,
36,,,6269724000000,-1849565000000,1781097000000,1772784000000,1060247000000,2253132000000,,
37,,,,,,,,,,
38,,,6200063000000,-2039534000000,1840459000000,1796574000000,1012762000000,2186393000000,,
39,,,,-16000000,-186000000,-293000000,-362000000,-405000000,,
40,,,-37789000000,146675000000,-27878000000,76994000000,69394000000,129231000000,,
41,,,10771000000,2387000000,3918000000,42041000000,23688000000,-71277000000,,
42,,,97423000000,45544000000,-36173000000,-25985000000,-29333000000,35622000000,,
43,,,28352000000,15102000000,-12775000000,-98354000000,-19306000000,12968000000,,
44,,,,,,,,,,
45,,,-29096000000,-19723000000,13732000000,-18193000000,3404000000,-39400000000,,
46,,,7321416000000,-115855000000,3044304000000,3922740000000,2269820000000,3590162000000,,
47,,,1051692000000,1733710000000,1263207000000,2149956000000,1209573000000,1337030000000,,
48,,,977391000000,1664382000000,1166121000000,2054267000000,1211233000000,1337488000000,,
49,,,74301000000,69328000000,97086000000,95689000000,-1660000000,-458000000,,
50,,,7321416000000,-115855000000,3044304000000,3922740000000,2269820000000,3590162000000,,
51,,,7240846000000,-163146000000,2929387000000,2054267000000,1211233000000,1337488000000,,
52,,,80570000000,47291000000,114917000000,95689000000,-1660000000,-458000000,,
53,,,,,,,,,,
54,,,5443000000,9268000000,6494000000,11407000000,6418000000,7062000000,,
55,,,5443000000,9268000000,6494000000,11407000000,6418000000,7062000000,,
