,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,매출액,매출액,10719631804166,10034218901478,9299206129920,,,,7046832520854,6105858304282
1,매출원가,매출원가,8925703658997,8369829634622,7804602140616,,,,5914920875466,4985063840189
2,매출총이익,매출총이익,1793928145169,1664389266856,1494603989304,,,,1131911645388,1120794464093
3,판매비와관리비,판매비와관리비,803838748081,787033453660,763044840695,,,,626282771618,562788917742
4,영업이익,영업이익,990089397088,877355813196,731559148609,,,,505628873770,558005546351
5,기타수익,기타수익,24579015353,29243729251,41215803934,,,,24147862416,25172376097
6,기타비용,기타비용,45534792473,28111462915,37251002915,,,,49776215185,43216790976
7,금융수익,금융수익,137552006802,135575773191,90197224346,,,,54421220637,36404916407
8,금융수익,이자수익,81374359497,66358435182,42723967343,,,,,
9,금융수익,외환차익,49056786862,57595346881,37722405811,,,,,
10,금융수익,외화환산이익,7120860443,11621991128,9750851192,,,,,
11,금융비용,금융비용,73480745641,60559477429,76086747335,,,,46535752060,28005319808
12,금융비용,이자비용,15072706828,1667001406,1900956600,,,,,
13,금융비용,외환차손,44155961130,51578624582,41616916543,,,,,
14,금융비용,외화환산손실,14252077683,7313851441,32568874192,,,,,
15,지분법관련손익,지분법관련손익,3082888331,3026371038,2461278648,,,,9104155128,4596317552
16,법인세비용차감전순이익,법인세비용차감전순이익,1036287769460,956530746332,752095705287,,,,496990144706,552957045623
17,법인세비용,법인세비용,285838812082,317738487919,210323428014,,,,171007639767,145791606761
18,계속영업이익,계속영업이익,750448957378,638792258413,541772277273,,,,,
19,당기순이익,당기순이익,750448957378,638792258413,541772277273,,,,325982504939,407165438862
20,당기순이익의 귀속,지배기업소유지분,736457958716,629399570767,530347610989,,,,,
21,당기순이익의 귀속,비지배지분,13990998662,9392687646,11424666284,,,,13610440161,11360496220
22,주당이익 [abstract],보통주 기본주당이익,9521,8137,6856,,,,,
23,주당이익 [abstract],보통주 희석주당이익,9521,8137,6856,,,,,
