,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,당기순이익(손실),당기순이익(손실),295580645070,70196435473,-52146427413,9425075598,-1304348694059,56353493772,-708658932989,524464528023
1,기타포괄손익,기타포괄손익,-26457567332,-35162379287,60607677109,-45800099472,38069615285,-8636885502,36363021533,-25276716279
2,기타포괄손익,당기손익으로 재분류되지 않는 항목,-25275015856,-14736941920,-4507120297,4336680212,79639321834,15280218793,27790577508,-20784541678
3,기타포괄손익,순확정급여부채 재측정요소,-33260836469,-21479288054,-5946068993,5721214000,1673677415,20158599991,36663031013,-27420239681
4,기타포괄손익,기타포괄손익-공정가치 측정 금융자산 평가,63957536,1971446286,,,,,,
5,기타포괄손익,기타포괄손익관련 법인세효과,7921863077,4770899848,1438948696,-1384533788,-25425746548,-4878381198,-8872453505,6635698003
6,기타포괄손익,당기손익으로 재분류될 수 있는 항목,-1182551476,-20425437367,65114797406,-50136779684,-41569706549,-23917104295,8572444025,-4492174601
7,기타포괄손익,매도가능금융자산평가,,,-353159667,-3441194328,53240001,23712612963,-36341593900,6533629891
8,기타포괄손익,파생상품평가,6762126375,-32202093095,34637610252,4260796297,-9655344346,-11819160192,-1791414829,12573295373
9,기타포괄손익,해외사업환산손익,-1097856861,-2705080277,41768284079,-53835414568,-37602075615,-25205673102,27999120428,-8568581707
10,기타포괄손익,관계기업 지분법평가,-7198116069,6688829476,-2641100217,3077376592,3288707309,-7701805189,9493293784,-11867167735
11,기타포괄손익,기타포괄손익관련 법인세효과,351295079,7792906529,-8296837041,-198343677,2345766102,-2903078775,9213038542,-3163350423
12,총포괄손익,총포괄손익,269123077738,35034056186,8461249696,-36375023874,-1266279078774,47716608270,-672295911456,499187811744
13,연결총포괄손익의 귀속,지배기업 소유주지분,266343345335,34723373142,15256803369,-20063006377,-1267186586245,46386539856,-670870532539,501403868395
14,연결총포괄손익의 귀속,비지배지분,2779732403,310683044,-6795553673,-16312017497,907507471,1330068414,-1425378917,-2216056651
