,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,3507524565226,3525293145703,2478798088379,2812408878493,2729971297487,3553986684611,2650765404781,2631234653424
1,유동자산,현금및현금성자산,803810427528,1002374471773,444609329777,795810686641,1035257116636,688025403172,738482641045,683529614355
2,유동자산,기타금융자산,56203252379,243542157639,123482249407,312665553792,94010836567,793692224022,33727492614,26154638461
3,유동자산,매출채권및기타채권,1095676584666,1060910372005,912897439592,781698700854,821191280044,965492249003,861415706146,1024431671514
4,유동자산,단기대여금,489790837,546593519,234828973,276685872,651985288,687047791,761861628,6501103186
5,유동자산,선급금,3846856838,35844500364,6270546824,13798691635,23014673510,4710897215,18288571166,7146145867
6,유동자산,선급비용,44692658987,36396555152,35754069726,32903398664,33629190019,59849019150,35555757457,24388159282
7,유동자산,당기법인세자산,20584030122,19206307573,36656270634,48096380444,39230822577,29247489779,74474195045,21117970828
8,유동자산,재고자산,1271273631462,1115565877099,918893353446,827158780591,678980295110,841199605014,888059179680,837965349931
9,유동자산,반환제품회수권,14246213025,10906310579,,,,,,
10,유동자산,매각예정자산,196701119382,,,,4005097736,171082749465,,
11,비유동자산,비유동자산,5166723664717,5119621060126,5288605454669,4850220381369,4539481565715,4164625300504,4534577572799,4260229697716
12,비유동자산,관계기업투자,68259879909,60213757585,53284973129,47343491237,44259737103,38487648978,37121422156,33976267981
13,비유동자산,공정가치측정금융상품,173348301305,150889138429,725530836477,745311370145,799622634398,939841903598,1225713524012,1332631134862
14,비유동자산,장기대여금,2333652185,2197986394,2227119045,2420927040,1821427533,1771372627,1460723178,1280011518
15,비유동자산,유형자산,4514510148372,4558010182821,4154682907789,3714441304500,3298412243924,2925856975134,2949835002770,2586182957464
16,비유동자산,무형자산,141150901464,162460608115,149487113350,92185950459,91179994348,103873724533,224734577246,245423735080
17,비유동자산,기타금융자산,14932284711,36789814260,42144771902,52823526435,63407114801,66155700116,50048237276,39571944058
18,비유동자산,장기매출채권및기타채권,5046027000,29375843577,39388966877,67466009592,144877466511,,,
19,비유동자산,장기선급금및선급비용,24565588540,38799612190,38908099610,44239902776,47393251331,35886221939,26713878546,7710643666
20,비유동자산,사용권자산,78741834202,,,,,,,
21,비유동자산,이연법인세자산,143835047029,80884116755,82950666490,68640275557,48507695766,52751753579,18950207615,13453003087
22,자산 총계,자산 총계,8674248229943,8644914205829,7767403543048,7662629259862,7269452863202,7718611985115,7185342977580,6891464351140
23,유동부채,유동부채,1850405466232,2509584012607,2454109697101,2043155149815,1768254033682,2151001955898,1787431593746,1959072275526
24,유동부채,매입채무및기타채무,891582052075,891417868679,728590026558,831636663006,705158745629,817998947405,817994449354,917796402853
25,유동부채,단기차입금,569189647980,961955861424,1203792484010,842296257807,691132241023,671079854044,806216624701,801324032235
26,유동부채,선수금,18178518968,7247601229,13678164173,8495728477,5652150240,13563884124,5462494691,4311911214
27,유동부채,기타금융부채,27808494223,35569932235,23533985774,18519443831,16275369066,36960061461,45507178158,7216743316
28,유동부채,당기법인세부채,103820681984,156011756482,3479589499,4772691318,8678731378,159925609102,16638583497,81860488210
29,유동부채,유동성장기차입금,173835740000,432049753433,467529000000,323626684800,333837460755,445356293568,90592004683,140265466048
30,유동부채,선수수익,5503964510,5027369701,7812409821,8929296971,201109796,130319000,78410135,2088557462
31,유동부채,충당부채,4984208121,3408156425,5694037266,4878383605,7318225795,5986987194,4941848527,4208674188
32,유동부채,유동성리스부채,17096171856,,,,,,,
33,유동부채,환불부채,19531120647,16895712999,,,,,,
34,유동부채,매각예정자산관련부채,18874865868,,,,,,,
35,비유동부채,비유동부채,1393745878203,1188832636963,981802459617,1281888811615,1185815611607,924813949065,1139883944868,966744040367
36,비유동부채,장기차입금,1219727736182,1060133398202,897616232181,1277706471534,1016625800137,596680786013,709079146110,579479067896
37,비유동부채,장기기타채무,91209212197,86081670197,58283364943,1503709915,10938700268,7167537077,7778882479,21963663353
38,비유동부채,장기선수수익,11075315451,15306671215,11153131310,,,,,
39,비유동부채,순확정급여부채,38962230341,26141991061,13511148911,,144597713413,134343237914,233152946297,183614304630
40,비유동부채,장기리스부채,31575051752,,,,,,,
41,비유동부채,이연법인세부채,1196332280,1168906288,1238582272,2678630166,13653397789,186622388061,189872969982,181687004488
42,부채 총계,부채 총계,3244151344435,3698416649570,3435912156718,3325043961430,2954069645289,3075815904963,2927315538614,2925816315893
43,지배기업 소유주지분,지배기업 소유주지분,5285046660657,4821047660325,4231643216155,4240117939798,4222114534320,4553406263627,4174061526335,3894395703143
44,지배기업 소유주지분,자본금,388003400000,388003400000,388003400000,388003400000,388003400000,388003400000,388003400000,388003400000
45,지배기업 소유주지분,자본잉여금,1045201199091,1045201199091,1045201199091,1045201199091,1045201199091,1045201199091,1045417699005,1045203870941
46,지배기업 소유주지분,기타자본,-146701455500,-146701455500,-146701455500,-146701455500,-146701455500,-969755640,-1633914346,-1839888396
47,지배기업 소유주지분,기타포괄손익누계액,425665287555,355200814069,335297333286,419861212787,490069961984,616548291638,622898972191,598370258253
48,지배기업 소유주지분,적립금,2158965257472,1952365257472,2225865257472,2215365257472,2148465257472,1811225257472,1622395257472,1249395257472
49,지배기업 소유주지분,이익잉여금,1413912972039,1226978445193,383977481806,318388325948,297076171273,693397871066,496980112013,615262804873
50,비지배지분,비지배지분,145050224851,125449895934,99848170175,97467358634,93268683593,89389816525,83965912631,71252332104
51,자본 총계,자본 총계,5430096885508,4946497556259,4331491386330,4337585298432,4315383217913,4642796080152,4258027438966,3965648035247
52,,부채 및 자본의 총계,8674248229943,8644914205829,7767403543048,7662629259862,7269452863202,7718611985115,7185342977580,6891464351140
