,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,영업활동현금흐름,영업활동현금흐름,,,,,,,,
1,영업활동현금흐름,영업활동에서 창출된 현금,1285068685680,1640496362856,775766668252,702285900446,804597162924,398640644484,1065090686196,
2,영업활동현금흐름,이자의 수취,21135699942,11661145446,10092168186,14768972900,14949428849,9575826429,11962058238,15814442785
3,영업활동현금흐름,법인세의 납부,284934155494,93488267315,68175232386,-37411114105,-282429272210,-35573037624,-172582686446,-106999333181
4,영업활동순현금흐름 합계,영업활동순현금흐름 합계,1021270230128,1558669240987,717683604052,679643759241,537117319563,372643433289,904470057988,1119364059428
5,투자활동현금흐름,투자활동현금흐름,,,,,,,,
6,투자활동현금흐름,기타금융자산의 감소,220527891723,97469134564,292195506580,88528214569,777728823910,16506620381,14663130139,46013440750
7,투자활동현금흐름,기타금융자산의 증가,12875944485,212063539976,94620093618,-297508736497,-74564660419,-791983312955,-32197953306,-23199109981
8,투자활동현금흐름,공정가치측정지분상품의 처분,10919488304,605759865545,,,,,,
9,투자활동현금흐름,공정가치측정지분상품의 취득,-1109772000,-27634521850,,,,,,
10,투자활동현금흐름,매도가능금융자산의 처분,,,19642610516,5005097734,55998722560,1261831448757,158073298300,342108096062
11,투자활동현금흐름,매도가능금융자산의 취득,,,2757206040,-31058025936,-3019410000,,-4392800000,-59091411904
12,투자활동현금흐름,유형자산의 처분,36227293252,31547046319,91594265409,67837985416,185763404651,14990234505,20492798259,49871134746
13,투자활동현금흐름,유형자산의 취득,1547971686748,1195189266500,1476318325155,-1051853037876,-1196229279233,-859883961800,-961414776534,-906771895016
14,투자활동현금흐름,무형자산의 처분,15502733255,1908498380,663753254,34933613724,31640453635,1373671034,747308275,1830010000
15,투자활동현금흐름,무형자산의 취득,25950644840,12548914843,67818379986,-7169821989,-9345919246,-20944190900,-22757883422,-10939083397
16,투자활동현금흐름,배당금의 수취,2687533400,12661738200,5140963400,4943181500,7853970510,5915491800,9381190950,9953718350
17,투자활동현금흐름,중단영업 매각,785000000000,,,,,,,
18,투자활동순현금흐름 합계,투자활동순현금흐름 합계,-517043108139,-698089960161,-1232276905640,-1186341529355,-221175132474,-372193999178,-814863277925,-701646570026
19,재무활동현금흐름,재무활동현금흐름,,,,,,,,
20,재무활동현금흐름,단기차입금의 차입,147300644083,355811233383,520596730880,259910030743,190978881264,92096726986,281759224744,543257253115
21,재무활동현금흐름,단기차입금의 상환,429314170175,534360947257,104630832655,-121468225893,-175572804864,-239447413102,-212081701277,-593797069875
22,재무활동현금흐름,유동성장기차입금의 상환,-362490729281,-351337600000,-350758602000,-180271019557,-458475734887,-90642757258,-132184680000,-321518423498
23,재무활동현금흐름,장기차입금의 차입,553257197006,484187346776,275079559220,438412654227,722899526350,344410254975,300752262882,386377008707
24,재무활동현금흐름,장기차입금의 상환,329569783949,40429584000,30522000632,-27807998457,,-31196460210,-75737330966,-191377254330
25,재무활동현금흐름,리스부채의 지급,33506787317,,,,,,,
26,재무활동현금흐름,연결실체의 변동,-139384058,-1166792,-101883208,,,,,
27,재무활동현금흐름,이자의 지급,89095645944,89188397902,65707638170,-48448555987,-40868222467,-39161696231,-43764331959,-61524192235
28,재무활동현금흐름,배당금의 지급,75983779483,60513599007,47877329236,-41009848407,-62971452329,-58296275760,-79082437060,-58246005860
29,재무활동순현금흐름 합계,재무활동순현금흐름 합계,-619542439118,-235832714799,196078004199,281298061440,30258493207,-21835570600,40947038023,-293534583976
30,현금및현금성자산의 증감,현금및현금성자산의 증감,-115315317129,624746566027,-318515297389,-225399708674,346200680296,-21386136489,130553818086,124182905426
31,외화환산으로 인한 현금의 변동,외화환산으로 인한 현금의 변동,-31570364266,-66981424031,-32686059475,-14046721321,1031033168,-29071101384,-75600791396,-50943117669
32,기초 현금및현금성자산,기초 현금및현금성자산,1002374471773,444609329777,795810686641,1035257116636,688025403172,738482641045,683529614355,525902243565
33,기말 현금및현금성자산,기말 현금및현금성자산,855488790378,1002374471773,444609329777,795810686641,1035257116636,688025403172,738482641045,683529614355
