,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,당기순이익(손실),당기순이익(손실),21738865000000,44344857000000,42186747000000,22726092000000,19060144000000,23394358000000,30474764000000,23845285000000
1,기타포괄손익,기타포괄손익,3016194000000,-12242000000,-5502257000000,1991400000000,76071000000,-1993414000000,-1006838000000,-1717080000000
2,기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 포괄손익,-50765000000,-656647000000,407900000000,1014040000000,288047000000,-710318000000,-213113000000,-504120000000
3,기타포괄손익,기타포괄손익-공정가치금융자산평가손익,1146599000000,-235865000000,,,,,,
4,기타포괄손익,관계기업 및 공동기업의 기타포괄손익에 대한 지분,-16896000000,-10631000000,-6347000000,50438000000,24069000000,-128932000000,20756000000,-350491000000
5,기타포괄손익,순확정급여부채 재측정요소,-1180468000000,-410151000000,414247000000,963602000000,263978000000,-710318000000,-213113000000,-504120000000
6,기타포괄손익,후속적으로 당기손익으로 재분류되는 포괄손익,3066959000000,644405000000,-5910157000000,977360000000,-211976000000,-1283096000000,-793725000000,-1212960000000
7,기타포괄손익,매도가능금융자산평가손익,,,511207000000,-23839000000,-414961000000,-232105000000,186480000000,962184000000
8,기타포괄손익,관계기업 및 공동기업의 기타포괄손익에 대한 지분,48649000000,6688000000,-49256000000,-130337000000,-65330000000,-128932000000,20756000000,-350491000000
9,기타포괄손익,해외사업장환산외환차이,3016499000000,590638000000,-6334987000000,1131536000000,268315000000,-922059000000,-1000961000000,-1824653000000
10,기타포괄손익,현금흐름위험회피파생상품평가손익,1811000000,47079000000,-37121000000,,,,,
11,총포괄손익,총포괄손익,24755059000000,44332615000000,36684490000000,24717492000000,19136215000000,21400944000000,29467926000000,22128205000000
12,포괄손익의 귀속,지배기업 소유주지분,24466985000000,43882473000000,35887505000000,24310814000000,18804189000000,20990732000000,28837590000000,21499343000000
13,포괄손익의 귀속,비지배지분,288074000000,450142000000,796985000000,406678000000,332026000000,410212000000,630336000000,628862000000
