,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,매출액,매출액,7349656035614,5265119547241,7901235154581,10414188640168,9714441843944,12879061898890,14834500941591,14489473629478
1,매출원가,매출원가,7288385519778,5269265689491,8051664380501,9939108513682,10676057968401,12116358002949,13037656340051,12554345285475
2,매출총이익,매출총이익,61270515836,-4146142250,-150429225920,475080126486,-961616124457,762703895941,1796844601540,1935128344003
3,판매비와관리비,판매비와관리비,677856039114,405105987419,373734567689,622279642054,540289374247,579683917058,882630316282,729471513511
4,영업이익(손실),영업이익(손실),-616585523278,-409252129669,-524163793609,-147199515568,-1501905498704,183019978883,914214285258,1205656830492
5,기타수익,기타수익,1602041831562,951245710476,2024546275726,1690319949169,2677989720350,2631044863947,3342827938387,4221835849295
6,기타비용,기타비용,1987618364098,925080304624,2007012873290,1514442302612,2627069553392,2536611498356,3179171681026,4418558382292
7,금융수익,금융수익,301271131557,192591693022,251515105940,227123455160,267148607842,258710431473,482518523562,312148482270
8,금융원가,금융원가,438355014030,307008521899,208536281221,324347280634,277323179890,345709070486,741410272296,275692989567
9,관계기업 및 공동기업에 대한 지분법 손실,관계기업 및 공동기업에 대한 지분법 손실,,94931531,247683140,-395296070,-650814305,-700265151,304042855,-348611702
10,법인세비용차감전순이익(손실),법인세비용차감전순이익(손실),-1139245938287,-497598484225,-463899249594,-68940990555,-1461810718099,189754440310,819282836740,1045041178496
11,법인세비용(수익),법인세비용(수익),176107208897,-109409615527,-123150952327,69835915882,-249700704752,42434231465,187077379750,248652840345
12,당기순손실,당기순손실,-1315353147184,-388188868698,-340748297267,-138776906437,-1212110013347,147320208845,632205456990,796388338151
13,당기순손실의 귀속,지배기업 소유주지분,-1310842273221,-387850718584,-338779135373,-121231328119,-1205414369599,149224549432,632204495412,796396684256
14,당기순손실의 귀속,비지배지분,-4510873963,-338150114,-1969161894,-17545578318,-6695643748,-1904340587,961578,-8346105
15,지배기업 소유주지분에 대한 주당이익,기본주당이익(손실),,,,,,693,2914,3673
16,지배기업 소유주지분에 대한 주당이익,보통주기본주당기순이익(손실),-2170,-729,-930,-485,-5879,693,2913,3670
17,지배기업 소유주지분에 대한 주당이익,우선주기본주당기순이익(손실),-2170,-642,-930,-333,-5879,693,2913,3670
18,지배기업 소유주지분에 대한 주당이익,희석주당이익(손실),,,,,,693,2913,3670
19,지배기업 소유주지분에 대한 주당이익,보통주희석주당기순이익(손실),-2170,-729,-930,-485,-5879,,,
20,지배기업 소유주지분에 대한 주당이익,우선주희석주당기순이익(손실),-2170,-642,-930,-333,-5879,,,
