,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,,,,,,,,,,
1,,"8,9",649325291414,1280453505269,1092639976242,948230653000,681761957377,677398510395,509539393365,556514164919
2,,"7,8,10",842271334767,534701556286,564695662907,500059911664,454034927381,341166247942,901113136993,877809019226
3,,"6,7,8,11,12",12670600296549,12271247761814,12483259272949,12284516116574,10771967554513,10173765229022,9037194664337,8962529928653
4,,"6,7,8,11,13",5802883554166,5598915967854,5348380236793,4975963697581,4672756342420,4298021627330,3900062611175,3939195152435
5,,"6,7,8,11,14",738944424430,1751541114030,1661241746025,1010922725147,303993864082,219212961318,345546645799,485916346261
6,,"6,7,8,11,15",235085432766,372625861873,559237525560,792447820027,989554217098,1115981803426,1003233246277,768037636037
7,,16,496451707419,640071404319,703278237799,579813735811,486351082214,308226370041,202478876750,128608951943
8,,17,28735612016,44722813741,59931117264,72946480606,90075073391,81260653429,50631568995,58730968590
9,,18,112266835291,164362900328,207677599092,235133346216,254141915765,211217591024,148200932126,113828894264
10,,"19,43",42323317048,,,,,,,
11,,"7,8,21",25509910250,6647966613,29924199088,167485258769,94910988102,28429632313,3034773219,113782070
12,,,41145613576,21347448702,,7536126548,24979367820,39343851295,,
13,,28,7846475789,,,,,,,
14,,"7,8,11,20",230609905607,224109391259,247563921273,197771553698,180929487765,179435245525,196439996766,209486461554
15,,,114224277856,131371129038,118741610435,131631120064,65540130953,63167021285,63450413896,87044495798
16,,,22038223988944,23042118821126,23076571105427,21904458545705,19070996908881,17736626744345,16560926259698,16287815801750
17,,,,,,,,,,
18,,"7,8,23",1020000000000,1390000000000,1090000000000,1030000000000,50000000000,140000000000,367765000000,1187813633022
19,,"7,8,24,30",11699471354793,12509419666744,11824915180943,10776124606672,9775361061471,8955731184282,7662016481862,7139667150752
20,,25,149361745332,139128209389,127658022575,133730170049,130615875519,119725973592,119543094301,113158281667
21,,26,205106512688,215929476699,137129377141,143010465419,120558574231,73117416636,60358767561,56451346628
22,,"7,8,27,43",42065547742,,,,,,,
23,,28,,14382110459,17579459534,26027956926,46638394566,37690446777,53108549098,48588199995
24,,"7,8,21",101476131304,125775408605,109886414385,5152284083,10845532505,27951480258,87942130135,118153852564
25,,,74050403915,62499913019,63838638141,58050077225,56792800756,166023005980,50644885971,27342807108
26,,"7,8,29",1610570120460,1616077782074,2594838568641,2973344205741,1969732416051,1641161221126,1735054815309,1429712039758
27,,,239675697278,197613792205,158372228448,143347612783,222126870577,184879847820,134969058915,151946849247
28,,,15141777513512,16270826359194,16153627764500,15288787378898,12382671525676,11346280576471,10358265413914,10357253237325
29,,,,,,,,,,
30,,,,,,,,,,
31,,31,614794455000,614794455000,614794455000,614794455000,614794455000,614794455000,614794455000,614794455000
32,,31,1537968436223,1537968436223,1642961708983,1642961708983,1935649016343,1935649016343,1935649016343,1940155046934
33,,32,200466097800,237839865571,330747208184,249532159182,211634025665,124967640282,504739431203,431506105018
34,,33,4543217486409,4380689705138,4334439968760,4108382843642,3926247886197,3714935056249,3147477943238,2944106957473
35,,,,,,,,,,
36,,,6896446475432,6771292461932,6922943340927,6615671166807,6688325383205,6390346167874,6202660845784,5930562564425
37,,,22038223988944,23042118821126,23076571105427,21904458545705,19070996908881,17736626744345,16560926259698,16287815801750
