,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,1259478000000,1057235000000,1132120000000,1149652000000,1028852000000,1122155000000,997631000000,1166655000000
1,유동자산,현금및현금성자산,162254000000,103290000000,98520000000,237885000000,147568000000,195281000000,151347000000,175588000000
2,유동자산,매출채권 및 기타채권,282123000000,287529000000,284791000000,262052000000,245998000000,206964000000,214798000000,231460000000
3,유동자산,매도가능금융자산,0,0,87000000,39000000,27000000,28000000,28000000,9000000
4,유동자산,기타포괄손익-공정가치금융자산,0,149000000,0,,,,,
5,유동자산,기타유동금융자산,482961000000,312550000000,451547000000,371390000000,363733000000,414582000000,350261000000,404287000000
6,유동자산,재고자산,306755000000,337673000000,283616000000,265592000000,256848000000,280713000000,262460000000,327146000000
7,유동자산,당기법인세자산,4671000000,168000000,83000000,,,,,
8,유동자산,기타유동자산,20714000000,15876000000,13476000000,12612000000,14651000000,24517000000,18617000000,27677000000
9,비유동자산,비유동자산,2330036000000,2256562000000,2143840000000,2019793000000,2042570000000,1673785000000,1597436000000,1581743000000
10,비유동자산,유형자산,1408101000000,1323134000000,1212576000000,1155796000000,1173125000000,964599000000,956235000000,937648000000
11,비유동자산,영업권,204216000000,204242000000,208547000000,172605000000,167744000000,3154000000,3154000000,3154000000
12,비유동자산,기타무형자산,71197000000,74967000000,79317000000,60109000000,63222000000,45765000000,47323000000,50525000000
13,비유동자산,투자부동산,100542000000,101488000000,118591000000,119353000000,118335000000,105050000000,96924000000,115118000000
14,비유동자산,관계기업및공동기업주식,284966000000,268563000000,266103000000,262646000000,265029000000,275055000000,283385000000,303744000000
15,비유동자산,장기기타채권,17768000000,23461000000,22431000000,22666000000,25863000000,46902000000,23705000000,13324000000
16,비유동자산,매도가능금융자산,0,0,231161000000,39000000,27000000,28000000,28000000,9000000
17,비유동자산,당기손익-공정가치금융자산,5102000000,5519000000,0,,,,,
18,비유동자산,기타포괄손익-공정가치금융자산,233769000000,248670000000,0,,,,,
19,비유동자산,기타비유동금융자산,651000000,30000000,62000000,35000000,40000000,39000000,47000000,53000000
20,비유동자산,이연법인세자산,2611000000,3194000000,4091000000,814000000,2500000000,1109000000,1447000000,4077000000
21,비유동자산,기타비유동자산,1113000000,3294000000,961000000,1169000000,1889000000,3656000000,4173000000,3094000000
22,자산총계,자산총계,3589514000000,3313797000000,3275960000000,3169445000000,3071422000000,2795940000000,2595067000000,2748398000000
23,유동부채,유동부채,527131000000,656497000000,543840000000,736638000000,573461000000,677342000000,620993000000,714908000000
24,유동부채,매입채무 및 기타채무,289601000000,296246000000,278337000000,295031000000,221818000000,206594000000,214719000000,217332000000
25,유동부채,단기차입금,121051000000,101156000000,145450000000,256859000000,243537000000,329668000000,295198000000,426892000000
26,유동부채,유동성장기차입금,22951000000,35074000000,37247000000,22294000000,20832000000,6328000000,2730000000,8000000
27,유동부채,유동성사채,0,139936000000,0,59964000000,,50000000000,50000000000,
28,유동부채,기타유동금융부채,10670000000,519000000,3753000000,368000000,740000000,707000000,1961000000,4004000000
29,유동부채,당기법인세부채,7224000000,13449000000,12618000000,,,,,
30,유동부채,기타유동부채,75634000000,70117000000,66435000000,76008000000,67858000000,67017000000,46761000000,52319000000
31,비유동부채,비유동부채,1032876000000,655358000000,792332000000,582175000000,701598000000,464208000000,315865000000,370535000000
32,비유동부채,장기기타채무,8837000000,9217000000,10796000000,10298000000,11254000000,5878000000,6004000000,6482000000
33,비유동부채,장기차입금,168522000000,156096000000,197028000000,202582000000,343287000000,104483000000,111289000000,112603000000
34,비유동부채,사채,698456000000,344149000000,438898000000,239292000000,199506000000,199327000000,50000000000,100000000000
35,비유동부채,기타비유동금융부채,17900000000,1967000000,2188000000,2125000000,2298000000,2461000000,2615000000,2759000000
36,비유동부채,퇴직급여부채,17959000000,26732000000,24954000000,24765000000,39790000000,39862000000,34120000000,34932000000
37,비유동부채,이연법인세부채,115325000000,112472000000,114873000000,99365000000,104441000000,111860000000,110818000000,113345000000
38,비유동부채,기타비유동부채,5877000000,4725000000,3595000000,3748000000,1022000000,337000000,1019000000,414000000
39,부채총계,부채총계,1560007000000,1311855000000,1336172000000,1318813000000,1275059000000,1141550000000,936858000000,1085443000000
40,지배기업의 소유주지분,지배기업의 소유주지분,1419633000000,1411636000000,1373532000000,1352649000000,,1315085000000,1293633000000,1216344000000
41,지배기업의 소유주지분,자본금,44342000000,44342000000,44342000000,44342000000,44342000000,44342000000,42373000000,39637000000
42,지배기업의 소유주지분,자본잉여금,379702000000,380362000000,377816000000,377816000000,385405000000,384576000000,355856000000,269344000000
43,지배기업의 소유주지분,기타포괄손익누계액,22267000000,27698000000,41935000000,41977000000,38387000000,44082000000,35285000000,3853000000
44,지배기업의 소유주지분,이익잉여금,984852000000,970789000000,920909000000,899983000000,886332000000,853781000000,871020000000,914017000000
45,지배기업의 소유주지분,기타자본항목,-11530000000,-11555000000,-11470000000,-11469000000,-12392000000,-11696000000,-10901000000,-10507000000
46,비지배지분,비지배지분,609874000000,590306000000,566256000000,497983000000,454289000000,339305000000,364576000000,446611000000
47,자본총계,자본총계,2029507000000,2001942000000,1939788000000,1850632000000,1796363000000,1654390000000,1658209000000,1662955000000
48,,자본과부채총계,3589514000000,3313797000000,3275960000000,3169445000000,3071422000000,,2595067000000,2748398000000
