,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,매출액,매출액,2488563000000,2563476000000,2396290000000,2311465000000,2169650000000,2213367000000,2329145000000,1864066000000
1,매출원가,매출원가,2025132000000,2081370000000,1974916000000,1859911000000,1763178000000,1864278000000,2025952000000,1624814000000
2,매출총이익,매출총이익,463431000000,482106000000,421374000000,451554000000,406472000000,349089000000,303193000000,239252000000
3,판매비,판매비,299691000000,260345000000,245675000000,238565000000,221951000000,219814000000,230029000000,165282000000
4,관리비,관리비,84364000000,83303000000,76871000000,71976000000,77797000000,65493000000,70692000000,54092000000
5,영업이익,영업이익,79376000000,138458000000,98828000000,141013000000,106724000000,63782000000,2472000000,19878000000
6,금융수익,금융수익,24250000000,20598000000,15405000000,23516000000,27130000000,40717000000,26583000000,22261000000
7,금융비용,금융비용,35704000000,29799000000,43009000000,35947000000,31346000000,25253000000,35895000000,26669000000
8,지분법관련손익,지분법관련손익,16274000000,8624000000,8045000000,3173000000,-9253000000,-19472000000,-15401000000,34021000000
9,기타영업외수익,기타영업외수익,31960000000,34512000000,58876000000,54045000000,63736000000,34004000000,54990000000,49979000000
10,기타영업외비용,기타영업외비용,35134000000,43083000000,48787000000,83119000000,52089000000,47432000000,42838000000,30793000000
11,법인세비용차감전순이익,법인세비용차감전순이익,81022000000,129310000000,89358000000,102681000000,104902000000,46346000000,-10089000000,149254000000
12,법인세비용,법인세비용,18978000000,26798000000,22172000000,37543000000,26886000000,25342000000,16119000000,19509000000
13,당기순이익,당기순이익,62044000000,102512000000,67186000000,65138000000,78016000000,21004000000,-26208000000,129745000000
14,기타포괄손익,기타포괄손익,-8482000000,-27228000000,-372000000,1713000000,-8230000000,-4606000000,32405000000,-12782000000
15,기타포괄손익,후속적으로 당기손익으로 재분류 되지 않는 항목,-9841000000,-27502000000,-1464000000,2785000000,,-11847000000,776000000,-11700000000
16,기타포괄손익,지분법자본변동,0,-406000000,0,-490000000,41000000,895000000,12000000,-813000000
17,기타포괄손익,확정급여제도의 재측정요소,-3721000000,-10392000000,-1345000000,2734000000,-1214000000,-9768000000,995000000,-9727000000
18,기타포괄손익,지분법이익잉여금변동,-460000000,-1308000000,-119000000,51000000,-266000000,-2974000000,-219000000,-1973000000
19,기타포괄손익,기타포괄손익-공정가치금융자산평가손익,-5660000000,-15396000000,0,,,,,
20,기타포괄손익,후속적으로 당기손익으로 재분류 되는 항목,1359000000,274000000,1092000000,-1072000000,,7241000000,31629000000,-1082000000
21,기타포괄손익,지분법자본변동,-173000000,364000000,-700000000,-490000000,41000000,895000000,12000000,-813000000
22,기타포괄손익,매도가능금융자산평가손익,0,0,-2708000000,-118000000,-7312000000,7384000000,31980000000,1651000000
23,기타포괄손익,기타포괄손익-공정가치금융자산 평가손익,-25000000,-5000000,0,,,,,
24,기타포괄손익,해외사업환산손익,-1557000000,85000000,916000000,-464000000,521000000,-353000000,-363000000,-1920000000
25,총포괄손익,총포괄손익,53562000000,75284000000,66814000000,66851000000,69786000000,16398000000,6197000000,116963000000
26,당기순이익(손실)의 귀속 [abstract],지배기업소유주지분,30873000000,69974000000,37675000000,22611000000,46485000000,2518000000,-32649000000,115593000000
27,당기순이익(손실)의 귀속 [abstract],비지배지분,31171000000,32538000000,29511000000,42527000000,31531000000,18486000000,6441000000,14152000000
28,총 포괄손익의 귀속 [abstract],지배기업소유주지분,24121000000,51121000000,36362000000,22611000000,38469000000,2518000000,-32649000000,115593000000
29,총 포괄손익의 귀속 [abstract],비지배지분,29441000000,24163000000,30452000000,42527000000,31317000000,18486000000,6441000000,14152000000
30,주당이익 [abstract],기본주당이익(손실),3987,9043,4871,2923,,,,
31,주당이익 [abstract],희석주당이익(손실),4037,9093,4921,2973,,,,
