,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,892044780438,788611587198,712185369748,709733715734,693124957572,670931516236,,
1,유동자산,현금및현금성자산,105260051845,141947816862,101016484936,68904936885,145161639534,90215397050,,
2,유동자산,단기금융상품,203120000000,156809700000,121152300000,215032146050,173532146050,251394581950,,
3,유동자산,기타유동금융자산,136609126071,107511835971,84859038054,,,,,
4,유동자산,매출채권 및 기타유동채권,221134507668,229588338037,232690157723,,,,,
5,유동자산,재고자산,197284267489,138704861302,155790842042,123788199554,118243095632,117389152887,,
6,유동자산,기타유동자산,28636827365,14049035026,16676546993,18150364521,12105192910,14488150386,,
7,비유동자산,비유동자산,618644052065,479318841343,433167512479,376746718496,308259935632,256794396093,,
8,비유동자산,장기금융상품,25651212179,10003500000,10003500000,10003500000,4500000,5073126,,
9,비유동자산,기타비유동금융자산,66063398909,81742761246,44341900947,,,,,
10,비유동자산,지분법적용 투자지분,49371784265,46950076489,31310354300,,,,,
11,비유동자산,유형자산,265716531465,260246894805,263206511842,301436135391,256840280919,212992647945,,
12,비유동자산,사용권자산,10180894537,0,0,,,,,
13,비유동자산,투자부동산,162578070351,67622346853,67876782355,15856599222,15977342115,18377264008,,
14,비유동자산,영업권,12162245378,0,0,,,,,
15,비유동자산,영업권 이외의 무형자산,7607079353,6205704220,5835508308,6398068900,6851783841,3503823200,,
16,비유동자산,기타비유동자산,19312835628,6547557730,10592954727,8026709935,2791007933,3299609260,,
17,자산총계,자산총계,1510688832503,1267930428541,1145352882227,1086480434230,1001384893204,927725912329,,
18,유동부채,유동부채,428158049112,275029440092,244180499392,247652570548,218372463374,214309024392,,
19,유동부채,매입채무 및 기타유동채무,110948592504,108936959871,107315784967,,,,,
20,유동부채,단기차입금,175230131217,135026615533,111469621443,131132700916,107841454528,100935256010,,
21,유동부채,유동성장기차입금,540340000,641200000,641200000,3344635200,324400000,134030700,,
22,유동부채,유동리스부채,2349537733,0,0,,,,,
23,유동부채,당기법인세부채,17118158614,20387555092,14604858209,11027447475,16366565072,10768679224,,
24,유동부채,기타유동금융부채,112225510078,0,0,,,,,
25,유동부채,유동충당부채,2529095208,962407812,1214370683,1258196251,934762577,450727201,,
26,유동부채,기타유동부채,7216683758,9074701784,8934664090,5857108880,4252443144,8850916469,,
27,비유동부채,비유동부채,27841182054,10467850607,11009092301,12318112809,14942901933,14414190053,,
28,비유동부채,장기매입채무 및 기타비유동채무,9113029699,3135607426,3313031650,3652480870,4002225212,4471444790,,
29,비유동부채,장기차입금,4604930000,1230700000,1871900000,2513100000,5004247000,351020700,,
30,비유동부채,비유동리스부채,7891997556,0,0,,,,,
31,비유동부채,기타비유동금융부채,45217960,0,0,,,,,
32,비유동부채,퇴직급여부채,0,246659916,0,,,,,
33,비유동부채,이연법인세부채,5874344479,5520774191,5568693020,6032485628,4783457790,5816269374,,
34,비유동부채,기타비유동부채,311662360,334109074,255467631,120046311,461667983,674099829,,
35,부채총계,부채총계,455999231166,285497290699,255189591693,259970683357,233315365307,228723214445,,
36,지배기업의 소유주에게 귀속되는 자본,지배기업의 소유주에게 귀속되는 자본,1054174196935,981994594849,889682885116,826121974551,766081535102,699002697884,,
37,지배기업의 소유주에게 귀속되는 자본,자본금,7000000000,7000000000,7000000000,7000000000,7000000000,7000000000,,
38,지배기업의 소유주에게 귀속되는 자본,자본잉여금,57926524761,57926524761,57934797561,57934797561,58301981650,58944253239,,
39,지배기업의 소유주에게 귀속되는 자본,기타자본구성요소,-10900714200,-10900714200,-10951887000,-10951887000,-10951887000,-4805418050,,
40,지배기업의 소유주에게 귀속되는 자본,기타포괄손익누계액,706982355,2086459963,2033938547,2874847149,1908054490,2520741872,,
41,지배기업의 소유주에게 귀속되는 자본,이익잉여금(결손금),999441404019,925882324325,833666036008,769264216841,709823385962,635343120823,,
42,비지배지분,비지배지분,515404402,438542993,480405418,387776322,1987992795,,,
43,자본총계,자본총계,1054689601337,982433137842,890163290534,826509750873,768069527897,699002697884,,
44,,자본과부채총계,1510688832503,1267930428541,1145352882227,1086480434230,1001384893204,927725912329,,
