,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,매출액,매출액,1139007566213,1180886079209,1111084178380,959775756592,956255738545,955578135704,,
1,매출액,재화의 판매로 인한 매출액,1139007566213,1180886079209,1111084178380,,,,,
2,매출액,제품매출액,1122081258107,1164509510692,1094230668462,945490330807,944034608298,944038515366,,
3,매출액,상품매출액,16926308106,16376568517,16853509918,14285425785,12221130247,11539620338,,
4,매출원가,매출원가,941740445861,980295738843,940466711174,795231064760,775274631093,788504044307,,
5,매출원가,재화의 판매로 인한 매출원가,941740445861,980295738843,940466711174,,,,,
6,매출원가,제품매출원가,928574232048,966735432234,925398378839,782588142648,765268002683,779694710503,,
7,매출원가,상품매출원가,13166213813,13560306609,15068332335,12642922112,10006628410,8809333804,,
8,매출총이익,매출총이익,197267120352,200590340366,170617467206,164544691832,180981107452,167074091397,,
9,판매비와관리비,판매비와관리비,91588696198,89308752094,100782790867,90194718680,85655501244,86057046605,,
10,영업이익(손실),영업이익(손실),105678424154,111281588272,69834676339,74349973152,95325606208,81017044792,,
11,기타이익,기타이익,20908619492,18093950909,34952115766,25584964997,21640579776,17810593155,,
12,기타손실,기타손실,16565890309,14296452386,22690160391,22993191615,19693825124,19012960384,,
13,금융수익,금융수익,15691184528,15601544236,9215450601,7376351063,7499295131,9170649209,,
14,금융원가,금융원가,12946558934,3394540666,2513559518,1854918137,1303170525,1350703496,,
15,법인세비용차감전순이익(손실),법인세비용차감전순이익(손실),112765778931,127286090365,88798522797,82463179460,103468485466,87634623276,,
16,법인세비용,법인세비용,34339766508,30720282638,22146786925,19687229224,24848217219,26224879475,,
17,계속영업이익(손실),계속영업이익(손실),78426012423,96565807727,66651735872,62775950236,78620268247,61409743801,,
18,중단영업이익(손실),중단영업이익(손실),0,0,0,,,,,
19,당기순이익(손실),당기순이익(손실),78426012423,96565807727,66651735872,62775950236,78620268247,61409743801,,
20,기타포괄손익,기타포괄손익,702639572,1210545381,1811915739,2434949690,-741202609,-4333755633,,
21,기타포괄손익,당기손익으로 재분류되지 않는항목(세후기타포괄손익),2115339352,1458993040,2652824341,1468157031,-128515227,-4635452514,,
22,기타포괄손익,확정급여제도의 재측정손익(세후기타포괄손익),2082117180,958937078,2652824341,,,,,
23,기타포괄손익,지분상품에 대한 투자자산의 세후기타포괄손익,33222172,500055962,0,,,,,
24,기타포괄손익,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),-1412699780,-248447659,-840908602,,,,,
25,기타포괄손익,해외사업장환산외환차이(세후기타포괄손익),-244735400,-3789184,756716,-2202382,3707096,,,
26,기타포괄손익,기타포괄손익-공정가치 측정 금융자산 평가손익(세후기타포괄손익),-1167964380,-244658475,-841665318,968995041,-616394478,301696881,,
27,총포괄손익,총포괄손익,79128651995,97776353108,68463651611,65210899926,77879065638,57075988168,,
28,당기순이익(손실)의 귀속 [abstract],지배기업의 소유주에게 귀속되는 당기순이익(손실),78355595181,96551430462,66558740338,62772169443,78786587353,61409743801,,
29,당기순이익(손실)의 귀속 [abstract],비지배지분에 귀속되는 당기순이익(손실),70417242,14377265,92995534,3780793,-166319106,,,
30,총 포괄손익의 귀속 [abstract],"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분",79051790586,97766080533,68371022515,65217735488,78035889357,57075988168,,
31,총 포괄손익의 귀속 [abstract],"총 포괄손익, 비지배지분",76861409,10272575,92629096,-6835562,-156823719,,,
32,주당이익 [abstract],기본주당이익(손실),,,,,,,,
33,주당이익 [abstract],계속영업기본주당이익(손실),5701,7025,4843,4568,5706,4406,,
34,주당이익 [abstract],희석주당이익(손실),,,,,,,,
35,주당이익 [abstract],계속영업희석주당이익(손실),5701,7025,4843,,,,,
