,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,1831162510643,1836907052769,1269096586270,987527215441,588737539752,802331829893,488908214884,576292460816
1,유동자산,현금및현금성자산,177672685267,352460668105,175486926579,78328791176,44287674566,68515457042,18165873976,39835798939
2,유동자산,매출채권 및 기타유동채권,438778072138,428539917694,354465691938,296129941916,201166412673,188267717852,173225689954,178362389905
3,유동자산,유동 당기손익-공정가치 측정 금융자산,1164300000,,,,,,,
4,유동자산,유동 기타포괄손익-공정가치 측정 금융자산,,301396551,,,,,,
5,유동자산,재고자산,1077389327817,916491380976,463850950644,392574738067,287857416415,291991762582,243969082488,222084165887
6,유동자산,금융리스채권,5297576812,,,,,,,
7,유동자산,파생상품자산,22531519683,133332594,499914199,2006482398,23366046956,154799111,,
8,유동자산,당기법인세자산,894538808,303793892,17450539,167381599,581463310,67832210,235300743,167661756
9,유동자산,기타금융자산,20208874374,42599856639,202138100129,149022006296,21900000000,21150000000,233290220942,217289564229
10,유동자산,기타유동자산,66183661439,96076706318,72637552242,69297873989,32944572788,28661219561,32967589917,31137913827
11,유동자산,매각예정자산,21041954305,,,,,203523041535,,
12,비유동자산,비유동자산,11187326086939,9264373454268,8882608515699,8967011476202,7329430835824,7129114255994,7011066427123,6392189097173
13,비유동자산,비유동매도가능금융자산,,,547547630824,579975534624,565015730624,892863839224,855420478249,758937282224
14,비유동자산,비유동 당기손익-공정가치 측정 금융자산,21062056000,,,,,,,
15,비유동자산,기타포괄손익-공정가치측정금융자산,328631217536,359442183936,,,,,,
16,비유동자산,금융리스채권,354885431,,,,,,,
17,비유동자산,"종속기업, 조인트벤처와 관계기업에 대한 투자자산",1097216472256,321616331332,296698536896,273619247946,492924568093,466211121876,335585046497,93507123991
18,비유동자산,유형자산,6480992945351,6800542403194,6632152317855,6625558413712,5194282876204,4578826506024,4542010336957,4292703982593
19,비유동자산,투자부동산,596376282692,604095728147,609055172642,618124513270,145207523108,287226181744,374227629053,394643353158
20,비유동자산,사용권자산,2070397369110,,,,,,,
21,비유동자산,무형자산,351969999352,425079444250,296500510037,304344603692,273944662572,276178638413,246460898189,241519544693
22,비유동자산,비유동파생상품자산,6189050745,5369505647,383467214,35170307709,23366046956,154799111,,
23,비유동자산,기타금융자산,156303952134,400780157758,151178482462,152487707941,245678383302,215832452556,233290220942,217289564229
24,비유동자산,기타비유동자산,4058575294,331125664245,325856842094,356925612387,368230989201,387842123275,424024317236,392511146285
25,비유동자산,이연법인세자산,73773281038,16322035759,23235555675,20805534921,20780055764,24133392882,,
26,자산총계,자산총계,13018488597582,11101280507037,10151705101969,9954538691643,7918168375576,7931446085887,7499974642007,6968481557989
27,유동부채,유동부채,3172981441431,3244847596549,2892094354108,2434987519798,1906777083145,1616383182554,1346020424101,1496623678492
28,유동부채,매입채무 및 기타유동채무,643906537926,609709270406,420199799247,545487956609,400536505704,374221529504,296993781090,284782512305
29,유동부채,상품권,454078963989,432510529165,411752978315,385029428526,347710493000,306157708000,273942941000,236805706793
30,유동부채,단기차입금,873774278951,1309590966515,1250768769620,748701355830,520993176557,498232161012,331789096242,505758604251
31,유동부채,유동파생상품부채,594399193,390351550,7266413997,136560489,683329245,162148521,369261,276159741
32,유동부채,당기법인세부채,59589571257,51368721236,47227192369,60697571081,109143373903,33628651561,39851563482,41295491111
