,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,436317471701,403700426545,368331902946,364106712233,330464248309,339775208123,271820971206,249997370853
1,유동자산,현금및현금성자산,4646806684,12352595896,3184806333,16755106612,10265891532,8926590858,169120572,3725154375
2,유동자산,단기금융상품,0,7700000000,7200000000,,,,,
3,유동자산,당기손익-공정가치측정금융자산,1164300000,0,0,,,,,
4,유동자산,매출채권및기타채권,134453698963,138787698388,133809026472,116697201135,111553992733,107482164107,84100260082,78087427713
5,유동자산,재고자산,263433613675,235834904978,218303725263,224170091523,205030966769,220513470417,184122020177,166187047382
6,유동자산,금융리스채권,95000814,0,0,,,,,
7,유동자산,파생상품자산,664656270,133332594,0,1709141041,3585672605,154799111,,
8,유동자산,기타금융자산,1109600000,1200000000,63700000,31840769203,33050339797,34759990604,40167759793,39214534532
9,유동자산,기타유동자산,9707840990,7691894689,5770644878,4775171922,3094866563,2659639220,3424866895,1997741383
10,유동자산,매각예정비유동자산,21041954305,0,0,,,,,
11,비유동자산,비유동자산,692562080569,578773104709,582524682476,602078389671,583736860228,548013629856,483660594164,371286103696
12,비유동자산,장기금융상품,2000000,2000000,2000000,2000000,2500000,2500000,2500000,2500000
13,비유동자산,당기손익-공정가치측정금융자산,9000000000,0,0,,,,,
14,비유동자산,금융리스채권,354885431,0,0,,,,,
15,비유동자산,파생상품자산,6189050745,2394367396,383467214,5749874493,3585672605,154799111,,
16,비유동자산,이연법인세자산,2874766693,543741230,14662326897,14624350564,13850750993,18000052819,21183722008,17470953164
17,비유동자산,관계기업및공동기업투자,92291091164,104453465424,87956715017,77043483702,63555721777,52510766633,34940219684,27836654782
18,비유동자산,유형자산,328220618749,328290386367,332011708459,351385833983,369330834320,338159319561,237448238607,176389996985
19,비유동자산,투자부동산,30364511382,65630020997,65724114458,67534328544,46134221482,53648032710,106276234309,80896708003
20,비유동자산,사용권자산,129669006584,0,0,,,,,
21,비유동자산,무형자산,46843285296,43275883354,46393026516,53574452182,53001608785,48955760712,14072142507,9005088186
22,비유동자산,기타금융자산,46707479011,33111602094,34713385925,31840769203,33050339797,34759990604,40167759793,39214534532
23,비유동자산,기타비유동자산,45385514,1071637847,677937990,323297000,625210469,1377206817,1963443256,2367668044
24,자산총계,자산총계,1128879552270,982473531254,950856585422,966185101904,914201108537,887788837979,755481565370,621283474549
25,유동부채,유동부채,292334884529,246154352009,303500784889,329013700649,322199605063,348400630861,264154506076,179517921368
26,유동부채,매입채무및기타채무,90723819000,91238317930,71425574027,94674025261,76404268955,88311790204,74735073656,62862305492
27,유동부채,단기차입금,55188204866,60848759888,97551007092,107667323255,207701449244,228293776137,176123500564,101502371034
28,유동부채,유동성장기부채,84622678409,61179184931,105643854428,94959504982,20000000000,20000000000,,
29,유동부채,리스부채,21025086905,0,0,,,,,
30,유동부채,파생상품부채,594399193,390351550,7266413997,136560489,683329245,162148521,369261,276159741
31,유동부채,당기법인세부채,14157702626,9112827033,5537673241,6636468939,,5908512452,9148179588,9820686930
32,유동부채,충당부채,2020516800,1468427560,0,,,,,
33,유동부채,기타금융부채,11847233981,11687284834,11950219750,11380651197,10608949038,472525743,33255840,31960615
34,유동부채,기타유동부채,12155242749,10229198283,4126042354,13559166526,6801608581,5251877804,4114127167,5024437556
35,비유동부채,비유동부채,237247242866,191483229407,151167777878,158659384542,127205635458,89698481783,55094100092,32789439885
36,비유동부채,장기차입금및사채,103629254449,182980396188,142416223940,151366456659,118387927153,69891356660,40000000000,20000000000
37,비유동부채,리스부채,115235703438,0,0,,,,,
38,비유동부채,파생상품부채,0,641901629,2218109586,939175992,288802454,496123628,53872076,276159741
39,비유동부채,순확정급여부채,5875593925,2464461606,1204671710,707013412,3481906038,3965024842,3191516688,4343418470
40,비유동부채,이연법인세부채,5390159133,0,1623166761,1623166761,1623166761,1623166761,,
41,비유동부채,충당부채,2673570880,1633069040,0,,,,,
42,비유동부채,기타금융부채,2449983466,2196087640,2556847765,2851449685,2239910018,12507841993,10740391190,8446021415
43,비유동부채,기타비유동부채,1992977575,1567313304,1148758116,1172122033,1183923034,1214967899,1108320138,
44,부채총계,부채총계,529582127395,437637581416,454668562767,487673085191,449405240521,438099112644,319248606168,212307361253
45,지배기업의 소유주 귀속자본,지배기업의 소유주 귀속자본,597263135103,542810515406,494342223432,476733045590,464082960021,449191986367,435592940179,407425789871
46,지배기업의 소유주 귀속자본,자본금,35700000000,35700000000,35700000000,35700000000,35700000000,35700000000,35700000000,35700000000
47,지배기업의 소유주 귀속자본,기타불입자본,119761403251,119761403251,121152846729,121152846729,121268075341,122717663781,123172760922,123172760922
48,지배기업의 소유주 귀속자본,기타자본구성요소,-1550420384,-1534077594,217127896,-277985168,-749231930,-637887120,-176328228,-120912435
49,지배기업의 소유주 귀속자본,이익잉여금,443352152236,388883189749,337272248807,320158184029,307864116610,291412209706,276896507485,248673941384
50,비지배지분,비지배지분,2034289772,2025434432,1845799223,1778971123,712907995,497738968,640019023,1550323425
51,자본총계,자본총계,599297424875,544835949838,496188022655,478512016713,464795868016,449689725335,436232959202,408976113296
52,,자본과부채총계,1128879552270,982473531254,950856585422,966185101904,914201108537,887788837979,755481565370,621283474549
