,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,,,,,,,,,,
1,,"4,8,20",,,,,,,16472509000000,13507249000000
2,,"4,9,20",,,,,,,18033298000000,16654255000000
3,,"4,10,20",,,,,,,3360765000000,2542333000000
4,,"4,11",,,,,,,1717468000000,2170765000000
5,,"4,12,20",,,,,,,205722718000000,200288636000000
6,,"4,13,20",,,,,,,33604301000000,36283918000000
7,,"4,13,20",,,,,,,11031307000000,11659682000000
8,,"14,20",,,,,,,3214303000000,3108457000000
9,,15,,,,,,,4226378000000,4195496000000
10,,16,,,,,,,328567000000,298518000000
11,,,,,,,,,6184000000,14128000000
12,,42,,,,,,,196780000000,99964000000
13,,17,,,,,,,690257000000,778505000000
14,,"4,18",,,,,,,12449193000000,13282907000000
15,,,,,,,,,242815000000,54412000000
16,,,,,,,,,311296843000000,304939225000000
17,,,,,,,,,,
18,,,,,,,,,,
19,,"4,21",,,,,,,178809881000000,173295702000000
20,,"4,22",,,,,,,1258283000000,1370723000000
21,,"4,23",,,,,,,5909130000000,4822197000000
22,,"4,11",,,,,,,2026534000000,1904044000000
23,,"4,24",,,,,,,20142908000000,19518040000000
24,,"4,25",,,,,,,37491439000000,38838467000000
25,,26,,,,,,,117655000000,222333000000
26,,27,,,,,,,750283000000,747885000000
27,,,,,,,,,239174000000,253524000000
28,,42,,,,,,,14625000000,41746000000
29,,28,,,,,,,15656455000000,13418559000000
30,,"4,29",,,,,,,19020815000000,21592861000000
31,,,,,,,,,281437182000000,276026081000000
32,,,,,,,,,,
33,,,,,,,,,,
34,,30,,,,,,,27542673000000,26371891000000
35,,,,,,,,,2645053000000,2645053000000
36,,,,,,,,,537443000000,537443000000
37,,,,,,,,,9887335000000,9887199000000
38,,,,,,,,,-393128000000,-393097000000
39,,,,,,,,,671807000000,980121000000
40,,,,,,,,,14194163000000,12715172000000
41,,30,,,,,,,2316988000000,2541253000000
42,,,,,,,,,29859661000000,28913144000000
43,,,,,,,,,311296843000000,304939225000000
