,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,,,5046250000000,4499414000000,3830026000000,3108642000000,2973141000000,2654810000000,2631999000000,3177967000000
1,,31,9737964000000,8580089000000,7842953000000,7205366000000,6692933000000,6789800000000,6604884000000,6979718000000
2,,,15707362000000,13572456000000,11798654000000,11236302000000,11129704000000,12060507000000,12591322000000,13998109000000
3,,,14878516000000,12891850000000,,,,,,
4,,,828846000000,680606000000,,,,,,
5,,,-5969398000000,-4992367000000,-3955701000000,-4030936000000,-4436771000000,-5270707000000,-5986438000000,-7018391000000
6,,32,2140519000000,1938997000000,1710954000000,1565539000000,1620979000000,1469158000000,1386355000000,1543145000000
7,,,3557013000000,3295256000000,4044955000000,3803596000000,3896529000000,3560500000000,3489668000000,3491104000000
8,,,-1416494000000,-1356259000000,-2334001000000,-2238057000000,-2275550000000,-2091342000000,-2103313000000,-1947959000000
9,,27,-496926000000,-471699000000,-460039000000,,,,,-209303000000
10,,,7569425000000,4398738000000,4599808000000,4586098000000,4447828000000,4221120000000,4230013000000,
11,,,-8066351000000,-4870437000000,-5059847000000,-5004602000000,-4879989000000,-4634320000000,-4612791000000,
12,,33,82158000000,87826000000,257306000000,281623000000,308277000000,175798000000,155984000000,174325000000
13,,34,1385482000000,420026000000,,,,,,
14,,9,-247585000000,74944000000,,,,,,
15,,35,-846046000000,-26643000000,,,,,,
16,,,440948000000,194136000000,364006000000,461671000000,78236000000,223718000000,296187000000,280028000000
17,,11,152278000000,20554000000,,,,,,
18,,11,66000000,-9000000,,,,,,
19,,36,-980692000000,-747877000000,,,,,,
20,,37,-5134674000000,-4741575000000,-4811198000000,-4508575000000,-4475068000000,-4462883000000,-4202550000000,-4061576000000
21,,39,-1187242000000,-829355000000,-462992000000,-797911000000,-444143000000,-535653000000,-539687000000,-723519000000
22,,15,53287000000,17488000000,20393000000,9995000000,20971000000,30580000000,7286000000,27538000000
23,,40,-188029000000,-50292000000,-52811000000,51835000000,146465000000,182186000000,37268000000,25131000000
24,,,4911508000000,4466610000000,3797608000000,3170472000000,3140577000000,2867576000000,2676553000000,3230636000000
25,,41,1269124000000,1268345000000,848403000000,345553000000,694619000000,667965000000,621214000000,-738727000000
26,,,3642384000000,3198265000000,2949205000000,2824919000000,2445958000000,2199611000000,2055339000000,2491909000000
27,,29,565910000000,51292000000,-429114000000,-409150000000,-336624000000,-35679000000,-308740000000,-50975000000
28,,,615963000000,122549000000,-533486000000,-424455000000,-254581000000,118737000000,-327339000000,-51154000000
29,,,352085000000,161008000000,,,,,,
30,,9,162967000000,-54333000000,,,,,,
31,,,3302000000,7407000000,-22813000000,2691000000,11854000000,6255000000,-4811000000,4097000000
32,,,105771000000,19983000000,-194172000000,12103000000,-6469000000,-12868000000,-57845000000,-84917000000
33,,,-18589000000,-20192000000,15904000000,-1262000000,2932000000,-16378000000,6089000000,15655000000
34,,,10427000000,8676000000,-9278000000,,,,,
35,,,-50053000000,-71257000000,104372000000,15305000000,-82043000000,-154416000000,18599000000,179000000
36,,,-54644000000,-93098000000,103525000000,15307000000,-81813000000,-154416000000,18599000000,179000000
37,,,-8000000,28000000,847000000,2691000000,11854000000,6255000000,-4811000000,4097000000
38,,,18885000000,22725000000,,,,,,
39,,,-5861000000,-2635000000,,,,,,
40,,,-8425000000,1723000000,,,,,,
41,,,4208294000000,3249557000000,2520091000000,2415769000000,2109334000000,2163932000000,1746599000000,2440934000000
42,,,3642384000000,3198265000000,2949205000000,2824919000000,2445958000000,2199611000000,2055339000000,2491909000000
43,,"29,42",3403497000000,3156722000000,2918816000000,2774778000000,2367171000000,2081110000000,1898577000000,2321890000000
44,,,238887000000,41543000000,30389000000,50141000000,78787000000,118501000000,156762000000,170019000000
45,,,4208294000000,3249557000000,2520091000000,2415769000000,2109334000000,2163932000000,1746599000000,2440934000000
46,,,3890701000000,3207602000000,2491251000000,2774778000000,2367171000000,2081110000000,1898577000000,2321890000000
47,,,317593000000,41955000000,28840000000,50141000000,78787000000,118501000000,156762000000,170019000000
48,,"29,42",,,,,,,,
49,,,7000,6579,6118,5736,4789,4195,3810,
