,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,매출액,매출액,5580142192519,5277844561808,5123825882104,5645440160699,4766627213300,3874007757738,3100413235735,2849462498512
1,매출원가,매출원가,1500515578424,1434875630857,1379726027741,1424760833022,1169406018752,1028190572667,911806524695,847204206147
2,매출총이익,매출총이익,4079626614095,3842968930951,3744099854363,4220679327677,3597221194548,2845817185071,2188606711040,2002258292365
3,판매비와관리비,판매비와관리비,3651792017591,3360988103012,3147700717455,3372575873578,2824311249059,2282066064991,1818768516657,1636919632445
4,영업이익,영업이익,427834596504,481980827939,596399136908,848103454099,772909945489,563751120080,369838194383,365338659920
5,금융수익,금융수익,14739081054,12690124378,13817294910,17642299699,25538570943,13725467336,11345251127,12208474974
6,금융비용,금융비용,19976729196,2686931594,3080148811,5933942490,3067385277,2604217667,2664425172,2125288930
7,기타영업외손익,기타영업외손익,-51693123255,-39028127872,-39871872662,-3333972211,-17124779003,-44803587159,-18148860829,-15378553167
8,관계기업손익,관계기업손익,-301604380,30813947,79453857,80378820,44768810,156843024,3155994712,1674509104
9,법인세비용차감전순이익,법인세비용차감전순이익,370602220727,452986706798,567343864202,856558217917,778301120962,530225625614,363526154221,361717801901
10,법인세비용,법인세비용,146841192961,118142142832,169340851762,210829558373,193505066411,145091897421,96167099912,92460264042
11,당기순이익,당기순이익,223761027766,334844563966,398003012440,645728659544,584796054551,385133728193,267359054309,269257537859
12,당기순이익의 귀속,지배기업소유주지분,238804191604,332195459028,394010904453,639254633795,577523477536,379104300639,267975302473,270429813345
13,당기순이익의 귀속,비지배주주지분,-15043163838,2649104938,3992107987,6474025749,7272577015,6029427554,-616248164,-1172275486
14,세후기타포괄손익,세후기타포괄손익,7286612210,23557705928,-11523111615,-13300638449,-29097632920,-11788105058,-2564713006,-20748047990
15,세후기타포괄손익,당기손익으로 재분류되지 않는 항목,,,,,,,,
16,세후기타포괄손익,순확정급여부채 재측정요소,-8917300059,21500150375,12861615698,-10487692089,-28704190915,-13088953698,-263711961,-10544923392
17,세후기타포괄손익,기타포괄손익-공정가치금융자산 평가손익,-425735392,1646093788,0,,,,,
18,세후기타포괄손익,당기손익으로 재분류될 수 있는 항목,,,,,,,,
19,세후기타포괄손익,매도가능금융자산평가손익,0,0,-204595110,2411705695,-322127966,266136323,-87344112,-1891959884
20,세후기타포괄손익,관계기업기타포괄손익지분,18983206,-55193664,82264783,128057391,52727088,421277011,-286371404,-151417138
21,세후기타포괄손익,해외사업환산손익,16610664455,466655430,-24262396986,-5352709446,-124041127,613435306,-1927285529,-8159747576
22,당기총포괄이익,당기총포괄이익,231047639976,358402269894,386479900825,632428021095,555698421631,373345623135,264794341303,248509489869
23,당기총포괄이익의 귀속,지배기업소유주지분,246323873960,355628393686,383991143832,639254633795,577523477536,379104300639,267975302473,270429813345
24,당기총포괄이익의 귀속,비지배주주지분,-15276233984,2773876208,2488756993,6474025749,7272577015,6029427554,-616248164,-1172275486
25,주당손익,보통주기본주당순이익,3477,4815,5711,9267,8372,5495,38842,39198
26,주당손익,우선주기본주당순이익,3490,4820,5717,9272,8377,5500,38893,39248
