,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,영업활동현금흐름,영업활동현금흐름,-117157545529,256133931899,111302863256,105851104239,-180769156556,164049036315,104486910421,10914514152
1,영업활동현금흐름,당기순이익(손실),74262246007,243839058172,194968494180,214027634846,101281605407,50427361737,22553869069,6013758533
2,영업활동현금흐름,비현금항목의 조정,50263189929,233686150822,228028733987,175502400621,101764078468,108855030117,98679507700,93552631525
3,영업활동현금흐름,영업자산 부채의 변동,-191510562572,-105847160790,-183905678058,-217383446532,-338793860924,43182315471,15018240854,-52785841781
4,영업활동현금흐름,이자의 수취,5116716232,3394580720,3357752369,3297556223,816601275,1713996565,1686192734,1495124383
5,영업활동현금흐름,이자의 지급,41847539330,50628751546,32964180596,-36728847192,-22763215099,-31433388917,-29352359799,-33111054785
6,영업활동현금흐름,배당금의 수취,200000000,210000000,279701760,241111256,248299936,44445830,15910488,16560000
7,영업활동현금흐름,법인세의 납부,13641595795,68519945479,98461960386,-33105304983,-23322665619,-8740724488,-4114450625,-4266663723
8,투자활동현금흐름,투자활동현금흐름,-38570169275,-190916204239,-137896721351,-148301406839,-64310533039,-131621701765,-62582419270,-51678905704
9,투자활동현금흐름,투자활동으로 인한 현금유입액,292475386300,92894517555,66634247556,137910804322,203662871923,57231138929,26516664538,26251790103
10,투자활동현금흐름,단기대여금의 감소,1209700451,1198515710,6275797230,1139618106,67047854716,42486831344,593451921,322186078
11,투자활동현금흐름,기타유동금융자산의 처분,161852279008,70383546822,53242993904,118360739341,102312384737,322013354,4684280747,6607735629
12,투자활동현금흐름,장기대여금의 감소,10059395762,8828244315,1895777454,,509105586,342640008,567785139,1362378796
13,투자활동현금흐름,기타비유동금융자산의 처분,11931087913,4047000000,2500000,4658134075,3189732746,31511883,3067900000,639625000
14,투자활동현금흐름,종속기업주식의 처분,68970783503,0,0,,,,,
15,투자활동현금흐름,관계기업주식의 정산,33323798127,0,0,,,,,
16,투자활동현금흐름,유형자산의 처분,640345606,305964977,1381305447,10015949071,23779277173,10235533492,8211069782,14661965174
17,투자활동현금흐름,무형자산의 처분,0,0,610909090,35400000,1065000000,,20377595,598646363
18,투자활동현금흐름,보증금의 감소,4487995930,8131245731,3224964431,3700963729,2830190252,3812608848,6995931854,2059253063
19,투자활동현금흐름,투자활동으로 인한 현금유출액,-331045555575,-283810721794,-204530968907,-286212211161,-267973404962,-188852840694,-89099083808,-77930695807
20,투자활동현금흐름,단기대여금의 증가,2401406454,2174308220,8616606923,16159938881,77038307781,42501153850,1542715000,130410000
21,투자활동현금흐름,기타유동금융자산의 취득,144355867024,91180440000,53491468304,109139137346,111768356165,202280913,3008510000,1003285000
22,투자활동현금흐름,장기대여금의 증가,16170115991,13107816917,8679847191,776055580,888149623,370950000,820550000,603437500
23,투자활동현금흐름,기타비유동금융자산의 취득,43722386069,54305379528,14901311784,8449188040,742612076,38334878572,2532586899,1140520000
24,투자활동현금흐름,관계기업주식의 취득,209633631,13078479069,25008963533,,,,,
25,투자활동현금흐름,유형자산의 취득,24324323228,78666929660,83477614604,146581675425,68265098809,101255119813,74787447716,68857075619
26,투자활동현금흐름,무형자산의 취득,455248135,1148826052,755690951,810360900,2648144200,1148275343,1787130061,2108020945
27,투자활동현금흐름,보증금의 증가,6972986641,16181421744,2172677700,4295854989,6622736308,5040182203,4620144132,4087946743
28,투자활동현금흐름,사업결합으로 인한 순현금유출액,92433588402,13967120604,7426787917,,,,,
29,재무활동현금흐름,재무활동현금흐름,257872155873,-105852131620,50564639577,65320028915,349186889510,-819223070,-61084058754,70130786950
30,재무활동현금흐름,재무활동으로 인한 현금유입액,1146875375450,1023476818898,600343763804,1014521432010,2195966906065,483030693397,115016858707,367310833371
31,재무활동현금흐름,단기차입금의 증가,215845236840,604251164714,382221717544,698005690846,1598785225941,251370693397,62801181768,198000000000
32,재무활동현금흐름,장기차입금의 증가,580449638610,226858447244,91206926625,106154241164,574486200000,154000000000,51190993504,138000000000
33,재무활동현금흐름,단기사채의 발행,269000000000,147000000000,0,,,,,
34,재무활동현금흐름,사채의 발행,80000000000,17000000000,110000000000,,21000000000,,,10000000000
35,재무활동현금흐름,유동화채무의 발행,0,5000000000,6488369635,,,,,
36,재무활동현금흐름,리스미지급금의 증가,0,19684856940,10000000000,10000000000,1132980124,5000000000,,1000000000
37,재무활동현금흐름,장기임대보증금의 증가,1580500000,3682350000,426750000,361500000,562500000,470000000,1000000000,175000000
38,재무활동현금흐름,재무활동으로 인한 현금유출액,-889003219577,-1129328950518,-549779124227,-949201403095,-1846780016555,-483849916467,-176100917461,-297180046421
39,재무활동현금흐름,단기차입금의 상환,235878313415,715023282347,189448079303,686075684611,1626683495447,271290000000,50501181768,173100000000
40,재무활동현금흐름,단기사채의 상환,314000000000,90000000000,90000000000,,21000000000,,,
41,재무활동현금흐름,유동성장기차입금의 상환,170625537616,231535800572,162089692080,156329760524,105410344666,119703978926,77735466434,88909660556
42,재무활동현금흐름,유동성리스미지급금의 상환,0,10204118438,4904364989,2006624562,1778515968,4728200201,6458868055,7802367086
43,재무활동현금흐름,유동성장기유동화채무의 상환,0,3113030793,9052168064,4000000000,4000000000,4000000000,,
44,재무활동현금흐름,유동성전환사채의 상환,78393186030,18035574679,1680016,,,,,
45,재무활동현금흐름,유동성리스부채의 상환,7161883722,0,0,,,,,
46,재무활동현금흐름,장기차입금의 상환,45168689994,27514606040,53079845140,83727906720,76673929760,50066704000,,12222959829
47,재무활동현금흐름,임대보증금의 감소,385000000,10000000,743020000,40000000,950500000,910000000,250000000,
48,재무활동현금흐름,자기주식의 취득,0,0,9709416250,,,,,
49,재무활동현금흐름,신주발행비,408392000,8804400,19296590,125930439,24674342,,,
50,재무활동현금흐름,파생상품정산,0,12066849,13094795,33322739,14933972,151033340,24683435,135833371
51,재무활동현금흐름,연차배당,36982216800,33871666400,30718467000,13635073500,10213412400,,,
52,환율변동효과 반영전 현금및현금성자산의 순증가(감소),환율변동효과 반영전 현금및현금성자산의 순증가(감소),102144441069,-40634403960,23970781482,22869726315,104107199915,31608111480,-19179567603,29366395398
53,현금및현금성자산에 대한 환율변동효과,현금및현금성자산에 대한 환율변동효과,106608500,320780387,-775652661,419997654,-42711587,471089830,-130443181,280614194
54,현금및현금성자산의순증가(감소),현금및현금성자산의순증가(감소),102251049569,-40313623573,23195128821,,,,,
55,기초현금및현금성자산,기초현금및현금성자산,198893868703,239207492276,216012363455,192722639486,88658151158,56578949848,75888960632,46241951040
56,기말현금및현금성자산,기말현금및현금성자산,301144918272,198893868703,239207492276,216012363455,192722639486,88658151158,56578949848,75888960632
